,Delta_save
0,0.18651999645000003
1,0.15583269645000003
2,0.1500205088
3,0.18102746204999998
4,0.14797344005
5,0.1090071432
6,0.14294669805
7,0.10455249920000001
8,0.08190723379999999
9,0.16709402404999998
10,0.17287788004999996
11,0.08511938000000001
12,0.09634294080000001
13,0.09357138
14,0.1834241312
15,0.07467566580000001
16,0.14468434245
17,0.1220772872
18,0.07585512499999998
19,0.10298991124999998
20,0.19833661620000004
21,0.13044299644999996
22,0.11153836805
23,0.22434281279999999
24,0.13208258045000001
25,0.08255609780000002
26,0.11929170125000002
27,0.10805205845
28,0.06495128819999998
29,0.18421236019999998
30,0.1506785408
31,0.19269011204999997
32,0.1003788818
33,0.10939035379999999
34,0.1239820808
35,0.08136174605000002
36,0.13995753245000003
37,0.1041869952
38,0.07911446420000001
39,0.13269491279999998
40,0.10098018000000002
41,0.11546415125
42,0.10016840405000002
43,0.08673196005000001
44,0.11469655125
45,0.0974434658
46,0.14749509845
47,0.13959799605
48,0.06787033244999999
49,0.07175608445
50,0.12808884980000002
51,0.05236495220000001
52,0.09750528
53,0.059709312449999996
54,0.11500808000000001
55,0.07552441124999999
56,0.08020413004999999
57,0.0711700992
58,0.04151809280000001
59,0.16192602320000002
60,0.05378872005
61,0.09132255845000001
62,0.15973682420000004
63,0.18931550444999995
64,0.15738294079999998
65,0.08730766845000001
66,0.03500922605
67,0.17532673280000002
68,0.06627348245
69,0.05499586125
70,0.04087798245
71,0.06393530405
72,0.2219645192
73,0.2767382408
74,0.04408965125
75,0.0352079648
76,0.0645626178
77,0.21548956005
78,0.22060738879999997
79,0.05028571845000001
80,0.03766414579999999
81,0.05556777845
82,0.0432238802
83,0.012370072050000002
84,0.2459669522
85,0.037433952199999995
86,0.0401917952
87,0.030799138049999997
88,0.03944397845
89,0.0
90,0.21881758580000002
91,0.025651125
92,0.026886486050000002
93,0.01218204405
94,0.29616516845
95,0.016024080200000002
96,0.25374975605000005
97,0.0357888258
98,0.02150945405
99,0.3189768192
100,0.31723002045
101,0.2940524672
102,0.34821181520000005
103,0.022351322450000002
104,0.029677788450000003
105,0.22717170125000002
106,0.0259054322
107,0.011805697799999999
108,0.017512561250000003
109,0.18611710604999995
110,0.0292432928
111,0.20826412605000003
112,0.31131573244999994
113,0.3156310152
114,0.026965386449999997
115,0.33515940645
116,0.010640487200000001
117,0.2963422098
118,0.011278518049999998
119,0.0322884872
120,0.026599711249999998
121,0.016946405
122,0.31178145780000005
123,0.016362405
124,0.00747253125
125,0.35548468805
126,0.0051247687999999994
