,Delta_save
0,2.9248482728283967e-05
1,3.2739470351243386e-05
2,3.0805005246151604e-05
3,0.49199808084170105
4,3.101630748110329e-05
5,0.49200857101786855
6,0.33200709350023805
7,3.0391603492000572e-05
8,0.2591301583849585
9,0.011747351900129982
10,0.0
11,0.0007031201998616081
12,0.0004744675260163492
13,2.9451144427269535e-05
14,0.47788357889816296
15,0.0013173001818948336
16,2.0930011281598442e-05
17,0.004306436590331913
18,0.46670379070814233
19,1.9873714366565052e-05
20,2.0787705985687895e-05
21,0.0025717939757212956
22,0.001656251441476344
23,0.001735507594718221
24,0.0011176271812744958
25,1.3410744742758193e-05
26,1.402729524942457e-05
27,0.001202131119980508
28,0.4862729180387039
29,0.010422805677300473
30,0.4735644918439261
31,0.00012051984524721906
32,0.01552338331530689
33,0.3149285040495624
34,0.36573342372480006
35,0.3909692556782768
36,0.001209272195807781
37,0.015848589909673524
38,0.010694344893184278
39,0.008949929051534938
40,0.005025344908026493
41,0.3439690036559324
42,0.49565838448547733
43,0.0007540617757708668
44,0.0084072425906867
45,0.005673125176053006
46,0.0008160057770059914
47,0.00510980660171942
48,0.004782918308721693
49,0.41078485620887645
50,0.3113788914136353
51,0.007156703291741253
52,0.007054313094223687
53,0.40718800174022507
54,0.007058524537537089
55,0.003157990939260419
56,0.003262794007723437
57,0.0029996919122346373
58,0.0028352212390761852
59,0.0029951727370365624
60,0.002795890000444875
61,0.42608531131375843
62,0.4361758705075235
63,0.008709235578501952
64,0.008226048412352504
65,0.0009905393506070617
66,0.004851084555831755
67,0.005022397738172797
68,0.40339481221711887
69,3.1213430589966935e-05
70,0.010313440883232177
71,0.0030541973145332088
72,0.005103012318380038
73,0.49353071653259584
74,0.33302566902186165
75,0.005674283668073435
76,0.003120384970574572
77,0.3896342421238115
78,0.4244249061630757
79,0.0038288500704214954
80,0.0037525081899901515
81,0.003796019971003674
82,0.006265768132562985
83,0.004227923665516906
84,0.31046132960023237
85,0.3671023637519959
86,0.00819350582985426
87,0.0029872376378315014
88,0.37909347968334756
89,0.031109498636162313
90,0.2958628447572331
91,0.3140386543458926
92,0.0032933667657459842
93,0.32132403605135257
94,0.0
95,0.0030369078820835908
96,0.011754483868170212
97,0.361023995671271
98,0.26389874247178957
99,0.0029233734449888873
100,0.2884542353816416
101,0.19463739035159625
102,0.03944483532432147
103,0.002485082959284289
104,0.15508163887965956
105,0.3002466601149048
106,0.003219570173985828
107,0.3498211352465594
108,0.03305583804352438
109,0.31109508416305354
110,0.019780790848661016
111,0.019657994825165948
112,0.3112224596828341
113,0.21000044467268267
114,0.24546205154339745
115,0.22563088940056136
116,0.016096262634620735
117,0.30292093234067113
118,0.0
119,0.002390029434748956
120,0.3521872251672092
121,0.3385659843412275
122,0.22845054538281243
123,0.0034626213246048932
124,0.020350545033405484
125,0.3054301000585759
126,0.23026564412637204
127,0.0
128,0.016273709758579856
129,0.02143475558432016
130,0.32088760830572
131,0.01673353792851447
132,0.40244106823746906
133,0.029201827758698094
134,0.013555392322003278
135,0.3076468550940248
136,0.017877670884557103
137,0.012061952989411737
138,0.0020631657354058517
139,0.33900534556070305
140,0.01776767285176458
141,0.35565549128882606
142,0.03903899319324507
143,0.001612748047716708
144,0.2968066784937907
145,0.20026948906279718
146,0.010806806618872388
147,0.010663737411485099
148,0.009506398685993607
149,0.01810424907616701
150,0.3132206862651905
151,0.011521889046804621
152,0.25559196974101805
153,0.02079697125229322
154,0.009261664322396062
155,0.22849717382764306
156,0.3376792977875953
157,0.05279595207602784
158,0.008317695227397297
159,0.31237413480452897
160,0.02482618067365694
161,0.01380321664013353
162,0.01106804750361632
163,0.01236274346559895
164,0.01000687400742011
165,0.006752364534209513
166,0.2869324036717555
167,0.005811107637424232
168,0.012978871696128453
169,0.012271849889680444
170,0.009003111743292897
171,0.010820352614335227
172,0.011413854755157717
173,0.00878515969690621
174,0.3802040960201534
175,0.0076380154667297145
176,0.04024211490701421
177,0.00904746285698964
178,0.02243838478611002
179,0.37674613575511506
180,0.011615931033850545
181,0.020883712459489858
182,0.3462103209513711
183,0.005927982906839396
184,0.009955940084227783
185,0.02011080169670182
186,0.007643830176194684
187,0.012046143327852171
188,0.3684698811006766
189,0.3623020375308902
190,0.3462276133400819
191,0.018538135861002992
192,0.29157112263755597
193,0.1967370547053167
194,0.01847672067543452
195,0.011619958612681077
196,0.006291291154574923
197,0.008127761740796347
198,0.0061750781515418395
199,0.016360791133359795
200,0.23664246194953484
201,0.004245181683250051
202,0.31075189840419615
203,0.015114122898038096
204,0.0
205,0.012903991684134794
206,0.23848714269898885
207,0.015991000480724077
208,0.009577630408802742
209,0.009153403651773084
210,0.012000174103436156
211,0.0031284066964616195
212,0.01151825585644206
213,0.007771223246649937
214,0.36306170102720664
215,0.2449715468248852
216,0.007816910495496574
217,0.05384457213434475
218,0.03441218789137835
219,0.010713739382308594
220,0.30772368006186535
221,0.028731368343858133
222,0.020362120505525782
223,0.015885239309704643
224,0.3644055200951087
225,0.30858371059138284
226,0.015969060561405367
227,0.013786975226010691
228,0.232165769996148
229,0.007625257798039124
230,0.014774619791061719
231,0.26552447320631334
232,0.0
233,0.00719656250691744
234,0.008970587732629525
235,0.009437749124928705
236,0.007181153916285412
237,0.004652163205476677
238,0.3748862667538972
239,0.37670960087442795
240,0.00801123830461536
241,0.2541768249763121
242,0.007600752358428581
243,0.2821943276861396
244,0.19040628738816448
245,0.006440568714690411
246,0.26138874566301845
247,0.02014970562553035
248,0.2045025692640258
249,0.004345686041331584
250,0.021029574830086308
251,0.28296659386136075
252,0.2800838571481313
253,0.01896715746355967
254,0.23859647632396594
255,0.16099511265700106
256,0.002932295909886325
257,0.10861696047624557
258,0.011755640457349156
259,0.2947576993237271
260,0.013161719494086344
261,0.017429082072169498
262,0.010200071074885162
263,0.01866425574544538
264,0.012779319445721558
265,0.008256017435445403
266,0.34347552341124393
267,0.05247690357747967
268,0.24988565480994473
269,0.0063792468625036795
270,0.013852558511522197
271,0.02005933753221408
272,0.009150769694261157
273,0.011137691799885673
274,0.015854751603255807
275,0.35315587578063273
276,0.031228789769623542
277,0.3157763916327391
278,0.3477609865017483
279,0.0031392459500636546
280,0.2536766656944838
281,0.3846991183054181
282,0.004983644097847288
283,0.03905581523905254
284,0.02501479671996096
285,0.006174319682837418
286,0.008594327438326789
287,0.014193081777193013
288,0.0041660983701832755
289,0.32328803266665596
290,0.057628780377125675
291,0.26001374488082823
292,0.016596278158612414
293,0.3806940096311767
294,0.0062506047887054455
295,0.30812309924909725
296,0.01638334846936624
297,0.012771376725088966
298,0.36174088264132603
299,0.27155660671863757
300,0.18322911474010628
301,0.013662179169000593
302,0.30493963367892113
303,0.33544559290965653
304,0.012387135611577579
305,0.12638980670159436
306,0.014752856454468907
307,0.013822983056290426
308,0.007855066888144878
309,0.3777205071156954
310,0.2033860779061583
311,0.020316188042021958
312,0.013707077530186726
313,0.17822520577329864
314,0.006574811406424194
315,0.009249732175247603
316,0.0075458338213696755
317,0.3305458777109724
318,0.3235833306572941
319,0.2817477208257275
320,0.004217563006287865
321,0.036156741991211896
322,0.24688730157467764
323,0.0037075783528515804
324,0.3134173852595688
325,0.05078689696090314
326,0.3953649285243931
327,0.3324473567986064
328,0.3134706263987364
329,0.2358299719384669
330,0.006241141020030702
331,0.07853959263157151
332,0.04323025867993734
333,0.0291730971485278
334,0.022209314558258662
335,0.014983552098143024
336,0.2848075489305084
337,0.33664029178875665
338,0.0
339,0.22847959353579525
340,0.01231923992275206
341,0.020158363919912662
342,0.2905041333796296
343,0.33759365887592113
344,0.04229536686241618
345,0.010038024977694444
