,Delta_save
0,3.029795677516619e-05
1,0.49217280357454035
2,2.8348757485231773e-05
3,4.6118879208425534e-05
4,2.799108985655527e-05
5,2.7450696524690883e-05
6,6.710662716411989e-05
7,1.912978638586821e-05
8,0.4706915262850725
9,0.014917189407732293
10,0.0
11,1.2908705181995143e-05
12,0.0006220186358462155
13,0.0005235693915793344
14,2.6760304333098786e-05
15,0.0002289138301534651
16,0.0004197382801436746
17,0.4694870026036582
18,0.00028323893827120834
19,8.15759114031501e-05
20,0.000670600306365542
21,0.36770218494747214
22,0.24812317490771757
23,0.0002024964655855089
24,0.47590437076036274
25,5.504760728749643e-05
26,0.4922917984242424
27,0.003345795842756752
28,0.4958347812984703
29,0.016556607031481544
30,0.00377622634080879
31,0.007576796541106736
32,1.8058280748550275e-05
33,0.4284947445972573
34,0.48905481096135717
35,0.0013409112273324952
36,0.00026025372898179876
37,0.36577601322357506
38,0.0031967006341619654
39,0.000402829167335134
40,0.0008345610626378801
41,0.0008213942887131162
42,0.002127463767425462
43,0.4360710064823509
44,0.0011092575065178147
45,0.0010840105009273357
46,0.0016658484883455733
47,0.0022983063033650227
48,0.4537087680719559
49,0.009016049835994201
50,0.00019993284450384703
51,0.0005542749970639811
52,0.004423745120920494
53,0.00073148197092559
54,0.0022792022004331546
55,0.0004935986760019808
56,0.00038364955986364233
57,0.0014567252635612378
58,0.4246520311984361
59,0.4554700129936709
60,0.0009310462060134524
61,0.40840786277475055
62,0.0005542780891285648
63,0.4052249630097621
64,0.0021774479873605214
65,0.3240664039496052
66,0.005053042982147574
67,0.003078599290720518
68,0.0004449722967627304
69,0.0021288285724738796
70,0.0009655182021417411
71,0.0015337839598830055
72,0.002474536224696138
73,0.0029495188653060242
74,0.001990297984763905
75,0.005467087094330259
76,0.0016817448295005982
77,0.0011816844224445634
78,0.0008530705332192329
79,0.4580735077134434
80,0.0010411054934745443
81,0.0011076854700502973
82,0.0007973841981555307
83,0.0014095269441348319
84,0.0005019421609437669
85,0.446213653275208
86,0.0006014302527949211
87,0.0010108688971020633
88,0.0009637896782538674
89,0.0009511432276181771
90,0.44066468322707986
91,0.0008920417807506369
92,0.0006019429318464312
93,0.0
94,0.0009160113907264152
