,N_moves
0,4.0
1,7.0
2,5.0
3,5.0
4,2.0
5,2.0
6,3.0
7,2.0
8,25.0
9,9.0
10,16.0
11,6.0
12,13.0
13,1.0
14,9.0
15,1.0
16,16.0
17,1.0
18,16.0
19,1.0
20,1.0
21,1.0
22,3.0
23,2.0
24,11.0
25,9.0
26,2.0
27,3.0
28,1.0
29,9.0
30,1.0
31,1.0
32,1.0
33,5.0
34,6.0
35,2.0
36,1.0
37,1.0
38,13.0
39,7.0
40,1.0
41,2.0
42,2.0
43,9.0
44,2.0
45,4.0
46,4.0
47,7.0
48,3.0
49,3.0
50,15.0
51,15.0
52,2.0
53,4.0
54,21.0
55,2.0
56,7.0
57,5.0
58,1.0
59,9.0
60,2.0
61,17.0
62,3.0
63,12.0
64,1.0
65,1.0
66,1.0
67,17.0
68,6.0
69,2.0
70,36.0
71,24.0
72,11.0
73,3.0
74,16.0
75,6.0
76,6.0
77,6.0
78,2.0
79,13.0
80,10.0
81,2.0
82,1.0
83,11.0
84,1.0
85,4.0
86,11.0
87,8.0
88,1.0
89,0.0
90,2.0
91,3.0
92,1.0
93,23.0
94,1.0
95,43.0
96,12.0
97,4.0
98,2.0
99,1.0
100,2.0
101,1.0
102,1.0
103,7.0
104,1.0
105,4.0
106,3.0
107,10.0
108,7.0
109,13.0
110,3.0
111,14.0
112,1.0
113,4.0
114,3.0
115,10.0
116,7.0
117,1.0
118,4.0
119,9.0
120,5.0
121,1.0
122,7.0
123,9.0
124,1.0
125,9.0
126,14.0
127,4.0
128,19.0
129,3.0
130,1.0
131,1.0
132,5.0
133,10.0
134,6.0
135,2.0
136,2.0
137,13.0
138,1.0
139,4.0
140,34.0
141,1.0
142,4.0
143,3.0
144,8.0
145,1.0
146,3.0
147,9.0
148,8.0
149,12.0
150,36.0
151,9.0
152,1.0
153,5.0
154,2.0
155,2.0
156,2.0
157,16.0
158,12.0
159,13.0
160,5.0
161,20.0
162,34.0
163,24.0
164,1.0
165,11.0
166,1.0
167,1.0
168,1.0
169,10.0
170,7.0
171,1.0
172,2.0
173,23.0
174,15.0
175,11.0
176,4.0
177,3.0
178,1.0
179,2.0
180,12.0
181,7.0
182,1.0
183,1.0
184,10.0
185,10.0
186,8.0
187,4.0
188,7.0
189,1.0
190,6.0
191,12.0
192,3.0
193,4.0
194,14.0
195,8.0
196,13.0
197,1.0
198,4.0
199,1.0
200,15.0
201,8.0
202,30.0
203,1.0
204,3.0
205,3.0
206,9.0
207,0.0
208,1.0
209,4.0
210,20.0
211,4.0
212,1.0
213,4.0
214,2.0
215,1.0
216,30.0
217,8.0
218,1.0
219,2.0
220,2.0
221,5.0
222,2.0
223,3.0
224,15.0
225,3.0
226,1.0
227,5.0
228,1.0
229,39.0
230,3.0
231,2.0
232,7.0
233,16.0
234,1.0
235,1.0
236,12.0
237,1.0
238,1.0
239,22.0
240,12.0
241,1.0
242,2.0
243,22.0
244,6.0
245,1.0
246,1.0
247,3.0
248,3.0
249,6.0
250,4.0
251,1.0
252,1.0
253,11.0
254,9.0
255,3.0
256,13.0
257,5.0
258,1.0
259,1.0
260,4.0
261,16.0
262,2.0
263,15.0
264,1.0
265,2.0
266,5.0
267,7.0
268,7.0
269,2.0
270,1.0
271,21.0
272,1.0
273,19.0
274,1.0
275,4.0
276,1.0
277,21.0
278,10.0
279,1.0
280,1.0
281,1.0
282,17.0
283,7.0
284,11.0
285,6.0
286,9.0
287,5.0
288,2.0
289,43.0
290,8.0
291,1.0
292,5.0
293,11.0
294,1.0
295,1.0
296,4.0
297,0.0
298,19.0
299,7.0
300,15.0
301,1.0
302,20.0
303,3.0
304,1.0
305,2.0
306,3.0
307,17.0
308,1.0
309,27.0
310,8.0
311,1.0
312,5.0
313,10.0
314,4.0
315,7.0
316,1.0
317,15.0
318,4.0
319,25.0
320,1.0
321,1.0
322,3.0
323,2.0
324,5.0
325,7.0
326,2.0
327,8.0
328,10.0
329,10.0
330,4.0
331,16.0
332,2.0
333,9.0
334,7.0
335,1.0
336,5.0
337,6.0
338,2.0
339,3.0
340,1.0
341,1.0
342,14.0
343,1.0
344,5.0
345,18.0
346,5.0
347,1.0
348,1.0
349,11.0
350,15.0
351,1.0
352,3.0
353,11.0
354,2.0
355,1.0
356,6.0
357,1.0
358,6.0
359,1.0
360,4.0
361,15.0
362,1.0
363,4.0
364,3.0
365,1.0
366,10.0
367,9.0
368,4.0
369,12.0
370,19.0
371,1.0
372,2.0
373,9.0
374,5.0
375,1.0
376,3.0
377,1.0
378,13.0
379,2.0
380,1.0
381,6.0
382,5.0
383,1.0
384,2.0
385,6.0
386,1.0
387,4.0
388,3.0
389,3.0
390,1.0
391,29.0
392,1.0
393,4.0
394,1.0
395,8.0
396,1.0
397,3.0
398,1.0
399,7.0
400,8.0
401,7.0
402,3.0
403,3.0
404,3.0
405,14.0
406,1.0
407,2.0
408,4.0
409,6.0
410,5.0
411,7.0
412,2.0
413,5.0
414,12.0
415,25.0
