,N_moves
0,28.0
1,5.0
2,34.0
3,23.0
4,7.0
5,3.0
6,46.0
7,1.0
8,17.0
9,15.0
10,0.0
11,1.0
12,33.0
13,42.0
14,40.0
15,1.0
16,1.0
17,1.0
18,1.0
19,24.0
20,22.0
21,11.0
22,1.0
23,0.0
24,5.0
25,22.0
26,14.0
27,28.0
28,24.0
29,2.0
30,1.0
31,3.0
32,35.0
33,5.0
34,38.0
35,37.0
36,23.0
37,38.0
38,15.0
39,23.0
40,16.0
41,39.0
42,1.0
43,1.0
44,2.0
45,0.0
46,0.0
47,3.0
48,3.0
49,45.0
50,7.0
51,6.0
52,25.0
53,36.0
54,8.0
55,2.0
56,10.0
57,11.0
58,1.0
59,2.0
60,16.0
61,2.0
62,5.0
63,31.0
64,17.0
65,12.0
66,8.0
67,0.0
68,15.0
69,6.0
70,3.0
71,1.0
72,17.0
73,8.0
74,1.0
75,6.0
76,27.0
77,7.0
78,15.0
79,7.0
80,24.0
81,4.0
82,5.0
83,21.0
84,1.0
85,10.0
86,4.0
87,0.0
88,15.0
89,13.0
90,4.0
91,6.0
92,1.0
93,1.0
94,2.0
95,1.0
96,24.0
97,0.0
98,21.0
99,31.0
100,26.0
101,8.0
102,1.0
103,43.0
104,22.0
105,20.0
106,1.0
107,25.0
108,7.0
109,0.0
110,1.0
111,6.0
112,1.0
113,1.0
114,0.0
115,7.0
116,4.0
117,14.0
118,2.0
119,1.0
120,27.0
121,25.0
122,12.0
123,37.0
124,11.0
125,18.0
126,0.0
127,13.0
128,19.0
129,0.0
130,2.0
131,35.0
132,13.0
133,3.0
134,1.0
135,0.0
136,22.0
137,9.0
138,1.0
139,2.0
140,1.0
141,16.0
142,38.0
143,14.0
144,10.0
145,13.0
146,26.0
147,17.0
148,11.0
149,21.0
150,13.0
151,26.0
152,9.0
153,1.0
154,15.0
155,9.0
156,12.0
157,4.0
158,24.0
159,2.0
160,7.0
161,0.0
162,1.0
163,22.0
164,0.0
165,1.0
166,7.0
167,25.0
168,26.0
169,10.0
170,1.0
171,14.0
172,11.0
173,0.0
174,2.0
175,14.0
176,2.0
177,32.0
178,2.0
179,24.0
180,22.0
181,47.0
182,0.0
183,1.0
184,6.0
185,1.0
186,23.0
187,5.0
188,9.0
189,0.0
190,33.0
191,32.0
192,1.0
193,1.0
194,1.0
195,21.0
196,22.0
197,33.0
198,3.0
199,3.0
200,1.0
201,2.0
202,27.0
203,22.0
204,6.0
205,9.0
206,1.0
207,0.0
208,1.0
209,10.0
210,3.0
211,9.0
212,1.0
213,16.0
214,38.0
215,36.0
