,N_moves
0,1.0
1,2.0
2,1.0
3,7.0
4,1.0
5,36.0
6,13.0
7,22.0
8,1.0
9,18.0
10,4.0
11,1.0
12,4.0
13,1.0
14,19.0
15,4.0
16,2.0
17,28.0
18,3.0
19,1.0
20,1.0
21,3.0
22,14.0
23,1.0
24,11.0
25,0.0
26,20.0
27,3.0
28,1.0
29,5.0
30,34.0
31,10.0
32,1.0
33,2.0
34,34.0
35,13.0
36,0.0
37,3.0
38,8.0
39,1.0
40,29.0
41,8.0
42,2.0
43,1.0
44,7.0
45,6.0
46,1.0
47,1.0
48,5.0
49,22.0
50,1.0
51,41.0
52,5.0
53,1.0
54,30.0
55,24.0
56,14.0
57,47.0
58,25.0
59,22.0
60,4.0
61,1.0
62,4.0
63,1.0
64,1.0
65,1.0
66,12.0
67,33.0
68,1.0
69,33.0
70,12.0
71,15.0
72,1.0
73,22.0
74,1.0
75,3.0
76,1.0
77,13.0
78,21.0
79,2.0
80,2.0
81,1.0
82,1.0
83,5.0
84,28.0
85,1.0
86,8.0
87,10.0
88,8.0
89,10.0
90,46.0
91,2.0
92,2.0
93,9.0
94,1.0
95,3.0
96,5.0
97,11.0
98,18.0
99,7.0
100,2.0
101,21.0
102,17.0
103,0.0
104,28.0
105,6.0
106,2.0
107,8.0
108,25.0
109,19.0
110,5.0
111,1.0
112,0.0
113,3.0
114,5.0
115,1.0
116,1.0
117,39.0
118,37.0
119,3.0
120,27.0
121,12.0
122,25.0
123,1.0
124,2.0
125,18.0
126,2.0
127,12.0
128,1.0
129,35.0
130,32.0
131,8.0
132,13.0
133,1.0
134,3.0
135,21.0
136,0.0
137,5.0
138,3.0
139,23.0
140,42.0
141,22.0
142,1.0
143,3.0
144,12.0
145,16.0
146,5.0
147,1.0
148,1.0
149,11.0
150,3.0
151,1.0
152,2.0
153,1.0
154,6.0
155,5.0
156,43.0
157,16.0
158,2.0
159,1.0
160,2.0
161,1.0
162,2.0
163,1.0
164,2.0
165,1.0
166,8.0
167,1.0
168,2.0
169,1.0
170,1.0
171,5.0
172,1.0
173,2.0
174,12.0
175,4.0
176,0.0
177,5.0
178,3.0
179,7.0
180,8.0
181,9.0
182,6.0
183,1.0
184,14.0
185,8.0
186,3.0
187,13.0
188,0.0
189,1.0
190,4.0
191,10.0
192,2.0
193,24.0
194,1.0
195,9.0
196,1.0
197,22.0
198,13.0
199,9.0
200,12.0
201,6.0
202,2.0
203,1.0
204,17.0
205,13.0
206,27.0
207,1.0
208,4.0
209,0.0
210,14.0
211,7.0
212,35.0
213,3.0
214,27.0
215,1.0
216,0.0
217,3.0
218,10.0
219,1.0
220,3.0
221,1.0
222,15.0
223,3.0
224,31.0
225,1.0
226,1.0
227,24.0
228,2.0
229,33.0
230,12.0
231,1.0
232,29.0
233,20.0
234,0.0
235,5.0
236,2.0
237,9.0
238,2.0
239,24.0
240,0.0
241,11.0
242,2.0
243,37.0
244,3.0
245,24.0
246,43.0
247,1.0
248,2.0
249,35.0
250,2.0
251,8.0
252,2.0
253,9.0
254,1.0
255,19.0
256,7.0
257,1.0
258,10.0
259,18.0
260,16.0
261,5.0
262,1.0
263,5.0
264,29.0
265,28.0
266,42.0
267,10.0
268,2.0
269,1.0
270,1.0
271,34.0
272,11.0
273,8.0
274,19.0
275,30.0
276,2.0
