,N_moves
0,1.0
1,6.0
2,1.0
3,1.0
4,6.0
5,2.0
6,1.0
7,6.0
8,1.0
9,7.0
10,0.0
11,38.0
12,5.0
13,16.0
14,5.0
15,8.0
16,11.0
17,13.0
18,1.0
19,1.0
20,3.0
21,4.0
22,2.0
23,1.0
24,2.0
25,3.0
26,4.0
27,12.0
28,1.0
29,6.0
30,3.0
31,1.0
32,5.0
33,1.0
34,1.0
35,1.0
36,14.0
37,3.0
38,5.0
39,14.0
40,5.0
41,1.0
42,10.0
43,28.0
44,21.0
45,14.0
46,5.0
47,14.0
48,7.0
49,1.0
50,13.0
51,14.0
52,45.0
53,1.0
54,30.0
55,3.0
56,46.0
57,9.0
58,5.0
59,1.0
60,2.0
61,1.0
62,25.0
63,2.0
64,6.0
65,11.0
66,13.0
67,43.0
68,1.0
69,8.0
70,24.0
71,4.0
72,1.0
73,10.0
74,5.0
75,1.0
76,4.0
77,3.0
78,1.0
79,11.0
80,45.0
81,15.0
82,25.0
83,2.0
84,4.0
85,27.0
86,4.0
87,15.0
88,4.0
89,8.0
90,3.0
91,13.0
92,25.0
93,1.0
94,0.0
95,7.0
96,1.0
97,3.0
98,6.0
99,2.0
100,2.0
101,4.0
102,6.0
103,3.0
104,31.0
105,5.0
106,1.0
107,2.0
108,24.0
109,2.0
110,4.0
111,8.0
112,10.0
113,4.0
114,3.0
115,43.0
116,9.0
117,9.0
118,0.0
119,2.0
120,6.0
121,5.0
122,18.0
123,32.0
124,1.0
125,1.0
126,4.0
127,0.0
128,13.0
129,3.0
130,3.0
131,11.0
132,1.0
133,10.0
134,5.0
135,2.0
136,1.0
137,6.0
138,5.0
139,4.0
140,29.0
141,34.0
142,8.0
143,7.0
144,1.0
145,1.0
146,5.0
147,2.0
148,26.0
149,25.0
150,2.0
151,41.0
152,3.0
153,43.0
154,5.0
155,6.0
156,4.0
157,3.0
158,32.0
159,4.0
160,24.0
161,10.0
162,5.0
163,26.0
164,12.0
165,6.0
166,4.0
167,3.0
168,3.0
169,3.0
170,8.0
171,3.0
172,29.0
173,26.0
174,32.0
175,1.0
176,2.0
177,2.0
178,2.0
179,1.0
180,16.0
181,11.0
182,2.0
183,9.0
184,26.0
185,3.0
186,1.0
187,7.0
188,2.0
189,26.0
190,1.0
191,21.0
192,2.0
193,2.0
194,2.0
195,13.0
196,2.0
197,23.0
198,10.0
199,2.0
200,2.0
201,5.0
202,1.0
203,11.0
204,0.0
205,13.0
206,2.0
207,1.0
208,6.0
209,1.0
210,20.0
211,1.0
212,1.0
213,19.0
214,13.0
215,1.0
216,1.0
217,11.0
218,3.0
219,1.0
220,1.0
221,14.0
222,1.0
223,9.0
224,3.0
225,2.0
226,10.0
227,1.0
228,1.0
229,3.0
230,36.0
231,14.0
232,0.0
233,6.0
234,3.0
235,26.0
236,1.0
237,3.0
238,7.0
239,4.0
240,2.0
241,2.0
242,4.0
243,4.0
244,2.0
245,38.0
246,23.0
247,4.0
248,2.0
249,35.0
250,4.0
251,1.0
252,11.0
253,4.0
254,1.0
255,17.0
256,6.0
257,3.0
258,32.0
259,2.0
260,10.0
261,14.0
262,14.0
263,6.0
264,3.0
265,1.0
266,2.0
267,2.0
268,5.0
269,1.0
270,32.0
271,3.0
272,5.0
273,23.0
274,4.0
275,1.0
276,7.0
277,2.0
278,5.0
279,7.0
280,2.0
281,4.0
282,1.0
283,33.0
284,19.0
285,7.0
286,3.0
287,15.0
288,1.0
289,1.0
290,2.0
291,2.0
292,10.0
293,8.0
294,18.0
295,3.0
296,27.0
297,30.0
298,3.0
299,1.0
300,9.0
301,1.0
302,2.0
303,1.0
304,5.0
305,12.0
306,1.0
307,1.0
308,1.0
309,1.0
310,14.0
311,8.0
312,3.0
313,2.0
314,1.0
315,28.0
316,26.0
317,3.0
318,6.0
319,12.0
320,2.0
321,26.0
322,4.0
323,16.0
324,2.0
325,4.0
326,8.0
327,14.0
328,1.0
329,12.0
330,6.0
331,1.0
332,23.0
333,1.0
334,6.0
335,48.0
336,13.0
337,1.0
338,0.0
339,2.0
340,22.0
341,3.0
342,20.0
343,1.0
344,13.0
345,7.0
346,29.0
347,4.0
348,27.0
349,1.0
350,2.0
351,7.0
352,9.0
353,1.0
354,1.0
355,0.0
356,1.0
357,3.0
358,1.0
359,18.0
360,2.0
361,3.0
362,6.0
363,2.0
364,1.0
365,2.0
366,3.0
367,1.0
368,20.0
369,2.0
370,7.0
371,2.0
372,42.0
373,5.0
374,12.0
375,5.0
376,2.0
377,1.0
378,22.0
379,6.0
380,5.0
381,1.0
382,28.0
383,1.0
384,1.0
385,1.0
386,2.0
387,3.0
388,3.0
389,1.0
390,7.0
391,2.0
392,2.0
393,2.0
394,1.0
395,17.0
396,21.0
397,1.0
398,1.0
399,8.0
400,3.0
401,1.0
402,2.0
403,5.0
404,3.0
405,40.0
406,1.0
407,12.0
408,19.0
409,16.0
410,16.0
411,1.0
412,11.0
413,1.0
414,4.0
415,7.0
416,23.0
417,1.0
418,2.0
419,1.0
420,0.0
421,17.0
422,11.0
423,2.0
424,10.0
425,28.0
426,1.0
