,N_moves
0,23.0
1,6.0
2,12.0
3,13.0
4,4.0
5,1.0
6,13.0
7,9.0
8,3.0
9,9.0
10,0.0
11,1.0
12,5.0
13,3.0
14,1.0
15,16.0
16,3.0
17,1.0
18,4.0
19,11.0
20,2.0
21,7.0
22,1.0
23,1.0
24,1.0
25,17.0
26,7.0
27,20.0
28,6.0
29,1.0
30,6.0
31,5.0
32,4.0
33,27.0
34,29.0
35,5.0
36,8.0
37,3.0
38,1.0
39,1.0
40,6.0
41,23.0
42,1.0
43,12.0
44,9.0
45,1.0
46,11.0
47,1.0
48,1.0
49,14.0
50,2.0
51,3.0
52,42.0
53,9.0
54,13.0
55,2.0
56,7.0
57,4.0
58,1.0
59,1.0
60,7.0
61,12.0
62,1.0
63,1.0
64,5.0
65,26.0
66,25.0
67,6.0
68,1.0
69,1.0
70,11.0
71,11.0
72,6.0
73,1.0
74,1.0
75,12.0
76,6.0
77,49.0
78,10.0
79,1.0
80,12.0
81,38.0
82,10.0
83,2.0
84,2.0
85,1.0
86,2.0
87,2.0
88,11.0
89,1.0
90,41.0
91,4.0
92,9.0
93,0.0
94,1.0
95,1.0
96,1.0
97,4.0
98,0.0
99,25.0
100,5.0
101,16.0
102,18.0
103,6.0
104,28.0
105,3.0
106,9.0
107,5.0
108,15.0
109,3.0
110,3.0
111,1.0
112,1.0
113,3.0
114,1.0
115,1.0
116,1.0
117,3.0
118,4.0
119,6.0
120,1.0
121,1.0
122,1.0
123,1.0
124,5.0
125,4.0
126,4.0
127,1.0
128,5.0
129,4.0
130,15.0
131,1.0
132,1.0
133,6.0
134,1.0
135,3.0
136,29.0
137,1.0
138,2.0
139,24.0
140,7.0
141,1.0
142,2.0
143,1.0
144,43.0
145,0.0
146,3.0
147,6.0
148,1.0
149,49.0
150,12.0
151,1.0
152,1.0
153,8.0
154,2.0
155,2.0
156,12.0
157,20.0
158,2.0
159,1.0
160,17.0
161,44.0
162,3.0
163,13.0
164,18.0
165,27.0
166,1.0
167,5.0
168,1.0
169,0.0
170,0.0
171,35.0
172,25.0
173,18.0
174,0.0
175,10.0
176,38.0
177,41.0
178,0.0
179,4.0
180,6.0
181,13.0
182,6.0
183,36.0
184,34.0
185,15.0
186,16.0
187,7.0
188,1.0
189,0.0
190,11.0
191,1.0
192,22.0
193,47.0
194,38.0
195,1.0
196,1.0
197,2.0
198,5.0
199,11.0
200,3.0
201,2.0
202,1.0
203,31.0
204,8.0
205,4.0
206,32.0
207,1.0
208,6.0
209,2.0
210,1.0
211,2.0
212,9.0
213,21.0
214,7.0
215,1.0
216,1.0
217,5.0
218,1.0
219,1.0
220,7.0
221,3.0
222,5.0
223,1.0
224,1.0
225,1.0
226,3.0
227,1.0
228,1.0
229,1.0
230,10.0
231,1.0
232,1.0
233,9.0
234,7.0
235,2.0
236,3.0
237,1.0
238,2.0
239,1.0
240,9.0
241,1.0
242,2.0
243,1.0
244,1.0
245,3.0
246,1.0
247,3.0
248,2.0
249,7.0
250,10.0
251,1.0
252,12.0
253,1.0
254,6.0
255,3.0
256,3.0
257,3.0
258,1.0
259,3.0
