,Delta_save
0,1.29728999645
1,0.10925475125000002
2,1.2612531487999998
3,1.3173728880500002
4,0.19382783219999997
5,1.18003203125
6,1.0133754248
7,0.09337248979999999
8,0.0925704392
9,1.3031113922000002
10,1.2487056511999999
11,1.1644143012500001
12,0.11183612180000001
13,0.93290970125
14,0.08703209204999998
15,1.1669641992
16,0.09419536079999999
17,0.09799607205000002
18,0.9618012818000001
19,1.1698992648000002
20,1.1809385928
21,1.0732297032
22,1.28209685805
23,1.11767695605
24,0.12017743380000001
25,0.08760460819999998
26,1.15962743405
27,0.21771420844999997
28,1.0421348449999999
29,1.05841065245
30,0.1238327378
31,1.0745047012499997
32,0.06683168000000002
33,1.04984397045
34,0.11813202245
35,0.1294692498
36,0.9099814417999998
37,1.11444985125
38,0.1346182272
39,0.96103861605
40,0.936396125
41,1.1428905672000003
42,1.05167054205
43,1.2626670784499998
44,0.13445742244999997
45,1.07796712805
46,1.3262666978
47,0.96409109405
48,0.9921051522
49,1.0072914048
50,1.09989662445
51,0.9406981447999999
52,1.0196491208
53,0.9252624577999998
54,0.95295915125
55,0.17664973604999998
56,0.8838781924499999
57,0.16572675920000002
58,0.12143577620000001
59,0.91797185045
60,0.8669021138
61,0.86302208205
62,0.81668034045
63,1.0009427072000001
64,0.17487106605000005
65,0.7251331164499999
66,0.9210366364499999
67,0.8412082632
68,0.9928659528
69,0.9900777761999998
70,0.9248544008000001
71,0.21510240499999994
72,0.7469719764499999
73,0.22004314604999994
74,0.7679570311999999
75,0.81473889005
76,0.92307360645
77,0.85857408
78,0.27548979920000005
79,0.8141390408000001
80,0.2265721928
81,0.21593620445000003
82,0.14895427805
83,0.85374551205
84,0.830373845
85,0.26049762
86,0.2613645
87,0.12435583204999999
88,0.7204560722
89,0.22856912720000003
90,0.24739984819999997
91,0.26007193205
92,0.8285191538000001
93,0.34947308045000003
94,0.1903445
95,0.25981236125
96,0.7906154004500001
97,0.27197525045000004
98,0.76358846205
99,0.77495025125
100,0.21413931245000004
101,0.2123303778
102,0.26577882319999996
103,0.21780660005
104,0.7269647620499999
105,0.19384651124999996
106,0.8496995160499999
107,0.19525625405000005
108,0.21768781445000002
109,0.10043265620000001
110,0.6840522577999999
111,0.7663839012500001
112,0.20172681620000005
113,0.19951612805
114,0.2913287112
115,0.18019805445
116,1.0826266952
117,0.72049208405
118,0.7058264484499999
119,0.9399850271999999
120,0.6867099624499999
121,0.1975941248
122,0.72983737445
123,0.22745489045
124,0.3022064768
125,0.7840525088
126,0.6339042204499999
127,0.33023251805000003
128,0.6706904562
129,0.70806190005
130,0.19025196125000002
131,0.268131645
132,0.8068945612500001
133,0.6364176200000001
134,0.27070082
135,0.3052460978
136,0.748965605
137,0.7407514044500001
138,0.7213926728
139,0.18386048000000002
140,0.7188844324500001
141,0.33661833004999997
142,0.7222697860499999
143,0.27934075124999996
144,0.6896781458000001
145,0.29483520500000004
146,0.1729660928
147,0.134162
148,0.66501584645
149,0.35208636125000004
150,0.24762499380000003
151,0.7254101249999999
152,0.22978776320000005
153,0.0
154,0.23926594879999996
155,1.1285578084499999
156,0.32921743679999993
157,0.6080177538
158,0.64099503125
159,0.65376182045
160,0.3145513928
161,0.19428261125000004
162,0.6291503138
163,0.08830923379999998
164,0.7110639004500001
165,0.23321035124999998
166,0.7946696380499998
167,0.7183569384500001
168,0.36788468645000005
169,0.34041975845
170,0.6761682050000001
171,0.7070507528
172,0.63334136045
173,0.6211108512499999
174,0.3080968002
175,0.36681325519999997
176,0.6754473992
177,0.36171765125000005
178,0.36529878125
179,0.2025788552
180,0.3657006242
181,0.6216125
182,0.15204855125
183,0.5902845858000001
184,0.36197286125
185,0.6765752812500001
186,0.3362328008
187,0.65570716445
188,0.31943225205000003
189,0.24743502045000001
190,0.6397954080499999
191,0.6353124641999999
192,0.6361130424500001
193,0.6017703217999999
194,0.24640199999999998
195,0.6266737104499999
196,0.5526158449999999
197,0.6037686272000001
198,0.39303864605
199,0.61291270445
200,0.6040543698
201,0.414323045
202,0.54684882
203,0.7351993800000002
204,0.26348718244999997
205,0.59891040125
206,0.39609450125
207,0.5690524562000001
208,0.5966907281999999
209,0.5352916980499999
210,0.38203414604999997
211,0.5826925104500001
212,0.5655905724499999
213,0.41086206005000003
214,0.33494657045000004
215,0.5584448244499999
216,0.5520798120500001
217,0.40056620179999997
218,0.38986216020000003
219,0.5599147842
220,0.6117064832
221,0.40903299045
222,0.24993157005000002
223,0.38796597845
224,0.40015458000000004
225,0.5389919138
226,0.4070185088
227,0.55673407205
228,0.5888512242000001
229,0.61446372245
