,Delta_save
0,1.201095005
1,0.09433430479999999
2,1.2809281681999998
3,1.2172056338
4,0.11438544499999997
5,1.25822143445
6,1.2358435328
7,1.2940382812500002
8,1.3252245602000001
9,0.08360778319999998
10,1.37055534845
11,1.2657359618000001
12,0.0
13,0.0
14,1.3105966900499997
15,1.25197905605
16,1.0733176098
17,1.13451503445
18,1.2733526527999999
19,1.2431648880500001
20,1.24603633845
21,1.27094407445
22,0.09313064819999999
23,1.1533159687999999
24,0.09420838244999998
25,1.2168936018
26,1.21868833205
27,1.3009167602000002
28,1.2714862044500002
29,1.2142741122000003
30,0.1102057352
31,1.10738450205
32,1.2444582084500002
33,0.08150703125000003
34,0.07556328125000002
35,1.0654496288
36,1.1749985104500003
37,1.0157970578000002
38,1.1769001620499997
39,1.2483896072
40,1.1821068799999999
41,1.0796563458
42,0.0
43,1.0444171392
44,0.11592112500000001
45,0.07373184004999998
46,1.02713144645
47,1.2020561352
48,1.2458626952000003
49,1.1062388767999998
50,1.2030796962
51,0.07721664019999999
52,1.24196680125
53,0.10798233920000001
54,1.0600990440500002
55,0.8979876097999998
56,1.2059355602000001
57,1.2480104072
58,1.1693486592
59,1.0284935042
60,0.1169151368
61,0.9805180684500001
62,0.11208692044999997
63,1.1139572322
64,1.1288432767999999
65,0.10066135805000001
66,0.9267594368
67,0.108531405
68,1.2060908671999997
69,1.19383697205
70,1.1966818512500002
71,0.09640440500000003
72,0.10490948180000001
73,1.2683147912000001
74,1.0472952264500002
75,1.04532786405
76,0.11298831844999999
77,0.8498559564500001
78,0.9387788287999999
79,0.9611633951999999
80,0.11702638205000003
81,0.12651456020000001
82,0.10836374579999998
83,1.1450535780500002
84,1.1507355217999997
85,0.9276582049999998
86,0.12315188205000001
87,0.11210586004999999
88,1.1459163272
89,1.18409121605
90,1.0854390460499999
91,0.08973966124999999
92,0.87718986045
93,1.13541901245
94,0.10076009405000001
95,0.89910027045
96,1.11379305005
97,0.0
98,0.10785690125000001
99,1.07239477005
100,1.1126739488
101,1.0976285448
102,1.0959105152
103,0.131123205
104,0.08797334580000002
105,1.02684481245
106,0.1201088072
107,1.12108840605
108,1.1072059240500003
109,1.1013357698
110,0.98287210125
111,0.1273004882
112,1.00234392845
113,0.99764875125
114,0.07661263680000001
115,0.10502402805
116,0.0
117,0.164451125
118,0.15074991405000004
119,0.8148410140500001
120,1.0582360680499998
121,1.1707407180500002
122,1.1091263921999999
123,1.12060929245
124,0.12425611005000001
125,0.13320541125
126,1.17221016125
127,0.09787657680000003
128,0.0
129,0.08793559845000001
130,0.14034402
131,0.0
132,1.04206266125
133,0.0
134,0.12980022005
135,1.00384531245
136,1.1132259684499999
137,0.9553904680499999
138,0.14188997205
139,0.1359394082
140,1.1239652380499998
141,1.17300649445
142,0.13039192444999997
143,0.14158648980000002
144,0.932022045
145,0.136242
146,0.13055539005000003
147,0.9053196800000002
148,0.1239422472
149,0.12824580125000004
150,0.0
151,0.0
152,0.8938379808
153,1.0724972882
154,0.15465141124999995
155,1.07135522
156,1.1266205832
157,1.0032927857999998
158,0.8172683400500002
159,0.9709768658
160,0.13428116645
161,0.8143176962000002
162,0.10878313679999999
