,Delta_save
0,1.11869386205
1,1.37685396245
2,1.2897946660500001
3,1.2149131320500002
4,1.0029953344499998
5,1.3506940440500002
6,1.2169560050000001
7,0.09211490420000001
8,1.3359749260499998
9,0.14077348605
10,1.2548606620500002
11,1.29555094805
12,1.38582946445
13,1.24941689645
14,1.3739183378
15,1.1666892258000001
16,1.2008470338
17,0.9243920450000002
18,0.11029965119999999
19,1.1320309512
20,1.2472521800000003
21,0.17179763445000004
22,1.3256804449999997
23,1.27317711645
24,1.27407088205
25,1.2383602688000002
26,0.07646396179999998
27,1.21859466125
28,1.2099612360500003
29,1.2758913024500003
30,0.11019165125000002
31,0.9590432512499999
32,1.1452200482
33,1.2342404498
34,1.2406117680500002
35,1.27633862205
36,1.26273064445
37,1.21161074445
38,1.18954515245
39,1.2149910728
40,1.04746890605
41,0.19489397445000003
42,1.2540845192
43,0.10165540499999999
44,1.2262093202
45,0.9265688449999999
46,1.1934043524499998
47,0.09495210419999997
48,1.1253150220500001
49,0.0
50,0.0853175432
51,1.1611508440499998
52,0.11044999999999999
53,0.08323608005
54,1.0947856392
55,1.20253684445
56,0.11555547379999997
57,0.9471971884500001
58,0.0922866722
59,0.14918906880000002
60,1.1032065800000002
61,1.2424554248
62,1.1303313012500003
63,0.11533443920000001
64,0.08966765519999999
65,0.12383771444999997
66,0.07537291380000002
67,0.10239622580000002
68,1.1027313032
69,1.19300270445
70,1.09545161445
71,0.11315000204999999
72,0.9658971060500001
73,0.10889977805000002
74,1.0630132240499999
75,0.11610898605000002
76,1.2586815122
77,1.0431745682
78,1.1889745218
79,0.09812007005
80,0.8114360831999999
81,0.9919361250000002
82,0.12118949119999999
83,1.1707407180500002
84,1.1168099604500001
85,1.0121230088
86,0.12653971245
87,0.09602276645
88,1.0322545928000002
89,1.17285333245
90,0.12304272245
91,1.2034520082
92,0.07450572020000001
93,1.1611508440499998
94,0.12430596605
95,0.0989413128
96,1.14568925645
97,1.0405185282
98,1.1123457858
99,0.09027850319999998
100,1.1237103698
101,1.0845404642
102,0.9628833992000001
103,1.0581924242
104,1.0641508384500002
105,0.11071806245000002
106,1.0142155464500002
107,0.9842325601999999
108,0.18244424180000002
109,1.1437222524500001
110,0.12506000720000002
111,0.80903016045
112,1.05855615045
113,0.9133301857999999
114,0.09989556020000002
115,0.97692242
116,0.1356475698
117,1.1206542050000001
118,0.07573442805000001
119,0.12005490004999997
120,0.11984428820000001
121,1.03750572005
122,0.8459362592000002
123,0.07384708805000001
124,0.9509997784499999
125,0.9262829940499999
126,1.0199061842000001
127,0.12613757645
128,0.22199783445
129,0.12119441445000002
130,0.9734031392000001
131,1.0264865762
132,0.13764455120000002
133,1.02962685005
134,1.15390836125
135,0.8566881407999999
136,0.1302847058
137,0.11612344320000001
138,0.07433596820000002
139,0.93927218
140,0.10540476979999999
141,1.0598515231999999
142,0.10912390444999999
143,0.79469485205
144,0.8824029858
145,0.12462528124999998
146,0.9536633617999999
147,0.9187985682
148,0.8755614449999999
149,1.08349504245
150,0.11770951999999998
151,1.14208941125
152,0.12060924980000001
153,1.09557003125
154,0.10689300844999998
155,0.0
156,0.9735147647999999
157,0.11884275045
158,1.1034591124500002
159,1.1137632000500002
160,0.8599767804499999
161,0.87348509645
162,0.13178464605
163,0.12600702005000003
164,1.11546528845
165,0.14230045519999998
166,0.26528327999999995
167,0.10352615045000002
168,0.92174253125
169,1.1288132257999999
170,1.08579268845
171,0.8534580600499999
172,0.10861528320000002
173,0.0
174,0.8832401140499998
175,0.07385861780000001
176,0.12590663805
177,0.13679065125
178,0.17838364499999995
179,0.10336240445000001
180,0.13527801125
181,0.9515653058
182,0.131072
183,1.0399559980500002
184,0.7015319700499999
185,0.9456425288
186,0.8361313927999998
187,0.22355978445
188,0.80197313045
189,0.0
190,0.9280260084500002
191,0.12018723920000002
192,0.12337034645
193,0.13079566580000002
194,0.12888472204999998
195,0.8944130004499999
196,0.15394035844999998
197,1.0560549780500001
198,0.8133608424500001
199,0.14591882419999996
200,0.11838978000000001
201,0.1349712968
202,0.14199653404999998
203,0.9713113442
204,0.15668242205
205,1.00778824205
206,0.14831636480000002
207,0.10254108980000001
208,0.11598372845
209,0.8382923644499999
210,0.13591333845
211,1.1177666644499997
212,1.00013638805
213,0.14874148820000002
214,0.13133325005000002
215,0.14244453124999998
216,0.7516483440500001
217,0.7707480324500001
218,0.0
219,0.8777860002000001
220,0.8605408050000001
221,0.12519007220000003
222,0.94755507845
