,N_moves
0,4.0
1,49.0
2,2.0
3,1.0
4,1.0
5,7.0
6,1.0
7,3.0
8,2.0
9,4.0
10,1.0
11,3.0
12,7.0
13,8.0
14,1.0
15,5.0
16,1.0
17,3.0
18,10.0
19,1.0
20,1.0
21,4.0
22,6.0
23,36.0
24,1.0
25,18.0
26,5.0
27,1.0
28,1.0
29,22.0
30,1.0
31,1.0
32,13.0
33,3.0
34,1.0
35,1.0
36,3.0
37,6.0
38,14.0
39,10.0
40,5.0
41,1.0
42,3.0
43,9.0
44,5.0
45,1.0
46,3.0
47,3.0
48,34.0
49,2.0
50,1.0
51,1.0
52,3.0
53,6.0
54,3.0
55,1.0
56,2.0
57,2.0
58,3.0
59,7.0
60,26.0
61,1.0
62,1.0
63,9.0
64,1.0
65,1.0
66,20.0
67,5.0
68,3.0
69,2.0
70,5.0
71,1.0
72,8.0
73,6.0
74,28.0
75,25.0
76,10.0
77,12.0
78,12.0
79,2.0
80,16.0
81,4.0
82,3.0
83,9.0
84,1.0
85,8.0
86,1.0
87,15.0
88,7.0
89,4.0
90,1.0
91,3.0
92,19.0
93,7.0
94,2.0
95,1.0
96,6.0
97,12.0
98,46.0
99,8.0
100,5.0
101,1.0
102,3.0
103,7.0
104,1.0
105,7.0
106,2.0
107,1.0
108,8.0
109,1.0
110,2.0
111,3.0
112,1.0
113,8.0
114,3.0
115,4.0
116,18.0
117,4.0
118,11.0
119,16.0
120,1.0
121,1.0
122,6.0
123,2.0
124,7.0
125,12.0
126,6.0
127,5.0
128,5.0
129,9.0
130,4.0
131,3.0
132,18.0
133,1.0
134,2.0
135,3.0
136,6.0
137,31.0
138,6.0
139,2.0
140,22.0
141,5.0
142,2.0
143,1.0
144,6.0
145,9.0
146,1.0
147,16.0
148,34.0
149,2.0
150,1.0
151,6.0
152,9.0
153,0.0
154,3.0
155,3.0
156,1.0
157,15.0
158,2.0
159,3.0
160,2.0
161,1.0
162,1.0
163,10.0
164,1.0
165,2.0
166,9.0
167,9.0
168,2.0
169,2.0
170,15.0
171,2.0
172,4.0
173,4.0
174,12.0
175,21.0
176,8.0
177,17.0
178,1.0
179,4.0
180,2.0
181,7.0
182,10.0
183,1.0
184,2.0
185,16.0
186,1.0
187,1.0
188,3.0
189,1.0
190,3.0
191,6.0
192,3.0
193,3.0
194,2.0
195,1.0
196,12.0
197,3.0
198,1.0
199,6.0
200,2.0
201,4.0
202,12.0
203,2.0
204,3.0
205,24.0
206,5.0
207,1.0
208,9.0
209,35.0
210,1.0
211,23.0
212,1.0
213,1.0
214,8.0
215,7.0
216,3.0
217,7.0
218,1.0
219,19.0
220,6.0
221,3.0
222,1.0
223,1.0
224,7.0
225,13.0
226,2.0
227,23.0
228,1.0
229,3.0
230,1.0
231,12.0
232,20.0
233,2.0
234,16.0
235,2.0
236,2.0
237,2.0
238,9.0
239,2.0
240,1.0
241,5.0
242,4.0
243,4.0
244,1.0
245,10.0
246,3.0
247,4.0
248,1.0
249,5.0
250,4.0
251,1.0
252,1.0
253,1.0
254,6.0
255,4.0
256,1.0
257,1.0
258,2.0
259,1.0
260,1.0
261,9.0
262,8.0
263,7.0
264,2.0
265,7.0
266,4.0
267,17.0
268,5.0
269,4.0
270,6.0
271,1.0
272,5.0
273,5.0
274,21.0
275,15.0
276,9.0
277,7.0
278,25.0
279,2.0
280,7.0
281,1.0
282,2.0
283,7.0
284,35.0
285,1.0
286,3.0
287,9.0
288,1.0
289,4.0
290,15.0
291,2.0
292,6.0
293,5.0
294,1.0
295,2.0
296,2.0
297,6.0
298,6.0
299,3.0
300,1.0
301,1.0
302,1.0
303,2.0
304,27.0
305,5.0
306,1.0
307,2.0
308,3.0
309,7.0
310,4.0
311,20.0
312,1.0
313,5.0
314,5.0
315,1.0
316,3.0
317,3.0
318,6.0
319,7.0
320,3.0
321,6.0
322,3.0
323,2.0
324,4.0
325,1.0
326,1.0
327,2.0
328,5.0
329,2.0
330,2.0
331,1.0
332,1.0
333,11.0
334,7.0
335,0.0
336,9.0
337,7.0
338,1.0
339,2.0
340,19.0
341,1.0
342,1.0
343,1.0
344,30.0
345,9.0
346,26.0
347,3.0
348,2.0
349,5.0
350,2.0
351,4.0
352,4.0
353,9.0
354,3.0
355,3.0
356,9.0
357,6.0
358,3.0
359,18.0
360,4.0
361,2.0
362,4.0
363,1.0
364,8.0
365,14.0
366,6.0
367,6.0
368,1.0
369,37.0
370,4.0
371,1.0
372,11.0
373,2.0
374,2.0
375,1.0
376,1.0
377,1.0
378,1.0
379,4.0
380,1.0
381,1.0
382,2.0
383,1.0
384,40.0
385,2.0
386,1.0
387,1.0
388,6.0
389,4.0
390,4.0
391,5.0
392,2.0
393,2.0
394,13.0
395,1.0
396,3.0
397,5.0
398,1.0
399,1.0
400,1.0
401,3.0
402,4.0
403,8.0
404,3.0
405,8.0
406,5.0
407,1.0
408,19.0
409,3.0
410,1.0
411,6.0
412,1.0
413,35.0
414,1.0
415,2.0
416,9.0
417,2.0
418,3.0
419,2.0
420,3.0
421,15.0
422,12.0
423,8.0
424,1.0
425,4.0
426,14.0
427,1.0
428,3.0
429,5.0
430,1.0
431,1.0
432,5.0
433,2.0
434,1.0
435,18.0
436,2.0
437,3.0
438,1.0
439,8.0
440,1.0
441,2.0
442,1.0
443,7.0
444,7.0
445,2.0
446,2.0
447,1.0
448,11.0
449,3.0
450,5.0
451,6.0
452,5.0
453,8.0
454,33.0
455,7.0
456,16.0
457,6.0
458,2.0
459,2.0
460,2.0
461,3.0
462,10.0
463,2.0
464,4.0
465,4.0
466,1.0
467,1.0
468,2.0
469,3.0
470,3.0
471,8.0
472,36.0
473,14.0
474,1.0
475,1.0
476,3.0
477,16.0
478,3.0
479,5.0
480,1.0
481,23.0
482,1.0
483,0.0
484,8.0
485,1.0
486,1.0
487,2.0
488,4.0
489,1.0
490,1.0
491,4.0
492,1.0
493,3.0
494,16.0
495,21.0
496,1.0
497,8.0
498,1.0
499,3.0
500,2.0
501,1.0
502,17.0
503,2.0
504,0.0
505,3.0
506,6.0
507,1.0
508,2.0
509,1.0
510,1.0
511,3.0
512,1.0
513,3.0
514,7.0
515,3.0
516,4.0
517,1.0
518,13.0
519,8.0
520,14.0
521,5.0
522,2.0
523,11.0
524,10.0
525,3.0
526,6.0
527,1.0
528,4.0
529,3.0
530,21.0
531,1.0
532,4.0
533,13.0
534,1.0
535,5.0
536,6.0
537,1.0
538,1.0
539,6.0
540,24.0
541,5.0
542,33.0
543,5.0
