,N_moves
0,4.0
1,1.0
2,3.0
3,20.0
4,12.0
5,1.0
6,3.0
7,1.0
8,0.0
9,6.0
10,1.0
11,3.0
12,1.0
13,6.0
14,1.0
15,2.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,12.0
22,3.0
23,16.0
24,2.0
25,1.0
26,1.0
27,1.0
28,3.0
29,0.0
30,5.0
31,7.0
32,17.0
33,25.0
34,8.0
35,15.0
36,7.0
37,1.0
38,3.0
39,1.0
40,7.0
41,8.0
42,7.0
43,1.0
44,1.0
45,8.0
46,13.0
47,4.0
48,11.0
49,2.0
50,7.0
51,1.0
52,8.0
53,9.0
54,7.0
55,19.0
56,12.0
57,7.0
58,1.0
59,1.0
60,4.0
61,1.0
62,3.0
63,2.0
64,18.0
65,19.0
66,12.0
67,7.0
68,3.0
69,3.0
70,40.0
71,1.0
72,4.0
73,1.0
74,3.0
75,1.0
76,15.0
77,6.0
78,1.0
79,13.0
80,1.0
81,5.0
82,8.0
83,1.0
84,6.0
85,29.0
86,20.0
87,2.0
88,3.0
89,9.0
90,8.0
91,1.0
92,6.0
93,5.0
94,6.0
95,5.0
96,26.0
97,12.0
98,19.0
99,4.0
100,10.0
101,1.0
102,7.0
103,1.0
104,19.0
105,8.0
106,1.0
107,4.0
108,19.0
109,2.0
110,12.0
111,31.0
112,5.0
113,1.0
114,10.0
115,1.0
116,9.0
117,4.0
118,8.0
119,27.0
120,2.0
121,1.0
122,11.0
123,2.0
124,1.0
125,10.0
126,25.0
127,1.0
128,12.0
129,2.0
130,25.0
131,4.0
132,1.0
133,1.0
134,15.0
135,1.0
136,1.0
137,37.0
138,11.0
139,20.0
140,4.0
141,3.0
142,3.0
143,17.0
144,5.0
145,15.0
146,18.0
147,22.0
148,21.0
149,9.0
150,37.0
151,3.0
152,10.0
153,2.0
154,5.0
155,8.0
156,1.0
157,1.0
158,7.0
159,1.0
160,5.0
161,5.0
162,3.0
163,2.0
164,11.0
165,6.0
166,2.0
167,1.0
168,1.0
169,1.0
170,20.0
171,2.0
172,9.0
173,8.0
174,1.0
175,7.0
176,20.0
177,2.0
178,12.0
179,4.0
180,6.0
181,11.0
182,2.0
183,4.0
184,4.0
185,13.0
186,15.0
187,1.0
188,2.0
189,3.0
190,3.0
191,1.0
192,2.0
193,6.0
194,3.0
195,1.0
196,0.0
197,11.0
198,41.0
199,1.0
200,6.0
201,7.0
202,7.0
203,17.0
204,7.0
205,2.0
206,1.0
207,3.0
208,1.0
209,1.0
210,5.0
211,12.0
212,8.0
213,1.0
214,10.0
215,4.0
216,1.0
217,4.0
218,2.0
219,1.0
220,1.0
221,8.0
222,1.0
223,2.0
224,1.0
225,1.0
226,14.0
227,17.0
228,1.0
229,8.0
230,7.0
231,1.0
232,1.0
233,7.0
234,9.0
235,4.0
236,30.0
237,11.0
238,3.0
239,6.0
240,18.0
241,3.0
242,11.0
243,41.0
244,6.0
245,6.0
246,25.0
247,12.0
248,1.0
249,19.0
250,14.0
251,9.0
252,28.0
253,7.0
254,2.0
255,3.0
256,47.0
257,2.0
258,7.0
259,5.0
260,2.0
261,3.0
262,5.0
263,1.0
264,3.0
265,1.0
266,6.0
267,3.0
268,1.0
269,11.0
270,5.0
271,13.0
272,31.0
273,1.0
274,12.0
275,46.0
276,3.0
277,19.0
278,3.0
279,1.0
280,12.0
281,1.0
282,14.0
283,19.0
284,2.0
285,10.0
286,1.0
287,26.0
288,11.0
289,11.0
290,8.0
291,14.0
292,14.0
293,1.0
294,13.0
295,29.0
296,1.0
297,8.0
298,30.0
299,3.0
300,4.0
301,18.0
302,23.0
303,2.0
304,14.0
305,5.0
306,4.0
307,31.0
308,3.0
309,18.0
310,35.0
311,13.0
312,11.0
313,1.0
314,18.0
315,8.0
316,43.0
317,2.0
318,16.0
319,3.0
320,1.0
321,17.0
322,18.0
323,23.0
324,41.0
325,7.0
326,11.0
327,14.0
328,9.0
329,1.0
330,3.0
331,5.0
332,5.0
333,1.0
334,0.0
335,10.0
336,2.0
337,4.0
338,22.0
339,5.0
340,5.0
341,13.0
342,1.0
343,0.0
344,10.0
345,10.0
346,1.0
347,1.0
348,21.0
349,15.0
350,0.0
351,13.0
352,6.0
353,10.0
354,1.0
355,3.0
356,12.0
357,5.0
358,15.0
359,3.0
360,9.0
361,33.0
362,1.0
363,1.0
364,32.0
365,1.0
366,5.0
367,1.0
368,10.0
369,5.0
370,1.0
371,2.0
372,3.0
373,4.0
374,3.0
375,6.0
376,3.0
377,1.0
378,4.0
379,2.0
380,10.0
381,12.0
382,5.0
383,11.0
384,1.0
385,1.0
386,1.0
387,1.0
388,34.0
389,8.0
390,22.0
391,13.0
392,6.0
393,18.0
394,18.0
395,5.0
396,25.0
397,5.0
398,6.0
399,41.0
400,22.0
401,1.0
402,1.0
403,6.0
404,12.0
405,15.0
406,9.0
407,5.0
408,5.0
409,28.0
410,21.0
411,1.0
412,7.0
413,1.0
414,36.0
415,4.0
416,1.0
417,4.0
418,1.0
419,2.0
420,30.0
421,14.0
422,16.0
423,1.0
424,26.0
425,0.0
426,43.0
427,1.0
428,9.0
429,10.0
430,4.0
431,1.0
432,1.0
433,15.0
434,1.0
435,13.0
436,5.0
437,6.0
438,35.0
439,21.0
440,14.0
441,6.0
442,22.0
443,0.0
444,3.0
445,1.0
446,5.0
447,2.0
448,26.0
449,17.0
450,1.0
451,9.0
452,2.0
453,7.0
454,33.0
455,45.0
456,15.0
457,4.0
458,4.0
459,1.0
460,1.0
461,11.0
462,2.0
463,19.0
464,1.0
465,7.0
466,4.0
467,47.0
468,47.0
469,37.0
470,6.0
471,0.0
472,2.0
473,31.0
474,5.0
475,9.0
476,3.0
477,10.0
478,3.0
479,34.0
480,4.0
481,6.0
482,1.0
483,1.0
484,4.0
485,9.0
486,1.0
487,40.0
488,0.0
489,8.0
490,1.0
491,26.0
492,41.0
493,7.0
494,14.0
495,1.0
496,34.0
497,13.0
498,8.0
499,1.0
500,12.0
501,14.0
502,19.0
503,1.0
504,21.0
505,2.0
506,7.0
507,8.0
508,41.0
509,1.0
510,2.0
511,1.0
512,45.0
513,7.0
514,12.0
515,47.0
516,18.0
517,7.0
518,1.0
519,6.0
520,6.0
521,4.0
522,5.0
523,0.0
524,3.0
525,6.0
526,4.0
527,1.0
528,41.0
529,6.0
530,32.0
531,0.0
532,41.0
533,21.0
534,23.0
535,5.0
536,6.0
537,49.0
538,13.0
539,11.0
540,1.0
541,10.0
542,0.0
543,36.0
544,15.0
545,8.0
546,10.0
547,7.0
548,9.0
549,18.0
550,16.0
551,2.0
552,1.0
553,15.0
554,6.0
555,0.0
556,0.0
557,25.0
558,5.0
559,1.0
560,14.0
561,23.0
562,2.0
563,1.0
564,46.0
565,1.0
566,25.0
567,0.0
568,30.0
569,15.0
570,4.0
571,35.0
572,9.0
573,18.0
574,5.0
575,12.0
576,19.0
577,33.0
578,29.0
579,3.0
580,1.0
581,6.0
582,1.0
583,8.0
584,2.0
585,0.0
586,21.0
587,38.0
588,3.0
589,35.0
590,6.0
591,2.0
592,2.0
593,4.0
594,7.0
595,0.0
596,23.0
597,1.0
598,19.0
599,3.0
600,2.0
601,38.0
602,14.0
603,1.0
604,5.0
605,16.0
606,1.0
607,26.0
608,21.0
609,2.0
610,10.0
611,5.0
612,1.0
613,41.0
614,2.0
615,15.0
616,38.0
617,0.0
618,5.0
619,8.0
620,1.0
621,21.0
622,2.0
623,26.0
624,2.0
625,1.0
626,13.0
