,N_moves
0,8.0
1,1.0
2,1.0
3,3.0
4,2.0
5,20.0
6,3.0
7,3.0
8,2.0
9,11.0
10,1.0
11,1.0
12,0.0
13,0.0
14,1.0
15,1.0
16,2.0
17,11.0
18,5.0
19,10.0
20,3.0
21,4.0
22,1.0
23,8.0
24,1.0
25,6.0
26,3.0
27,9.0
28,12.0
29,23.0
30,25.0
31,11.0
32,1.0
33,6.0
34,4.0
35,16.0
36,1.0
37,11.0
38,1.0
39,2.0
40,4.0
41,10.0
42,0.0
43,8.0
44,40.0
45,3.0
46,37.0
47,10.0
48,30.0
49,3.0
50,20.0
51,7.0
52,1.0
53,20.0
54,19.0
55,15.0
56,15.0
57,11.0
58,2.0
59,1.0
60,5.0
61,2.0
62,29.0
63,26.0
64,3.0
65,1.0
66,6.0
67,3.0
68,17.0
69,1.0
70,4.0
71,1.0
72,5.0
73,9.0
74,1.0
75,2.0
76,21.0
77,3.0
78,20.0
79,2.0
80,15.0
81,27.0
82,4.0
83,8.0
84,16.0
85,23.0
86,29.0
87,7.0
88,4.0
89,1.0
90,6.0
91,2.0
92,7.0
93,1.0
94,1.0
95,9.0
96,6.0
97,0.0
98,1.0
99,25.0
100,25.0
101,26.0
102,1.0
103,1.0
104,3.0
105,26.0
106,10.0
107,14.0
108,2.0
109,37.0
110,31.0
111,1.0
112,38.0
113,1.0
114,45.0
115,1.0
116,0.0
117,10.0
118,38.0
119,22.0
120,2.0
121,1.0
122,5.0
123,1.0
124,1.0
125,40.0
126,5.0
127,2.0
128,0.0
129,2.0
130,1.0
131,0.0
132,2.0
133,0.0
134,1.0
135,18.0
136,4.0
137,47.0
138,18.0
139,3.0
140,1.0
141,1.0
142,2.0
143,21.0
144,32.0
145,2.0
146,13.0
147,32.0
148,4.0
149,2.0
150,0.0
151,0.0
152,8.0
153,2.0
154,31.0
155,1.0
156,17.0
157,21.0
158,1.0
159,21.0
160,1.0
161,42.0
162,1.0
163,5.0
164,10.0
165,11.0
166,7.0
167,17.0
168,1.0
169,6.0
170,16.0
171,6.0
172,1.0
173,44.0
174,2.0
175,1.0
176,1.0
177,35.0
178,3.0
179,2.0
180,4.0
181,23.0
182,6.0
183,1.0
184,1.0
185,5.0
186,0.0
187,25.0
188,26.0
189,12.0
190,13.0
191,0.0
192,10.0
193,5.0
194,2.0
195,10.0
196,1.0
197,5.0
198,0.0
199,1.0
200,1.0
201,0.0
202,1.0
203,2.0
204,0.0
205,2.0
206,25.0
207,1.0
208,0.0
209,7.0
210,1.0
211,0.0
212,0.0
213,0.0
214,6.0
215,5.0
216,17.0
217,1.0
218,12.0
219,1.0
220,5.0
221,27.0
222,1.0
223,2.0
224,1.0
225,23.0
226,7.0
227,2.0
228,1.0
229,25.0
230,4.0
231,12.0
232,12.0
233,39.0
234,6.0
235,20.0
236,1.0
237,5.0
238,18.0
239,30.0
240,6.0
241,1.0
242,6.0
243,33.0
244,47.0
245,0.0
246,5.0
247,27.0
248,2.0
249,4.0
250,7.0
251,0.0
252,9.0
253,29.0
254,1.0
255,7.0
256,27.0
257,1.0
258,1.0
259,14.0
260,24.0
261,10.0
262,0.0
263,36.0
264,1.0
265,0.0
266,2.0
267,40.0
268,34.0
269,4.0
270,38.0
271,10.0
272,2.0
273,17.0
274,25.0
275,12.0
276,30.0
277,2.0
278,15.0
279,16.0
280,4.0
281,3.0
282,3.0
283,1.0
284,1.0
285,1.0
286,31.0
287,1.0
288,35.0
289,18.0
290,26.0
291,7.0
292,17.0
293,36.0
294,21.0
295,1.0
296,2.0
297,2.0
298,16.0
299,2.0
300,1.0
301,19.0
302,1.0
303,2.0
304,13.0
305,1.0
306,4.0
307,13.0
308,17.0
309,8.0
310,1.0
311,16.0
312,36.0
313,1.0
314,25.0
315,21.0
316,2.0
317,7.0
318,6.0
319,9.0
320,0.0
321,2.0
322,0.0
323,7.0
324,33.0
325,6.0
326,2.0
327,26.0
328,35.0
329,10.0
330,1.0
331,5.0
332,5.0
333,40.0
334,2.0
335,22.0
336,1.0
337,40.0
338,0.0
339,10.0
340,0.0
341,8.0
342,20.0
343,22.0
344,3.0
345,3.0
346,2.0
347,9.0
348,5.0
349,27.0
350,1.0
351,1.0
352,14.0
353,32.0
354,14.0
355,2.0
356,13.0
357,28.0
358,14.0
359,2.0
360,0.0
361,3.0
362,20.0
363,1.0
364,2.0
365,25.0
366,1.0
367,1.0
368,2.0
369,2.0
370,18.0
371,8.0
372,5.0
373,1.0
374,37.0
375,15.0
376,7.0
377,22.0
378,1.0
379,4.0
380,10.0
381,4.0
382,1.0
383,13.0
384,13.0
385,12.0
386,17.0
387,34.0
388,12.0
389,1.0
390,26.0
391,2.0
392,5.0
393,1.0
394,19.0
395,0.0
396,1.0
397,15.0
398,5.0
399,1.0
400,2.0
401,12.0
402,46.0
403,8.0
404,14.0
405,2.0
406,36.0
407,32.0
408,2.0
409,2.0
410,26.0
411,35.0
412,6.0
413,5.0
414,4.0
415,14.0
416,0.0
417,1.0
418,7.0
419,2.0
420,1.0
421,20.0
422,1.0
423,2.0
424,36.0
425,3.0
426,0.0
427,0.0
428,5.0
429,1.0
430,18.0
431,2.0
432,1.0
433,23.0
434,1.0
435,1.0
436,6.0
437,0.0
438,1.0
439,3.0
440,2.0
441,2.0
442,2.0
443,30.0
444,16.0
445,31.0
446,2.0
447,9.0
448,11.0
449,6.0
450,2.0
451,25.0
452,12.0
453,1.0
454,5.0
455,13.0
456,3.0
457,7.0
458,1.0
459,15.0
460,29.0
461,8.0
462,5.0
463,33.0
464,9.0
465,1.0
466,11.0
467,1.0
468,41.0
469,18.0
470,12.0
471,16.0
472,0.0
473,8.0
474,1.0
475,41.0
476,2.0
477,2.0
478,2.0
479,6.0
480,14.0
481,2.0
482,11.0
483,16.0
484,3.0
485,4.0
486,41.0
487,2.0
488,6.0
489,2.0
490,20.0
491,15.0
492,28.0
493,1.0
494,40.0
495,7.0
496,2.0
497,1.0
498,5.0
499,13.0
500,25.0
501,2.0
502,11.0
503,14.0
504,5.0
505,1.0
506,2.0
507,17.0
508,11.0
509,10.0
510,26.0
511,3.0
512,46.0
513,1.0
514,1.0
515,1.0
516,45.0
517,24.0
518,41.0
519,1.0
520,1.0
521,1.0
522,1.0
523,24.0
524,1.0
525,17.0
526,2.0
527,0.0
528,7.0
529,4.0
530,8.0
531,4.0
532,1.0
533,0.0
534,1.0
535,4.0
536,3.0
537,1.0
538,23.0
539,3.0
540,0.0
541,1.0
542,7.0
543,8.0
544,11.0
545,0.0
546,17.0
547,15.0
548,8.0
549,7.0
550,5.0
551,5.0
552,1.0
553,8.0
554,13.0
555,21.0
556,28.0
557,0.0
558,3.0
559,24.0
560,2.0
561,1.0
562,2.0
563,18.0
564,44.0
565,43.0
566,0.0
567,1.0
568,5.0
569,12.0
570,49.0
571,5.0
572,37.0
573,5.0
574,18.0
575,43.0
576,11.0
577,6.0
578,22.0
579,10.0
580,1.0
581,7.0
582,28.0
583,34.0
584,9.0
585,3.0
586,0.0
587,0.0
588,0.0
589,3.0
590,4.0
591,14.0
592,5.0
593,2.0
594,17.0
595,10.0
596,8.0
597,16.0
598,2.0
599,20.0
600,2.0
601,1.0
602,0.0
603,2.0
604,16.0
605,2.0
606,17.0
607,3.0
608,1.0
609,1.0
610,2.0
611,2.0
612,18.0
613,2.0
614,35.0
615,1.0
616,11.0
617,12.0
618,5.0
619,9.0
620,2.0
621,1.0
622,1.0
623,13.0
624,3.0
625,23.0
626,31.0
627,1.0
628,20.0
629,1.0
630,0.0
631,1.0
632,1.0
633,17.0
634,0.0
635,2.0
636,2.0
637,44.0
638,1.0
639,1.0
640,40.0
641,5.0
642,3.0
643,21.0
644,4.0
645,27.0
646,5.0
647,2.0
648,29.0
649,1.0
650,13.0
651,4.0
652,11.0
653,33.0
654,6.0
655,1.0
656,9.0
657,6.0
658,5.0
659,2.0
660,36.0
661,11.0
662,2.0
663,0.0
664,0.0
665,0.0
666,3.0
667,2.0
668,8.0
669,1.0
670,1.0
671,2.0
672,9.0
673,7.0
674,1.0
675,6.0
676,2.0
677,6.0
678,15.0
679,1.0
680,2.0
681,11.0
682,10.0
683,3.0
684,4.0
685,30.0
686,13.0
687,8.0
688,2.0
689,20.0
690,1.0
691,3.0
692,18.0
693,2.0
694,4.0
695,1.0
696,7.0
697,25.0
698,1.0
699,3.0
700,1.0
701,0.0
702,0.0
703,1.0
704,3.0
705,9.0
706,1.0
707,26.0
708,1.0
709,35.0
710,20.0
711,1.0
712,4.0
713,2.0
714,29.0
715,3.0
716,15.0
717,5.0
718,2.0
719,42.0
720,6.0
721,15.0
722,2.0
723,4.0
724,1.0
725,1.0
726,41.0
727,10.0
728,44.0
729,6.0
730,49.0
731,1.0
732,2.0
733,24.0
734,1.0
735,1.0
736,5.0
737,16.0
738,12.0
739,1.0
740,46.0
741,43.0
742,35.0
743,1.0
744,8.0
745,7.0
746,14.0
747,0.0
748,1.0
749,3.0
750,5.0
751,1.0
752,28.0
753,0.0
754,22.0
755,45.0
756,5.0
757,45.0
758,7.0
759,7.0
760,0.0
761,18.0
762,1.0
763,2.0
764,12.0
765,1.0
766,15.0
767,2.0
768,1.0
769,1.0
770,0.0
771,1.0
772,34.0
773,6.0
774,1.0
775,24.0
776,1.0
777,3.0
778,15.0
779,1.0
780,40.0
781,4.0
782,8.0
783,31.0
784,4.0
785,47.0
786,17.0
787,11.0
788,16.0
789,49.0
790,0.0
791,28.0
792,1.0
793,10.0
794,19.0
795,1.0
796,30.0
797,35.0
798,1.0
799,10.0
800,36.0
801,7.0
802,18.0
803,3.0
804,1.0
805,4.0
806,26.0
807,0.0
808,2.0
809,7.0
810,1.0
811,2.0
812,49.0
813,11.0
814,12.0
815,11.0
816,1.0
817,1.0
818,1.0
819,10.0
820,1.0
821,2.0
822,10.0
823,7.0
824,1.0
825,21.0
826,4.0
827,11.0
828,1.0
829,10.0
830,7.0
831,8.0
832,0.0
833,1.0
834,6.0
835,1.0
836,3.0
837,1.0
838,6.0
839,13.0
840,34.0
841,1.0
842,3.0
843,28.0
844,0.0
845,21.0
846,4.0
847,14.0
848,1.0
849,1.0
850,1.0
851,12.0
852,22.0
853,7.0
854,15.0
855,18.0
856,2.0
857,36.0
858,9.0
859,10.0
860,47.0
861,11.0
862,1.0
863,0.0
864,1.0
865,13.0
866,2.0
867,15.0
868,2.0
869,9.0
870,1.0
871,5.0
872,6.0
873,2.0
874,15.0
875,0.0
876,0.0
877,12.0
878,1.0
879,2.0
880,1.0
881,33.0
882,2.0
883,37.0
884,1.0
885,1.0
886,4.0
887,47.0
888,37.0
889,17.0
890,16.0
891,1.0
892,31.0
893,0.0
894,37.0
895,28.0
896,4.0
897,16.0
898,1.0
899,0.0
900,21.0
901,8.0
902,1.0
903,11.0
904,6.0
905,15.0
906,3.0
907,1.0
908,3.0
909,1.0
910,17.0
911,1.0
912,12.0
913,4.0
914,6.0
915,1.0
916,14.0
917,5.0
918,21.0
919,38.0
920,8.0
921,21.0
922,11.0
923,1.0
924,0.0
925,1.0
926,41.0
927,1.0
928,4.0
929,2.0
930,1.0
931,3.0
932,1.0
933,19.0
934,0.0
935,7.0
936,14.0
937,18.0
938,0.0
939,30.0
940,0.0
941,15.0
942,0.0
943,33.0
944,4.0
945,1.0
946,27.0
947,7.0
948,5.0
949,3.0
950,8.0
951,47.0
952,3.0
953,1.0
954,2.0
955,6.0
956,26.0
957,19.0
958,23.0
959,5.0
960,27.0
961,1.0
962,2.0
963,7.0
964,1.0
965,2.0
966,2.0
967,18.0
968,2.0
969,1.0
970,49.0
971,0.0
972,1.0
973,35.0
974,1.0
975,39.0
976,22.0
977,1.0
978,1.0
979,1.0
980,14.0
981,1.0
982,1.0
983,19.0
984,5.0
985,1.0
986,16.0
987,31.0
988,0.0
989,9.0
990,31.0
991,4.0
992,1.0
993,4.0
994,6.0
995,2.0
996,1.0
997,4.0
998,3.0
999,1.0
1000,2.0
1001,1.0
1002,22.0
1003,8.0
1004,10.0
1005,18.0
1006,20.0
1007,30.0
1008,10.0
1009,40.0
1010,12.0
1011,18.0
1012,3.0
1013,31.0
1014,31.0
1015,45.0
1016,1.0
1017,1.0
1018,1.0
1019,13.0
1020,11.0
1021,11.0
1022,5.0
1023,21.0
1024,38.0
1025,2.0
1026,6.0
1027,17.0
1028,7.0
1029,14.0
1030,4.0
1031,19.0
1032,22.0
1033,5.0
1034,1.0
1035,4.0
1036,15.0
1037,15.0
1038,0.0
1039,13.0
1040,10.0
1041,1.0
1042,23.0
1043,13.0
