,N_moves
0,9.0
1,3.0
2,2.0
3,6.0
4,1.0
5,5.0
6,2.0
7,16.0
8,1.0
9,1.0
10,15.0
11,9.0
12,1.0
13,1.0
14,8.0
15,15.0
16,23.0
17,10.0
18,3.0
19,21.0
20,40.0
21,13.0
22,1.0
23,16.0
24,1.0
25,18.0
26,9.0
27,1.0
28,1.0
29,4.0
30,13.0
31,4.0
32,2.0
33,23.0
34,27.0
35,4.0
36,2.0
37,4.0
38,1.0
39,9.0
40,20.0
41,28.0
42,10.0
43,1.0
44,1.0
45,18.0
46,34.0
47,23.0
48,3.0
49,0.0
50,1.0
51,14.0
52,5.0
53,9.0
54,7.0
55,1.0
56,2.0
57,17.0
58,2.0
59,3.0
60,2.0
61,12.0
62,14.0
63,5.0
64,3.0
65,1.0
66,19.0
67,2.0
68,12.0
69,4.0
70,16.0
71,19.0
72,12.0
73,11.0
74,28.0
75,5.0
76,12.0
77,42.0
78,1.0
79,2.0
80,21.0
81,21.0
82,2.0
83,5.0
84,6.0
85,21.0
86,8.0
87,38.0
88,5.0
89,1.0
90,4.0
91,1.0
92,25.0
93,9.0
94,1.0
95,1.0
96,11.0
97,2.0
98,4.0
99,11.0
100,8.0
101,9.0
102,1.0
103,13.0
104,46.0
105,26.0
106,28.0
107,22.0
108,33.0
109,1.0
110,2.0
111,1.0
112,6.0
113,1.0
114,1.0
115,26.0
116,1.0
117,1.0
118,14.0
119,13.0
120,1.0
121,8.0
122,34.0
123,11.0
124,8.0
125,12.0
126,8.0
127,40.0
128,37.0
129,2.0
130,8.0
131,28.0
132,20.0
133,2.0
134,4.0
135,10.0
136,4.0
137,2.0
138,49.0
139,3.0
140,38.0
141,3.0
142,10.0
143,10.0
144,15.0
145,1.0
146,18.0
147,14.0
148,25.0
149,1.0
150,20.0
151,1.0
152,15.0
153,10.0
154,2.0
155,0.0
156,2.0
157,13.0
158,41.0
159,48.0
160,21.0
161,1.0
162,7.0
163,3.0
164,9.0
165,13.0
166,20.0
167,8.0
168,8.0
169,1.0
170,4.0
171,15.0
172,1.0
173,0.0
174,43.0
175,14.0
176,16.0
177,5.0
178,2.0
179,8.0
180,2.0
181,38.0
182,1.0
183,16.0
184,1.0
185,18.0
186,27.0
187,18.0
188,9.0
189,0.0
190,26.0
191,2.0
192,2.0
193,20.0
194,14.0
195,32.0
196,1.0
197,4.0
198,4.0
199,28.0
200,4.0
201,30.0
202,15.0
203,1.0
204,1.0
205,26.0
206,1.0
207,9.0
208,24.0
209,13.0
210,23.0
211,34.0
212,23.0
213,2.0
214,2.0
215,4.0
216,19.0
217,7.0
218,0.0
219,24.0
220,3.0
221,48.0
222,45.0
223,1.0
224,1.0
225,19.0
226,8.0
227,44.0
228,14.0
229,13.0
230,27.0
231,5.0
232,1.0
233,2.0
234,1.0
235,4.0
236,2.0
237,16.0
238,3.0
239,15.0
240,13.0
241,3.0
242,19.0
243,7.0
244,1.0
245,4.0
246,27.0
247,48.0
248,1.0
249,5.0
250,0.0
251,1.0
252,7.0
253,2.0
254,1.0
255,13.0
256,34.0
257,1.0
258,27.0
259,9.0
260,0.0
261,1.0
262,8.0
263,11.0
264,1.0
265,0.0
266,0.0
267,4.0
268,3.0
269,6.0
270,1.0
271,11.0
272,12.0
273,46.0
274,15.0
275,27.0
276,3.0
277,3.0
278,3.0
279,8.0
280,2.0
281,0.0
282,13.0
283,4.0
284,1.0
285,15.0
286,22.0
287,1.0
288,5.0
289,3.0
290,31.0
291,8.0
292,1.0
293,1.0
294,7.0
295,1.0
296,14.0
297,0.0
298,1.0
299,8.0
300,2.0
301,3.0
302,43.0
303,0.0
304,1.0
305,1.0
306,44.0
307,4.0
308,4.0
309,0.0
310,2.0
311,1.0
312,2.0
313,3.0
314,17.0
315,0.0
316,15.0
317,23.0
318,19.0
319,9.0
320,2.0
321,1.0
322,5.0
323,5.0
324,1.0
325,1.0
326,4.0
327,2.0
328,2.0
329,1.0
330,9.0
331,6.0
332,3.0
333,2.0
334,2.0
335,1.0
336,6.0
337,11.0
338,26.0
339,41.0
340,33.0
341,6.0
342,3.0
343,2.0
344,3.0
345,20.0
346,0.0
347,1.0
348,1.0
349,15.0
350,4.0
351,2.0
352,40.0
353,6.0
354,1.0
355,18.0
356,0.0
357,1.0
358,21.0
359,1.0
360,39.0
361,30.0
362,11.0
363,1.0
364,14.0
365,4.0
366,10.0
367,1.0
368,10.0
369,31.0
370,3.0
371,1.0
372,1.0
373,11.0
374,14.0
375,0.0
376,29.0
377,11.0
378,8.0
379,39.0
380,6.0
381,1.0
382,3.0
383,7.0
384,1.0
385,1.0
386,27.0
387,7.0
388,6.0
389,4.0
390,13.0
391,17.0
392,2.0
393,30.0
394,23.0
395,13.0
396,16.0
397,14.0
398,13.0
399,0.0
400,22.0
401,8.0
402,14.0
403,19.0
404,35.0
405,2.0
406,11.0
407,11.0
408,27.0
409,17.0
410,12.0
411,3.0
412,32.0
413,30.0
414,30.0
415,34.0
416,24.0
417,4.0
418,42.0
419,1.0
420,1.0
421,36.0
422,9.0
423,26.0
424,1.0
425,13.0
426,3.0
427,1.0
428,7.0
429,0.0
430,1.0
431,17.0
432,14.0
433,1.0
434,41.0
435,28.0
436,2.0
437,2.0
438,1.0
439,7.0
440,6.0
441,2.0
442,1.0
443,4.0
444,31.0
445,13.0
446,1.0
447,2.0
448,42.0
449,1.0
450,5.0
451,25.0
452,2.0
453,1.0
454,11.0
455,28.0
456,18.0
457,13.0
458,10.0
459,37.0
460,4.0
461,8.0
462,1.0
463,9.0
464,5.0
465,2.0
466,8.0
467,9.0
468,0.0
469,2.0
470,0.0
471,0.0
472,11.0
473,13.0
474,4.0
475,33.0
476,8.0
477,6.0
478,0.0
479,45.0
480,18.0
481,7.0
482,1.0
483,7.0
484,6.0
485,2.0
486,21.0
487,20.0
488,7.0
489,1.0
490,37.0
491,6.0
492,18.0
493,14.0
494,6.0
495,28.0
496,4.0
497,13.0
498,26.0
499,3.0
500,0.0
501,2.0
502,6.0
503,31.0
504,18.0
505,1.0
506,1.0
507,1.0
508,2.0
509,1.0
