,Delta_save
0,0.15119500500000002
1,0.21294990605000003
2,0.09827961125000001
3,0.09670762205000001
4,0.13420862405000003
5,0.17098382419999997
6,0.07552052479999999
7,0.18636123005
8,0.20434585205000003
9,0.20440339219999998
10,0.18287337645
11,0.17271915380000002
12,0.15850702079999998
13,0.19637017804999998
14,0.22894114445
15,0.06604068245000001
16,0.11044999999999999
17,0.18337568
18,0.09507852245000001
19,0.2047232072
20,0.19655823005000003
21,0.1781567432
22,0.08144648
23,0.11947738444999999
24,0.14474352079999997
25,0.14481347445
26,0.0835750728
27,0.19819178404999999
28,0.1735665362
29,0.13731420125000002
30,0.21431604499999996
31,0.20516496245
32,0.17800754445000003
33,0.15307597804999998
34,0.13787550720000002
35,0.16173828124999998
36,0.17357242805
37,0.07024876445
38,0.20212717805
39,0.10747638844999999
40,0.13691621205
41,0.09831064820000002
42,0.12725003520000003
43,0.13396005605
44,0.1311129632
45,0.13881707405
46,0.09875901245
47,0.14596744804999998
48,0.19154955125
49,0.16755102719999998
50,0.09439947004999998
51,0.19608200644999996
52,0.07098535205
53,0.18444915844999998
54,0.1532475522
55,0.09875901245
56,0.06701826605000001
57,0.16664341805
58,0.0
59,0.09284602319999999
60,0.17186798204999998
61,0.13997869605
62,0.14860516445000002
63,0.18499619644999998
64,0.09470387205
65,0.2082963968
66,0.12576617045000002
67,0.1598498882
68,0.16557710579999999
69,0.07672227919999998
70,0.17024196004999997
71,0.19701619919999996
72,0.062050599199999994
73,0.12241352000000001
74,0.20067379519999998
75,0.08858682320000001
76,0.09901695005000001
77,0.18729648080000003
78,0.108438245
79,0.0
80,0.07930153125
81,0.18190702444999998
82,0.11030434805000003
83,0.18884814244999998
84,0.07606170044999999
85,0.10589662205
86,0.08552007245
87,0.08557384500000001
88,0.1629291528
89,0.19085695445
90,0.17158667805000002
91,0.15826500605000002
92,0.18344230204999998
93,0.1001549768
94,0.16390675125
95,0.1236735378
96,0.17569406419999997
97,0.07759436180000001
98,0.15572106244999998
99,0.0828977762
100,0.10731417920000001
101,0.05858122204999999
102,0.10041024845000002
103,0.064692045
104,0.11103828125
105,0.12283446124999998
106,0.0
107,0.1772386722
108,0.0
109,0.11737012499999999
110,0.13915450124999998
111,0.1818286208
112,0.10291730804999999
113,0.1514040392
114,0.1132023362
115,0.07469885519999998
116,0.06415003805
117,0.079880045
118,0.20679523604999997
119,0.09117731045000001
120,0.11164702579999998
121,0.0652760712
122,0.14495343244999997
123,0.07457522
124,0.13897519204999997
125,0.0590029952
126,0.06786296405
127,0.06530136604999999
128,0.19985738644999998
129,0.17206151220000002
130,0.13776000500000002
131,0.0608935202
132,0.0
133,0.10040128605000001
134,0.08122062079999998
135,0.16260393645000004
136,0.11508962645000001
137,0.13213398245000002
138,0.14055071804999997
139,0.1009172738
140,0.11076512444999999
141,0.07982010124999998
142,0.15400695004999998
143,0.10470803220000001
144,0.1681652018
145,0.1495169928
146,0.0857062802
147,0.09668123644999999
148,0.14266879445000002
149,0.10807065405000002
150,0.13184112499999998
151,0.14777222480000002
152,0.10541854444999998
153,0.1289101088
154,0.13733516404999996
155,0.1263938642
156,0.10356255605
157,0.10350795005
158,0.09254892645
159,0.060072712199999996
160,0.11049700499999998
161,0.0
162,0.0
163,0.17847325125000002
164,0.061390080000000014
165,0.0
166,0.10072418445
167,0.0812367432
168,0.17285436045
169,0.15401250000000002
170,0.0
171,0.08223540124999999
172,0.069900605
173,0.0
174,0.08978626880000001
175,0.12318166125
176,0.08686528805
177,0.14337477005000002
178,0.10583680320000002
179,0.12870201124999997
180,0.07823385680000002
181,0.0592574738
182,0.14405564880000002
183,0.08981593445000002
184,0.18708844500000002
185,0.0
186,0.1118550402
187,0.0782022152
188,0.0895321928
189,0.08807824205
190,0.16160181005
191,0.09697167605
192,0.08229218804999999
193,0.046707904800000005
194,0.0
195,0.07970826645000001
196,0.15321987245000002
197,0.0589480448
198,0.0
199,0.05800077405
200,0.14479194844999999
201,0.056723856200000006
202,0.18376953124999998
203,0.12305760499999999
204,0.10392240500000001
205,0.06649210444999999
206,0.12122888
207,0.12533522444999998
208,0.0965537568
209,0.09010437005000002
210,0.10269512
211,0.07152896645000001
212,0.08665700804999998
213,0.09527922045
214,0.08620797645
215,0.054648180000000005
216,0.05267284245000001
217,0.05990991125
218,0.18863924645000002
219,0.12473514045000002
220,0.18020405779999998
221,0.1269374498
222,0.0846496658
223,0.10211132405000002
224,0.10412309780000001
225,0.15725392805000002
226,0.0784951442
227,0.049672368050000006
228,0.1031851592
229,0.13676973004999998
230,0.1822147712
231,0.050660628049999996
232,0.1533139938
233,0.12448054080000001
234,0.09595704320000001
235,0.14768525519999998
236,0.12091394879999999
237,0.0
238,0.08431671125000001
239,0.0
240,0.07928958420000001
241,0.07291234845
242,0.04880937680000002
243,0.18498403125
244,0.0539495552
245,0.06014205620000001
246,0.13205688319999997
247,0.08341978580000002
248,0.14533057845
249,0.1109299202
250,0.057463890049999994
251,0.09373151044999999
252,0.09914159205
253,0.08850265919999999
254,0.11091579005
255,0.07673403125
256,0.0
257,0.11544012500000002
258,0.09866126205
259,0.07616704499999999
260,0.0942561362
261,0.14864878125
262,0.13509082204999998
263,0.03898190420000001
264,0.12484504804999999
265,0.07479551644999997
266,0.07667527999999998
267,0.1433587058
268,0.17433922004999997
269,0.06429698000000002
270,0.14972486420000003
271,0.11695866125000001
272,0.090270005
273,0.05882793004999999
274,0.11897442000000001
275,0.11096760500000001
276,0.0
277,0.12320151605
278,0.07217340245
279,0.1049461298
280,0.14306970319999998
281,0.07637013619999998
282,0.14077348605
283,0.16730798579999998
284,0.11591631004999998
285,0.08691948179999999
286,0.10793587219999999
287,0.09081895805000001
288,0.1710189128
289,0.099770445
290,0.0
291,0.15656488819999997
292,0.08640324499999999
293,0.15202098
294,0.10280845125000002
295,0.06674396480000001
296,0.05975078805000002
297,0.0763154312
298,0.16535850320000003
299,0.14254062245000002
300,0.13191816125000003
301,0.0479136968
302,0.13797529805000003
303,0.09337681125
304,0.051520500000000004
305,0.11924286124999997
306,0.16102245005000002
307,0.11120328000000002
308,0.07582007404999999
309,0.06836122879999999
310,0.1413205448
311,0.06899869520000002
312,0.0
313,0.0808341632
314,0.17631703445000005
315,0.08435778124999999
316,0.07282454479999999
317,0.0
318,0.04453321680000001
319,0.0
320,0.1354288968
321,0.10526248444999999
322,0.04299191645
323,0.0813899858
324,0.10258185125000001
325,0.08081808079999998
326,0.08688196125
327,0.1017365832
328,0.059429728799999984
329,0.0634677192
330,0.0
331,0.053926564049999993
332,0.16263245119999997
333,0.12957613245000002
334,0.0
335,0.14831636480000002
336,0.08802788405
337,0.19657704020000002
338,0.08086633279999998
339,0.09087437119999998
340,0.07792167645
341,0.040892280200000006
342,0.04581061805
343,0.0
344,0.09841266124999999
345,0.07008019220000002
346,0.0910961928
347,0.10332148819999999
348,0.03952266125
349,0.09603153125000001
350,0.09944462045
351,0.16854818
352,0.10045954879999999
353,0.14390539519999998
354,0.08556557120000002
355,0.12655983604999999
356,0.13206202245
357,0.06074355125000001
358,0.11060515445
359,0.0
360,0.10745784405
361,0.06898755125
362,0.06608430125000002
363,0.11084044444999999
364,0.17907718579999998
365,0.16444539005000003
366,0.06563426805000001
367,0.0
368,0.13594462245000002
369,0.06342497279999999
370,0.17132901844999998
371,0.13474278720000002
372,0.2008765728
373,0.15948257645
374,0.07266815644999998
375,0.06168125645000001
376,0.16390102580000002
377,0.16928052980000002
378,0.18036618605
379,0.07653828124999999
380,0.10092176644999998
381,0.06049633280000001
382,0.11352136005
383,0.09894576125000001
384,0.08046066125000001
385,0.05931945679999999
386,0.03434296319999999
387,0.0581132232
388,0.09950260500000002
389,0.0628989512
390,0.08994736980000001
391,0.08159992020000001
392,0.05978882
393,0.13215968720000001
394,0.1044610632
395,0.0907720832
396,0.17306021119999998
397,0.0
398,0.0
399,0.07051139045000002
400,0.03320206804999999
401,0.12687195645000002
402,0.0
403,0.03188065005
404,0.11048290244999999
405,0.13076497999999998
406,0.0
407,0.09457335405
408,0.062396313800000006
409,0.113621445
410,0.10156073805000002
411,0.08087839805000002
412,0.1436908832
413,0.1001549768
414,0.1873576898
415,0.09646149645
416,0.13127175605
417,0.0868361138
418,0.09513958204999999
419,0.09387011205000001
420,0.1661876552
421,0.07344411380000002
422,0.0753729138
423,0.03040331405
424,0.090865845
425,0.08431671125000001
426,0.10389961125
427,0.05755206645000001
428,0.0
429,0.0867611168
430,0.05936079679999999
431,0.042561948800000006
432,0.0547606418
433,0.09969005520000002
434,0.11862833405
435,0.07353229005
436,0.031130115199999992
437,0.16573251644999998
438,0.12047667845000001
439,0.08889436124999998
440,0.09463425125000002
441,0.05454243920000001
442,0.08070153125000003
443,0.07280164819999999
444,0.050740236800000005
445,0.12840791645000002
446,0.0534056562
447,0.05679461045000002
448,0.04950860445
449,0.16201139645
450,0.14597825444999998
451,0.0
452,0.0
453,0.12097788605
454,0.04895946319999999
455,0.11651412644999999
456,0.0798480722
457,0.18117792080000003
458,0.03002475125
459,0.029095956450000012
460,0.05699700845
461,0.0
462,0.10128150244999999
463,0.0
464,0.12477510124999999
465,0.12497000180000002
466,0.11224795805
467,0.14853975125000002
468,0.0507338658
469,0.11397447679999999
470,0.07256907045
471,0.162165125
472,0.0630196002
473,0.16447406580000004
474,0.06647387220000002
475,0.15487395125
476,0.0737203202
477,0.11922332805000001
478,0.05861887999999999
479,0.0
480,0.060183681800000007
481,0.0
482,0.09325152980000001
483,0.16030254419999998
484,0.057054419999999995
485,0.09650103119999999
