,Delta_save
0,0.1511620128
1,0.18249861124999997
2,0.22049448245000003
3,0.16705934045000004
4,0.10758304980000002
5,0.08593828819999998
6,0.23090089680000003
7,0.17177418845000003
8,0.16404419205
9,0.10060303679999998
10,0.087153125
11,0.16314614419999998
12,0.14932566005000003
13,0.06385665844999999
14,0.15139853645
15,0.17252525405
16,0.06319012500000001
17,0.17837767205
18,0.21058103045000004
19,0.14391076005
20,0.17077921245
21,0.14624854445000002
22,0.09694525445
23,0.0864697698
24,0.22854208320000002
25,0.09064004645
26,0.07192286645
27,0.17578299244999998
28,0.18984505805000002
29,0.12369840605
30,0.14687658004999998
31,0.19556883405
32,0.17666756819999996
33,0.13800681845
34,0.08809922880000001
35,0.05918520125000001
36,0.17968214044999997
37,0.19480033619999998
38,0.1261124642
39,0.09996708979999999
40,0.16942602605
41,0.09642636125000002
42,0.15581036645000002
43,0.16703622005
44,0.2023624962
45,0.10135352645000001
46,0.16239300499999998
47,0.17108910080000003
48,0.06863142004999999
49,0.13596548044999998
50,0.17319555125000002
51,0.13783350079999998
52,0.08131737919999998
53,0.14919453125
54,0.15713057405000003
55,0.19532500020000002
56,0.07790193919999998
57,0.13763930444999997
58,0.18712514879999997
59,0.11234274005000001
60,0.17769741124999996
61,0.10796839805000003
62,0.09151925444999999
63,0.15620137245000001
64,0.09452117205
65,0.10630199405
66,0.19870207999999998
67,0.07384324499999999
68,0.1364090912
69,0.17886778605
70,0.15231336245000002
71,0.12850422079999999
72,0.12353929245
73,0.11413208645000002
74,0.09783233779999997
75,0.13549656245
76,0.10683290879999999
77,0.08221107005
78,0.17310139605
79,0.15961249999999996
80,0.11530082205000002
81,0.09338977620000001
82,0.06407484020000001
83,0.11106184500000002
84,0.0809709282
85,0.1301622242
86,0.16230183380000002
87,0.15668801999999998
88,0.0849626642
89,0.07939714005000001
90,0.14177812499999998
91,0.12561575644999998
92,0.12018723919999999
93,0.0605589602
94,0.1424925728
95,0.09099378
96,0.11845304645
97,0.1351376072
98,0.13320024980000003
99,0.0753185672
100,0.1124517888
101,0.15025613805
102,0.14119829405000003
103,0.12864620880000002
104,0.13326735645
105,0.1404394002
106,0.08576425279999998
107,0.14766895124999999
108,0.1422257778
109,0.11250396124999999
