,N_moves
0,6.0
1,3.0
2,6.0
3,11.0
4,1.0
5,2.0
6,12.0
7,6.0
8,1.0
9,3.0
10,18.0
11,0.0
12,5.0
13,3.0
14,1.0
15,12.0
16,1.0
17,14.0
18,1.0
19,1.0
20,4.0
21,7.0
22,5.0
23,5.0
24,9.0
25,1.0
26,1.0
27,1.0
28,2.0
29,5.0
30,3.0
31,6.0
32,8.0
33,5.0
34,8.0
35,1.0
36,21.0
37,16.0
38,29.0
39,7.0
40,16.0
41,3.0
42,15.0
43,49.0
44,28.0
45,1.0
46,1.0
47,4.0
48,1.0
49,7.0
50,9.0
51,1.0
52,1.0
53,8.0
54,13.0
55,5.0
56,3.0
57,1.0
58,1.0
59,12.0
60,3.0
61,9.0
62,5.0
63,39.0
64,18.0
65,1.0
66,5.0
67,1.0
68,2.0
69,14.0
70,7.0
71,1.0
72,1.0
73,18.0
74,6.0
75,1.0
76,14.0
77,16.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,2.0
85,1.0
86,7.0
87,6.0
88,1.0
89,6.0
90,1.0
91,7.0
92,1.0
93,3.0
94,1.0
95,1.0
96,31.0
97,18.0
98,1.0
99,5.0
100,2.0
101,3.0
102,6.0
103,1.0
104,2.0
105,13.0
106,2.0
107,39.0
108,1.0
109,4.0
110,2.0
111,1.0
112,13.0
113,4.0
114,18.0
115,4.0
116,1.0
117,2.0
118,22.0
119,23.0
120,3.0
121,1.0
122,7.0
123,10.0
124,27.0
125,2.0
126,4.0
127,15.0
128,45.0
129,12.0
130,17.0
131,1.0
132,8.0
133,21.0
134,1.0
135,6.0
136,5.0
137,1.0
138,30.0
139,5.0
140,8.0
141,1.0
142,1.0
143,26.0
144,9.0
145,1.0
146,1.0
147,3.0
148,21.0
149,30.0
150,3.0
151,2.0
152,14.0
153,37.0
154,2.0
155,6.0
156,12.0
157,7.0
158,1.0
159,4.0
160,42.0
161,4.0
162,1.0
163,1.0
164,2.0
165,1.0
166,15.0
167,1.0
168,3.0
169,8.0
170,8.0
171,25.0
172,23.0
173,10.0
174,11.0
175,3.0
176,1.0
