,N_moves
0,8.0
1,3.0
2,5.0
3,5.0
4,1.0
5,5.0
6,8.0
7,3.0
8,3.0
9,1.0
10,3.0
11,5.0
12,8.0
13,6.0
14,1.0
15,1.0
16,7.0
17,1.0
18,7.0
19,3.0
20,1.0
21,7.0
22,21.0
23,11.0
24,13.0
25,1.0
26,11.0
27,12.0
28,5.0
29,20.0
30,6.0
31,1.0
32,9.0
33,5.0
34,7.0
35,1.0
36,8.0
37,2.0
38,2.0
39,16.0
40,8.0
41,1.0
42,7.0
43,2.0
44,12.0
45,31.0
46,1.0
47,6.0
48,2.0
49,18.0
50,7.0
51,1.0
52,4.0
53,26.0
54,1.0
55,1.0
56,11.0
57,14.0
58,13.0
59,1.0
60,12.0
61,2.0
62,4.0
63,3.0
64,13.0
65,2.0
66,6.0
67,11.0
68,7.0
69,20.0
70,3.0
71,1.0
72,17.0
73,1.0
74,5.0
75,13.0
76,9.0
77,5.0
78,1.0
79,3.0
80,4.0
81,3.0
82,1.0
83,5.0
84,4.0
85,9.0
86,8.0
87,1.0
88,4.0
89,1.0
90,6.0
91,6.0
92,1.0
93,34.0
94,28.0
95,15.0
96,11.0
97,7.0
98,13.0
99,4.0
100,3.0
101,2.0
102,5.0
103,1.0
104,4.0
105,1.0
106,17.0
107,1.0
108,5.0
109,5.0
110,16.0
111,27.0
112,25.0
113,16.0
114,31.0
115,8.0
116,10.0
117,2.0
118,2.0
119,29.0
120,1.0
121,2.0
122,2.0
123,4.0
124,20.0
125,8.0
126,2.0
127,1.0
128,7.0
129,13.0
130,7.0
131,6.0
132,22.0
133,10.0
134,7.0
135,8.0
136,3.0
137,10.0
138,2.0
139,6.0
140,4.0
141,32.0
142,1.0
143,6.0
144,10.0
145,1.0
146,12.0
147,1.0
148,1.0
149,10.0
150,1.0
151,2.0
152,1.0
153,5.0
154,3.0
155,10.0
156,1.0
157,6.0
158,1.0
159,9.0
160,1.0
161,3.0
162,8.0
163,3.0
164,19.0
165,11.0
166,11.0
167,1.0
168,4.0
169,1.0
170,1.0
171,2.0
172,15.0
173,13.0
174,1.0
175,6.0
176,1.0
177,1.0
178,21.0
179,5.0
180,15.0
181,1.0
182,21.0
183,20.0
184,1.0
185,12.0
186,22.0
187,1.0
188,1.0
189,1.0
190,1.0
191,28.0
192,20.0
193,3.0
194,1.0
195,4.0
196,4.0
197,1.0
198,1.0
199,1.0
200,17.0
201,7.0
202,9.0
203,9.0
204,1.0
205,1.0
206,6.0
207,2.0
208,1.0
209,4.0
210,12.0
211,2.0
212,0.0
213,9.0
214,10.0
215,1.0
216,13.0
217,21.0
218,2.0
219,3.0
220,4.0
221,1.0
222,1.0
223,20.0
224,0.0
225,1.0
226,1.0
227,6.0
228,14.0
229,3.0
230,9.0
231,1.0
232,1.0
233,2.0
234,10.0
235,1.0
236,11.0
237,31.0
238,3.0
239,3.0
240,12.0
241,5.0
242,10.0
243,0.0
244,4.0
245,9.0
246,1.0
247,8.0
248,21.0
249,6.0
250,18.0
251,2.0
252,1.0
253,4.0
254,1.0
255,1.0
256,5.0
257,1.0
258,4.0
259,4.0
260,10.0
261,32.0
262,12.0
263,27.0
264,8.0
265,2.0
266,1.0
267,10.0
268,2.0
269,7.0
270,7.0
271,7.0
272,1.0
273,7.0
274,1.0
275,19.0
276,4.0
