,N_moves
0,29.0
1,5.0
2,3.0
3,2.0
4,14.0
5,10.0
6,1.0
7,1.0
8,1.0
9,8.0
10,1.0
11,1.0
12,5.0
13,8.0
14,2.0
15,1.0
16,1.0
17,1.0
18,1.0
19,4.0
20,19.0
21,7.0
22,3.0
23,15.0
24,8.0
25,28.0
26,1.0
27,5.0
28,1.0
29,4.0
30,1.0
31,1.0
32,3.0
33,26.0
34,35.0
35,3.0
36,17.0
37,3.0
38,1.0
39,2.0
40,22.0
41,3.0
42,18.0
43,1.0
44,10.0
45,22.0
46,5.0
47,2.0
48,16.0
49,9.0
50,1.0
51,1.0
52,19.0
53,1.0
54,13.0
55,4.0
56,1.0
57,7.0
58,0.0
59,11.0
60,3.0
61,14.0
62,4.0
63,10.0
64,2.0
65,1.0
66,9.0
67,9.0
68,1.0
69,7.0
70,13.0
71,1.0
72,6.0
73,4.0
74,1.0
75,43.0
76,24.0
77,1.0
78,8.0
79,0.0
80,1.0
81,3.0
82,33.0
83,3.0
84,4.0
85,21.0
86,6.0
87,19.0
88,12.0
89,4.0
90,2.0
91,10.0
92,5.0
93,12.0
94,14.0
95,15.0
96,3.0
97,13.0
98,4.0
99,42.0
100,30.0
101,1.0
102,3.0
103,1.0
104,1.0
105,9.0
106,0.0
107,4.0
108,0.0
109,22.0
110,18.0
111,13.0
112,20.0
113,29.0
114,24.0
115,1.0
116,1.0
117,15.0
118,16.0
119,9.0
120,39.0
121,1.0
122,8.0
123,12.0
124,13.0
125,20.0
126,7.0
127,12.0
128,31.0
129,4.0
130,16.0
131,11.0
132,0.0
133,4.0
134,1.0
135,2.0
136,23.0
137,23.0
138,2.0
139,5.0
140,9.0
141,3.0
142,4.0
143,19.0
144,1.0
145,1.0
146,3.0
147,18.0
148,1.0
149,3.0
150,13.0
151,5.0
152,29.0
153,8.0
154,1.0
155,16.0
156,9.0
157,33.0
158,5.0
159,2.0
160,39.0
161,0.0
162,0.0
163,10.0
164,4.0
165,0.0
166,11.0
167,5.0
168,21.0
169,1.0
170,0.0
