,N_moves
0,4.0
1,2.0
2,1.0
3,1.0
4,11.0
5,1.0
6,5.0
7,4.0
8,1.0
9,15.0
10,3.0
11,14.0
12,8.0
13,1.0
14,6.0
15,13.0
16,1.0
17,1.0
18,3.0
19,2.0
20,8.0
21,5.0
22,10.0
23,26.0
24,8.0
25,11.0
26,5.0
27,18.0
28,6.0
29,1.0
30,7.0
31,3.0
32,2.0
33,1.0
34,12.0
35,7.0
36,3.0
37,5.0
38,12.0
39,13.0
40,5.0
41,20.0
42,1.0
43,5.0
44,1.0
45,5.0
46,13.0
47,1.0
48,8.0
49,5.0
50,1.0
51,9.0
52,2.0
53,1.0
54,2.0
55,1.0
56,4.0
57,8.0
58,1.0
59,1.0
60,10.0
61,11.0
62,1.0
63,5.0
64,25.0
65,4.0
66,4.0
67,3.0
68,12.0
69,1.0
70,1.0
71,13.0
72,1.0
73,23.0
74,1.0
75,5.0
76,9.0
77,7.0
78,1.0
79,5.0
80,5.0
81,3.0
82,4.0
83,8.0
84,3.0
85,4.0
86,3.0
87,21.0
88,5.0
89,10.0
90,5.0
91,8.0
92,1.0
93,8.0
94,10.0
95,9.0
96,1.0
97,22.0
98,17.0
99,4.0
100,2.0
101,10.0
102,1.0
103,4.0
104,1.0
105,2.0
106,12.0
107,1.0
108,13.0
109,1.0
110,12.0
111,0.0
112,15.0
113,6.0
114,3.0
115,2.0
116,11.0
117,1.0
118,0.0
119,2.0
120,5.0
121,1.0
122,5.0
123,1.0
124,15.0
125,2.0
126,6.0
127,7.0
128,1.0
129,18.0
130,4.0
131,17.0
132,4.0
133,17.0
134,1.0
135,17.0
136,1.0
137,2.0
138,12.0
139,12.0
140,1.0
141,1.0
142,28.0
143,5.0
144,1.0
145,12.0
146,4.0
147,12.0
148,6.0
149,6.0
150,5.0
151,3.0
152,16.0
153,1.0
154,8.0
155,7.0
156,1.0
157,6.0
158,7.0
159,4.0
160,1.0
161,1.0
162,19.0
163,14.0
164,19.0
165,24.0
166,18.0
167,2.0
168,3.0
169,4.0
170,16.0
171,5.0
172,1.0
173,1.0
174,2.0
175,1.0
176,8.0
177,32.0
178,5.0
179,15.0
180,2.0
181,6.0
182,1.0
183,9.0
184,17.0
185,1.0
186,27.0
187,4.0
188,4.0
189,10.0
190,3.0
191,0.0
192,6.0
193,8.0
194,2.0
195,1.0
196,6.0
197,4.0
198,5.0
199,10.0
200,8.0
201,17.0
202,2.0
203,2.0
204,12.0
205,1.0
206,46.0
207,11.0
208,2.0
209,1.0
210,1.0
211,21.0
212,1.0
213,18.0
214,17.0
215,1.0
216,1.0
217,19.0
218,7.0
219,27.0
220,8.0
221,1.0
222,12.0
223,2.0
224,11.0
225,2.0
226,18.0
227,1.0
228,11.0
229,1.0
230,1.0
231,21.0
232,17.0
233,31.0
234,22.0
235,1.0
236,3.0
237,21.0
238,14.0
239,8.0
240,1.0
241,9.0
242,8.0
243,1.0
244,7.0
245,10.0
246,1.0
247,48.0
248,8.0
249,3.0
250,4.0
251,1.0
252,2.0
253,2.0
254,1.0
255,9.0
256,9.0
257,4.0
258,18.0
259,13.0
260,1.0
261,11.0
262,38.0
263,6.0
264,1.0
265,23.0
266,28.0
267,1.0
268,1.0
269,5.0
270,1.0
271,6.0
272,10.0
273,11.0
274,3.0
275,3.0
276,1.0
277,4.0
278,3.0
279,29.0
280,21.0
281,4.0
282,32.0
283,30.0
284,18.0
285,16.0
286,4.0
287,3.0
288,36.0
289,27.0
290,3.0
291,8.0
292,7.0
293,5.0
294,2.0
295,1.0
296,4.0
297,26.0
298,3.0
299,11.0
300,5.0
301,8.0
302,8.0
303,20.0
304,6.0
305,17.0
306,1.0
307,1.0
308,4.0
309,29.0
310,1.0
311,27.0
312,16.0
313,1.0
314,8.0
315,10.0
316,1.0
317,1.0
318,25.0
319,27.0
320,1.0
321,4.0
322,18.0
323,3.0
324,7.0
325,9.0
326,1.0
327,10.0
328,5.0
329,1.0
330,2.0
331,1.0
332,1.0
333,10.0
334,11.0
335,4.0
336,9.0
337,1.0
338,13.0
339,30.0
340,2.0
341,1.0
342,2.0
343,9.0
344,3.0
345,7.0
346,10.0
347,1.0
348,1.0
349,5.0
350,1.0
351,5.0
352,9.0
353,4.0
354,10.0
355,4.0
356,1.0
357,20.0
358,8.0
359,5.0
360,1.0
361,5.0
362,1.0
363,1.0
364,8.0
365,18.0
366,14.0
367,1.0
368,13.0
369,3.0
370,1.0
371,3.0
372,11.0
373,10.0
374,17.0
375,8.0
376,6.0
377,5.0
378,1.0
379,32.0
380,2.0
381,15.0
382,8.0
383,10.0
384,14.0
385,9.0
386,7.0
387,4.0
388,8.0
389,1.0
390,4.0
391,7.0
392,35.0
393,3.0
394,1.0
395,5.0
396,2.0
397,6.0
398,1.0
399,1.0
400,1.0
401,5.0
402,23.0
403,17.0
404,1.0
405,1.0
406,1.0
407,6.0
408,1.0
409,20.0
410,31.0
411,10.0
412,2.0
413,1.0
414,1.0
415,5.0
416,5.0
417,4.0
418,11.0
419,1.0
420,8.0
421,38.0
422,4.0
423,16.0
424,3.0
425,10.0
426,5.0
427,7.0
428,16.0
429,1.0
430,3.0
431,6.0
432,1.0
433,9.0
434,24.0
435,25.0
436,15.0
437,11.0
438,3.0
439,9.0
440,30.0
441,1.0
442,2.0
443,5.0
444,1.0
445,9.0
446,1.0
447,1.0
448,4.0
449,3.0
450,43.0
451,2.0
452,6.0
453,6.0
454,16.0
455,4.0
456,27.0
457,7.0
458,1.0
459,6.0
460,2.0
461,3.0
462,10.0
463,3.0
464,8.0
465,5.0
466,7.0
467,3.0
468,1.0
469,1.0
470,20.0
471,16.0
472,17.0
473,15.0
474,7.0
475,22.0
476,2.0
477,5.0
478,14.0
479,2.0
480,17.0
481,40.0
482,1.0
483,1.0
484,2.0
485,2.0
486,5.0
487,13.0
488,24.0
489,4.0
490,9.0
491,24.0
492,6.0
493,10.0
494,8.0
495,3.0
496,1.0
497,0.0
498,18.0
499,10.0
500,17.0
501,1.0
502,2.0
503,1.0
504,32.0
505,16.0
506,3.0
507,1.0
508,3.0
509,1.0
510,25.0
511,1.0
512,14.0
513,19.0
514,4.0
515,10.0
516,6.0
517,4.0
518,1.0
519,5.0
520,4.0
521,6.0
522,6.0
523,3.0
524,32.0
525,8.0
526,1.0
527,4.0
528,2.0
529,3.0
530,36.0
531,25.0
532,10.0
533,8.0
534,34.0
535,3.0
536,1.0
537,19.0
538,1.0
539,3.0
540,1.0
541,8.0
542,1.0
543,8.0
544,5.0
545,1.0
546,1.0
547,12.0
548,12.0
549,1.0
550,14.0
551,1.0
552,4.0
553,1.0
554,1.0
555,3.0
556,26.0
557,15.0
558,1.0
559,1.0
560,1.0
561,6.0
562,5.0
563,25.0
564,1.0
565,2.0
566,8.0
567,14.0
568,2.0
569,20.0
570,3.0
571,12.0
572,30.0
573,5.0
574,24.0
575,9.0
576,3.0
577,11.0
578,9.0
579,14.0
580,8.0
581,5.0
582,3.0
583,1.0
584,12.0
585,29.0
586,9.0
587,4.0
588,8.0
589,2.0
590,8.0
591,2.0
592,13.0
593,1.0
594,5.0
595,1.0
596,4.0
597,18.0
598,7.0
599,13.0
600,21.0
601,9.0
602,2.0
603,6.0
604,2.0
605,3.0
606,49.0
607,1.0
608,2.0
609,19.0
610,15.0
611,1.0
612,21.0
613,2.0
614,2.0
615,3.0
616,3.0
617,22.0
618,5.0
619,16.0
620,14.0
621,19.0
622,2.0
623,39.0
624,0.0
625,9.0
626,4.0
627,1.0
628,4.0
629,6.0
630,7.0
631,1.0
632,5.0
633,6.0
634,29.0
635,2.0
636,3.0
637,5.0
638,7.0
639,10.0
640,18.0
641,5.0
642,7.0
643,5.0
644,9.0
645,42.0
646,6.0
647,7.0
648,2.0
649,2.0
650,27.0
651,0.0
652,2.0
653,1.0
654,13.0
655,41.0
656,4.0
657,1.0
658,8.0
659,3.0
660,3.0
661,10.0
662,4.0
663,1.0
664,1.0
665,5.0
666,3.0
667,2.0
668,1.0
669,9.0
670,2.0
671,9.0
672,4.0
673,14.0
674,6.0
675,18.0
676,1.0
677,7.0
678,1.0
679,9.0
680,10.0
681,4.0
682,4.0
683,32.0
684,2.0
685,17.0
686,2.0
687,2.0
688,5.0
689,1.0
690,17.0
691,3.0
692,1.0
693,1.0
694,1.0
695,16.0
696,1.0
697,1.0
698,3.0
699,49.0
700,1.0
701,4.0
702,7.0
703,7.0
704,12.0
705,3.0
706,5.0
707,4.0
708,3.0
709,1.0
710,6.0
711,11.0
712,12.0
713,11.0
714,1.0
715,1.0
716,14.0
717,12.0
718,8.0
719,18.0
720,11.0
721,10.0
722,1.0
723,9.0
724,1.0
725,7.0
726,4.0
727,6.0
728,5.0
729,5.0
730,1.0
731,4.0
732,8.0
733,20.0
