,Delta_save
0,0.5
1,4.99999999995449e-11
2,0.5
3,0.5
4,0.032012090449999996
5,0.0
6,0.5
7,0.4999200032
8,0.5
9,0.0005521164499999994
10,0.5
11,0.0
12,0.5
13,2.4500000000010146e-09
14,0.5
15,0.49996000079999997
16,0.5
17,0.5
18,0.5
19,2.4500000000010146e-09
20,0.5
21,0.5
22,0.5
23,2.0000000000040003e-10
24,0.5
25,0.49996000079999997
26,0.11900856845000002
27,0.5
28,0.5
29,0.5
30,0.49935021124999995
31,0.5
32,0.5
33,0.5
34,6.808050000000001e-06
35,0.5
36,0.49999000005000005
37,0.5
38,0.0
39,0.0
40,0.5
41,0.5
42,3.808799999999958e-06
43,0.5
44,4.99999999995449e-11
45,0.5
46,0.49973003645
47,0.5
48,0.38599533845
49,0.23492085125
50,0.0
51,0.47394848
52,0.5
53,0.5
54,0.5
55,0.5
56,0.16782321125000002
57,0.5
58,0.5
59,0.49933022445
60,0.49854106579999996
61,0.0
62,0.4957689888
63,0.5
64,0.0
65,0.5
66,0.5
67,0.5
68,0.47312128125
69,0.4282936352
70,0.0
71,0.0
72,9.799999999999998e-09
73,0.49973003645
74,0.49789222605000005
75,0.4989805202
76,5.120000000000001e-08
77,0.5
78,0.2486253128
79,0.41840207645
80,0.33352394644999994
81,0.17749477804999997
82,0.49989000604999995
83,0.27274282245
84,2.8084499999999604e-06
85,0.0
86,0.47247948405
87,0.5
88,0.36783322204999996
89,0.44486028125000004
90,0.5
91,0.5
92,0.45163008000000004
93,0.49955010125000004
94,0.3067637792
95,0.474045845
96,0.0
97,0.49757295244999994
98,0.08273091644999998
99,0.0329320448
100,0.5
101,0.5
102,0.0
103,0.4946941512
104,0.49052531520000003
105,0.0036876871999999964
106,0.4647829698
107,0.2063517282
108,0.0
109,0.0
110,0.49983001444999997
111,0.0
112,0.44761883444999995
113,0.49971004204999997
114,0.41715891405000005
115,0.49977002645000007
116,0.23012006404999996
117,0.0
118,0.47325747605
119,0.21067189604999997
120,0.39444073805
121,0.5
122,0.43365053205
123,0.49999000005000005
124,0.0
125,0.478926845
126,0.3750819272
127,0.3150433442
128,0.0
129,0.44880232820000004
130,2.0000000000040003e-10
131,0.0
132,8.991405000000044e-05
133,0.4993402178
134,0.37261754645
135,0.0047112924500000005
136,0.48738064499999995
137,5.445000000001732e-08
138,2.7378000000000206e-06
139,0.5
140,0.5
141,0.0012837244499999997
142,0.0006100524500000006
143,0.0
144,0.0010460738
145,0.48278085845
146,0.5
147,0.49661574605
148,0.49986000979999995
149,0.0
150,0.34246088
151,0.49951012005
152,0.5
153,0.0
154,0.273874005
155,9.288845000000042e-05
156,0.0063788512499999995
157,6.891380000000001e-05
158,0.0
159,0.00034821605000000066
160,0.0
161,0.0
162,0.42605680500000004
163,0.0
164,0.32572134719999996
165,0.1498343282
166,0.23653441999999997
167,0.14862697204999997
168,0.19347310125
169,0.007227626449999994
170,0.38418748244999995
171,0.45195327380000005
172,0.03802730420000001
173,0.4319107682
174,0.43063840125
175,0.45050930419999996
176,0.5
177,0.0024577060500000003
178,0.1423751522
179,0.5
180,0.002876611249999998
181,0.0011045
182,0.49893057245
183,0.0
184,1.1664450000000005e-05
185,0.16600898205
186,0.0005631368000000011
187,0.0802962738
188,0.43604724980000004
189,0.33275666205
190,0.3549536768
191,0.42467328
192,0.2568867842
193,0.4887440712
194,0.0
195,4.4999999999990086e-08
196,0.45222903045
197,0.30544146405
198,0.47072163920000004
199,0.4999800002
200,1.799999999996939e-09
201,0.31524182045
202,0.0
203,0.0007840799999999987
204,0.4907036178
205,0.011048411249999992
206,0.40573833619999994
207,0.11884275045
208,0.4942367042
209,0.4389282818
210,0.34868765405
211,0.00022812480000000096
212,0.0
213,4.99999999995449e-11
214,0.127563005
215,0.16158475519999999
216,1.2800000000007839e-08
217,0.040883701249999994
218,4.263200000000098e-06
219,0.0006354612499999986
220,0.489753045
221,0.42091230005
222,0.16999114320000003
223,0.37396546445
224,0.00013513680000000017
225,2.3980500000000003e-06
226,0.49820161999999996
227,0.49960008000000006
228,0.007787519999999999
229,0.0
230,0.00015842000000000067
231,0.0
232,0.4735007298
233,0.4911990728
234,4.99999999995449e-11
235,0.15960685005
236,4.99999999995449e-11
237,0.002687911200000004
238,0.3274508738
239,0.0
240,0.4866503168
241,0.49995000125
242,9.112499999999491e-07
243,4.99999999995449e-11
244,0.4440023378
245,0.0551983538
246,0.005617999999999998
247,0.29642690045000003
248,0.040441679999999994
249,1.6416450000000072e-05
250,0.00020746844999999998
251,0.42301601999999994
252,0.31173407999999997
253,0.1026135602
254,0.02227949405
255,1.1100499999999872e-06
256,1.1249999999997522e-08
257,2.904050000000056e-06
258,0.36502531245000003
259,0.39961800000000003
260,0.27452568019999996
261,9.72405000000011e-06
262,0.002909319200000001
263,0.5
264,0.21313267604999997
265,0.00198639045
266,0.4570827272
267,0.47994523380000004
268,0.00013008844999999963
269,0.3391749522
270,6.7712000000000005e-06
271,0.05740627280000001
272,0.4575609122
273,0.22185126605
274,0.0
275,0.5
