,Delta_save
0,0.15121150245
1,0.09422140500000002
2,0.1802280722
3,0.23617002645000004
4,0.16230753125
5,0.18329696044999996
6,0.08682361205000001
7,0.16694375444999998
8,0.07541174480000001
9,0.1858548512
10,0.20043946125
11,0.15597788045
12,0.1302132512
13,0.17634078845
14,0.1863795458
15,0.08047670805
16,0.07922588180000001
17,0.21216749405000002
18,0.08204895404999998
19,0.055115320050000007
20,0.20021159204999997
21,0.11194019280000002
22,0.22104600500000002
23,0.16990369244999998
24,0.1802640968
25,0.1750662792
26,0.18836908204999997
27,0.20617188980000004
28,0.14529823245000004
29,0.23134962420000002
30,0.17514321124999999
31,0.18744339920000003
32,0.07124180044999999
33,0.15546445605000003
34,0.06851661619999998
35,0.0
36,0.15892394419999997
37,0.09291498320000001
38,0.14268482000000002
39,0.13881707405
40,0.16826380605000002
41,0.17228449999999998
42,0.13241172605
43,0.16718074879999997
44,0.13332931605
45,0.1195898418
46,0.18679494419999998
47,0.08819580005
48,0.21281940405000002
49,0.14381957120000002
50,0.13143064499999996
51,0.1095213602
52,0.12017743379999998
53,0.19750612499999998
54,0.08918553780000002
55,0.18208802044999997
56,0.12776512499999998
57,0.0856731618
58,0.1596916098
59,0.1759668488
60,0.16567494845
61,0.16940274244999998
62,0.14840351999999998
63,0.14820745680000003
64,0.11506084205000001
65,0.1608919538
66,0.20962812499999997
67,0.15649774579999998
68,0.13471164180000003
69,0.16837984805
70,0.16698420499999997
71,0.08626611845000001
72,0.1379280242
73,0.17916696605
74,0.15573222404999998
75,0.19478785280000002
76,0.14145880500000002
77,0.16263245120000003
78,0.05285475844999999
79,0.06360674445000002
80,0.0719494178
81,0.19092492180000004
82,0.16289490419999997
83,0.15051389780000002
84,0.0
85,0.1110995522
86,0.09303572480000001
87,0.08816640320000001
88,0.19264665919999996
89,0.15745027279999999
90,0.08650720125000001
91,0.04815235445
92,0.13406359804999998
93,0.13390312499999998
94,0.17091365779999998
95,0.19423897919999997
96,0.10655574480000002
97,0.12761857205000002
98,0.11079807380000002
99,0.0847237448
100,0.17772721999999996
101,0.17227276019999996
102,0.15253421444999998
103,0.10982578445000002
104,0.08850686645000003
105,0.08058506580000002
106,0.0717977618
107,0.14369624404999998
108,0.2120046728
109,0.13634642
110,0.07682416019999999
111,0.07898325125000001
112,0.1017546272
113,0.07388552405000001
114,0.18546486080000002
115,0.1165189538
116,0.16730798579999998
117,0.10379479220000001
118,0.08200035045
119,0.16156201679999996
120,0.10029376845
121,0.15478491605000003
122,0.15333614420000002
123,0.17280144719999999
124,0.0
125,0.18686218445000002
126,0.15026710205
127,0.15711375679999998
128,0.13430189645
129,0.09140377680000002
130,0.16708824320000001
131,0.0668609312
132,0.04473339605
133,0.046290116449999995
134,0.058807351249999994
135,0.08302405005
136,0.19599434405000002
137,0.0
138,0.1433587058
139,0.1514040392
140,0.0
141,0.189728
142,0.0
143,0.0659716488
144,0.07113992
145,0.0
146,0.1137931218
147,0.0
148,0.0
149,0.13069850645
150,0.056491688450000015
151,0.18149107520000002
152,0.15321987245000002
153,0.08959991120000001
154,0.0
155,0.0
156,0.15823687679999998
157,0.1268870688
158,0.19738672805000002
159,0.06012471645000001
160,0.11229060499999999
161,0.09437774579999998
162,0.1214850632
163,0.08854052805000001
164,0.08335036204999999
165,0.0900661682
166,0.06851291445
167,0.08577667805
168,0.12215141645
169,0.06780771380000002
170,0.07649524980000001
171,0.08566074405
172,0.18388473679999998
173,0.19478161125
174,0.1199226338
175,0.08697369245000001
176,0.1867582728
177,0.07988004500000002
178,0.08746234879999998
179,0.17482375805
180,0.13153320500000001
181,0.19593174005000003
182,0.14946778125
183,0.07667136405
184,0.0755282978
185,0.1173507458
186,0.12484504805000002
187,0.06735918080000002
188,0.072238005
189,0.15294874320000001
190,0.11924774480000001
191,0.08217863405000002
192,0.07201771519999998
193,0.17779280805
194,0.08270651205
195,0.07244340479999999
196,0.13236541519999998
197,0.1871373842
198,0.17108910080000003
199,0.17423294805
200,0.1213864992
201,0.05518506419999999
202,0.14393222044999998
203,0.16883279404999998
204,0.10880646005000001
205,0.0922608968
206,0.16642411245000002
207,0.0800720162
208,0.15659286844999998
209,0.12122395605
210,0.09266943004999997
211,0.05413695124999998
212,0.11866730445
213,0.08794398605000002
214,0.08609175124999999
215,0.07891172645000001
216,0.05882107005000001
217,0.08448516179999999
218,0.1333551368
219,0.15284367605
220,0.184892805
221,0.11136368180000002
222,0.12591667445
223,0.08903778004999999
224,0.17217298805000003
225,0.0
226,0.08382465124999999
227,0.08774698319999999
228,0.138495845
229,0.11916962000000002
230,0.09413894405
231,0.16298624180000001
232,0.15745588444999997
233,0.09567687680000002
234,0.0614111058
235,0.1779419168
236,0.0
237,0.09756269645
238,0.08013605780000001
239,0.1641186632
240,0.07576945919999999
241,0.16123248980000002
242,0.07493481845
243,0.08283264020000002
244,0.06880566079999999
245,0.05563113679999999
246,0.13968783679999996
247,0.0
248,0.0972228608
249,0.07766134605000001
250,0.10519367119999999
251,0.2159690642
252,0.0
253,0.0855903938
254,0.06912877445
255,0.0849296898
256,0.20085755805
257,0.15903108044999997
258,0.07772835919999999
259,0.15437346124999998
260,0.15781523805000003
261,0.1315845
262,0.06633903124999999
263,0.1094932808
264,0.19446966125000004
265,0.07913833279999999
266,0.14631345125000003
267,0.07843176179999999
268,0.08808663644999999
269,0.1206976712
270,0.20193648005
271,0.16288919645
272,0.05974041780000001
273,0.06348553445000002
274,0.17312493245000002
275,0.07141932180000002
276,0.100845405
277,0.18900181620000003
278,0.07899915005000001
279,0.05899956005
280,0.13049407845000002
281,0.056202986449999985
282,0.06971751405000001
283,0.18759037519999996
284,0.13373757619999999
285,0.06228685125
286,0.08542911125
287,0.1899374978
288,0.12507000980000002
289,0.158428205
290,0.0
291,0.11279350080000003
292,0.06281740125
293,0.17341927244999997
294,0.061439145799999983
295,0.0514627362
296,0.19475664605000004
297,0.17612706004999998
298,0.11685228245000001
299,0.17313081679999998
300,0.0724357922
301,0.058875961249999983
302,0.07451730125
303,0.15518577605
304,0.05754528125000002
305,0.09172472805000001
306,0.1134880082
307,0.18843046605000002
308,0.12276508005
309,0.12442067279999998
310,0.08245454404999998
311,0.0949956872
312,0.11214374405000001
313,0.0912840992
314,0.0
315,0.07441696205
316,0.14723451124999998
317,0.1644970082
318,0.0634534688
319,0.12968815205
320,0.0609912738
321,0.09487367999999999
322,0.14453376124999998
323,0.13304029445
324,0.06595348805000001
325,0.13515840320000003
326,0.16885603845000002
327,0.0998776818
328,0.18327274245000003
329,0.1152192008
330,0.052491240050000006
331,0.15450684605
332,0.06254123445000001
333,0.11616199999999999
334,0.07216960320000002
335,0.0
336,0.07956459404999999
337,0.14852340019999996
338,0.16357484044999998
339,0.0
340,0.06427546579999999
341,0.09205053245
342,0.05985454005000001
343,0.10577240180000001
344,0.17043457280000002
345,0.07240534579999999
346,0.17109495045
347,0.1084103048
348,0.0
349,0.06764577620000001
350,0.184832
351,0.1906284258
352,0.09656694045000001
353,0.07350544819999999
354,0.1424285192
355,0.13041745919999997
356,0.1133546498
357,0.07998800045
358,0.09064430420000003
359,0.0
360,0.1022152898
361,0.0
362,0.0711474642
363,0.1094464898
364,0.066649005
365,0.0
366,0.06347840805
367,0.10488658004999998
368,0.1077686738
369,0.14328910444999998
370,0.14135776205
371,0.04827656644999998
372,0.12837244500000003
373,0.11150058645
374,0.07202151045
375,0.0901765512
376,0.08629104244999998
377,0.06689018879999999
378,0.14181007680000002
379,0.060719155200000006
380,0.0
381,0.09122428980000001
382,0.0
383,0.13423971125
384,0.07524872179999999
385,0.07593304500000002
386,0.10742076005
387,0.10739758579999999
388,0.07472978000000002
389,0.07753922000000002
390,0.0830362752
391,0.161028125
392,0.14008983120000001
393,0.06075052245
394,0.07285507919999998
395,0.07004650205
396,0.17429788819999997
397,0.0729467208
398,0.06035380245000001
399,0.16356340125
400,0.08162416079999998
401,0.05788503125000002
402,0.07482259279999999
403,0.04733041445
404,0.08564418844999998
405,0.0
406,0.06006924604999999
407,0.20193648005
408,0.06354612500000001
409,0.08218674245
410,0.09921285125000001
411,0.05761994045000002
412,0.19350420499999998
413,0.1383274802
414,0.13701042045
415,0.10067033205
416,0.16790433004999997
417,0.09647028124999998
418,0.05119680005
419,0.16507683405000004
420,0.14012159219999998
421,0.0888058368
422,0.0491787522
423,0.04510506125
424,0.14622150420000002
425,0.0958694472
426,0.1225125
427,0.0
428,0.1441200672
429,0.1152096002
430,0.10098467404999999
431,0.08918553780000002
432,0.07931746205
433,0.16055177780000002
434,0.07877671245000001
435,0.11712316005
436,0.13165119844999998
437,0.04720742645000001
438,0.10603473004999998
439,0.18851028020000002
440,0.18255903124999998
441,0.07554773205
442,0.19768843204999997
443,0.0
444,0.13418272079999996
445,0.07087612499999998
446,0.16943184719999999
447,0.12615766805
448,0.0
449,0.16930380499999997
450,0.11203011125000002
451,0.09093406579999998
452,0.12692233445
453,0.07995600604999999
454,0.04400061124999999
455,0.042483210050000005
456,0.07521768979999999
457,0.20275712
458,0.07300402604999998
459,0.0641249672
460,0.05401198445000001
461,0.17697680180000003
462,0.05087412020000001
463,0.12427605124999999
464,0.07007644845
465,0.03918600125000001
466,0.0522485138
467,0.07157436124999998
468,0.15509665124999997
469,0.055261501250000004
470,0.03770532605000001
471,0.06846850125
472,0.05864970004999999
473,0.14576220245000002
474,0.06581917620000001
475,0.14369624404999998
476,0.07203289680000001
477,0.17546295604999998
478,0.07401628125
479,0.1585182818
480,0.20539563245
481,0.1380330882
482,0.0
