,Delta_save
0,0.21657412979999996
1,0.20538281404999997
2,0.14629722319999997
3,0.08264551680000001
4,0.11266529805
5,0.18352105280000003
6,0.07693787645
7,0.17597278125000004
8,0.18497186645000002
9,0.20409660500000001
10,0.0968176008
11,0.07960449004999999
12,0.18269199044999998
13,0.17944243245
14,0.13844848205
15,0.2016887072
16,0.18861467805
17,0.06835013645
18,0.13998398720000002
19,0.17337804980000002
20,0.11400790005
21,0.16512855119999997
22,0.12500500004999998
23,0.21834814445000003
24,0.1102339058
25,0.18151517519999996
26,0.06179721679999999
27,0.09331200000000002
28,0.1350856242
29,0.16613577245
30,0.14802240500000002
31,0.07016258000000002
32,0.17885582405
33,0.0705226568
34,0.15551464499999998
35,0.12847887405
36,0.18448560245
37,0.17944243245
38,0.15224713805
39,0.14591342205
40,0.14982338
41,0.1883015712
42,0.15931883519999998
43,0.18126822605
44,0.12387255380000001
45,0.20467202
46,0.10262715124999998
47,0.16142562000000002
48,0.19265286645000002
49,0.0
50,0.091977605
51,0.19500637005000002
52,0.16039881604999998
53,0.103285125
54,0.14438863219999998
55,0.06574663220000002
56,0.10344426124999999
57,0.14555710125
58,0.10813575124999998
59,0.05154297245000001
60,0.19589418244999998
61,0.14208181245
62,0.1205503202
63,0.13436409605000002
64,0.137340405
65,0.0
66,0.14183670605
67,0.1235442632
68,0.20743884605
69,0.12566588445000001
70,0.09406085644999998
71,0.07330620500000001
72,0.1899498248
73,0.16746999380000002
74,0.08896183805
75,0.13937088079999999
76,0.0973640192
77,0.1559164482
78,0.18043826645
79,0.0651605
80,0.07894351124999999
81,0.07436296125
82,0.16726749604999996
83,0.14852340019999996
84,0.08158376179999999
85,0.17903529605
86,0.161596125
87,0.175528125
88,0.13504404500000003
89,0.1115147538
90,0.11149114205
91,0.15870414604999997
92,0.06888729619999999
93,0.20117458805000002
94,0.15442903125
95,0.09817323605
96,0.16714027445
97,0.12481007220000001
98,0.17137585125000002
99,0.14520121605
100,0.08265771405
101,0.17583636019999999
102,0.11787940124999999
103,0.09291498320000001
104,0.10871318205
105,0.1232859168
106,0.16873983244999996
107,0.14202318079999998
108,0.12764888645
109,0.16383232820000002
110,0.09568562579999998
111,0.13136912820000002
112,0.11100529619999999
113,0.16939110124999998
114,0.07675753804999999
115,0.16222208
116,0.1375815968
117,0.15283261844999999
118,0.07506650044999999
119,0.07073312720000001
120,0.08325648179999999
121,0.14812580205000003
122,0.12484005120000001
123,0.1164224258
124,0.0679919688
125,0.1675741832
126,0.20890355219999998
127,0.07418566804999999
128,0.12472515124999997
129,0.09313496405000002
130,0.15870414604999997
131,0.16922234880000003
132,0.07991202420000001
133,0.16605508204999997
134,0.09754061119999999
135,0.08168882
136,0.20375812845
137,0.1575625248
138,0.0
139,0.1006748192
140,0.07331003404999999
141,0.16434791120000003
142,0.09808906319999999
143,0.07069928044999998
144,0.1926839042
145,0.1850387778
146,0.14250858844999997
147,0.12507501124999998
148,0.1213372322
149,0.1539237128
