,N_moves
0,4.0
1,2.0
2,1.0
3,1.0
4,7.0
5,1.0
6,1.0
7,3.0
8,1.0
9,4.0
10,1.0
11,18.0
12,5.0
13,8.0
14,18.0
15,17.0
16,1.0
17,1.0
18,3.0
19,2.0
20,8.0
21,8.0
22,25.0
23,1.0
24,1.0
25,4.0
26,5.0
27,14.0
28,15.0
29,1.0
30,12.0
31,5.0
32,1.0
33,9.0
34,1.0
35,1.0
36,13.0
37,8.0
38,1.0
39,13.0
40,8.0
41,1.0
42,20.0
43,14.0
44,10.0
45,5.0
46,5.0
47,13.0
48,31.0
49,17.0
50,6.0
51,1.0
52,14.0
53,16.0
54,4.0
55,7.0
56,14.0
57,12.0
58,3.0
59,5.0
60,3.0
61,12.0
62,16.0
63,10.0
64,5.0
65,1.0
66,19.0
67,2.0
68,8.0
69,3.0
70,1.0
71,2.0
72,1.0
73,3.0
74,12.0
75,16.0
76,2.0
77,8.0
78,5.0
79,4.0
80,23.0
81,4.0
82,16.0
83,24.0
84,6.0
85,4.0
86,6.0
87,16.0
88,6.0
89,12.0
90,1.0
91,1.0
92,24.0
93,4.0
94,31.0
95,5.0
96,1.0
97,12.0
98,3.0
99,4.0
100,1.0
101,19.0
102,8.0
103,5.0
104,10.0
105,49.0
106,22.0
107,1.0
108,3.0
109,30.0
110,24.0
111,1.0
112,3.0
113,2.0
114,1.0
115,5.0
116,1.0
117,5.0
118,15.0
119,7.0
120,15.0
121,19.0
122,1.0
123,11.0
124,2.0
125,5.0
126,2.0
127,10.0
128,0.0
129,7.0
130,2.0
131,5.0
132,4.0
133,6.0
134,1.0
135,14.0
136,5.0
137,1.0
138,6.0
139,1.0
140,19.0
141,1.0
142,9.0
143,13.0
144,3.0
145,3.0
146,1.0
147,1.0
148,6.0
149,0.0
150,8.0
151,6.0
152,6.0
153,27.0
154,1.0
155,13.0
156,6.0
157,8.0
158,3.0
159,1.0
160,18.0
161,2.0
162,15.0
163,7.0
164,4.0
165,15.0
166,3.0
167,5.0
168,5.0
169,1.0
170,4.0
171,20.0
172,36.0
173,1.0
174,6.0
175,4.0
176,1.0
177,7.0
178,15.0
179,1.0
180,13.0
181,3.0
182,1.0
183,4.0
184,1.0
185,3.0
186,21.0
187,11.0
188,1.0
189,4.0
190,8.0
191,6.0
192,7.0
193,9.0
194,1.0
195,1.0
196,8.0
197,1.0
198,7.0
199,1.0
200,1.0
201,3.0
202,2.0
203,27.0
204,1.0
205,18.0
206,2.0
207,4.0
208,15.0
209,9.0
210,5.0
211,2.0
212,19.0
213,4.0
214,10.0
215,2.0
216,21.0
217,4.0
218,1.0
219,7.0
220,1.0
221,11.0
222,1.0
223,8.0
224,3.0
225,1.0
226,5.0
227,15.0
228,18.0
229,7.0
230,2.0
231,23.0
232,15.0
233,1.0
234,19.0
235,4.0
236,36.0
237,1.0
238,10.0
239,6.0
240,3.0
241,2.0
242,1.0
243,3.0
244,13.0
245,11.0
246,7.0
247,5.0
248,1.0
249,17.0
250,10.0
251,5.0
252,7.0
253,9.0
254,9.0
255,8.0
256,9.0
257,13.0
258,1.0
259,14.0
260,12.0
261,6.0
262,1.0
263,42.0
264,4.0
265,30.0
266,4.0
267,11.0
268,1.0
269,1.0
270,1.0
271,6.0
272,4.0
273,19.0
274,9.0
275,5.0
276,2.0
277,1.0
278,23.0
279,19.0
280,14.0
281,5.0
282,2.0
283,9.0
284,3.0
285,7.0
286,2.0
287,8.0
288,6.0
289,9.0
290,4.0
291,6.0
292,1.0
293,1.0
294,1.0
295,9.0
296,4.0
297,5.0
298,1.0
299,24.0
300,12.0
301,1.0
302,3.0
303,2.0
304,15.0
305,1.0
306,16.0
307,10.0
308,2.0
309,2.0
310,5.0
311,4.0
312,1.0
313,3.0
314,5.0
315,7.0
316,2.0
317,1.0
318,9.0
319,1.0
320,1.0
321,2.0
322,4.0
323,14.0
324,27.0
325,7.0
326,21.0
327,1.0
328,19.0
329,4.0
330,26.0
331,10.0
332,1.0
333,18.0
334,21.0
335,7.0
336,1.0
337,3.0
338,9.0
339,36.0
340,1.0
341,2.0
342,1.0
343,14.0
344,5.0
345,2.0
346,2.0
347,3.0
348,6.0
349,22.0
350,1.0
351,5.0
352,1.0
353,13.0
354,1.0
355,1.0
356,4.0
357,2.0
358,23.0
359,7.0
360,1.0
361,1.0
362,0.0
363,4.0
364,20.0
365,16.0
366,1.0
367,8.0
368,1.0
369,6.0
370,23.0
371,9.0
372,2.0
373,1.0
374,2.0
375,4.0
376,9.0
377,1.0
378,1.0
379,3.0
380,1.0
381,26.0
382,4.0
383,3.0
384,31.0
385,16.0
386,1.0
387,5.0
388,14.0
389,3.0
390,21.0
391,3.0
392,1.0
393,19.0
394,13.0
395,17.0
396,20.0
397,2.0
398,15.0
399,3.0
400,1.0
401,6.0
402,2.0
403,2.0
404,6.0
405,0.0
406,44.0
407,3.0
408,1.0
409,1.0
410,23.0
411,9.0
412,6.0
413,16.0
414,6.0
415,2.0
416,2.0
417,1.0
418,0.0
419,9.0
420,1.0
421,2.0
422,35.0
423,7.0
424,15.0
425,2.0
426,18.0
427,2.0
428,1.0
429,1.0
430,11.0
431,6.0
432,8.0
433,1.0
434,3.0
435,9.0
436,6.0
437,2.0
438,2.0
439,3.0
440,10.0
441,1.0
442,5.0
443,1.0
444,1.0
445,2.0
446,2.0
447,15.0
448,2.0
449,4.0
450,8.0
451,14.0
452,16.0
453,1.0
454,35.0
455,1.0
456,4.0
457,2.0
458,6.0
459,6.0
460,3.0
461,0.0
462,4.0
463,17.0
464,5.0
465,6.0
466,7.0
467,9.0
468,2.0
469,12.0
470,4.0
471,17.0
472,2.0
473,4.0
474,4.0
475,1.0
476,33.0
477,7.0
478,1.0
479,40.0
480,4.0
481,41.0
482,27.0
483,1.0
484,1.0
485,0.0
486,4.0
487,1.0
488,4.0
489,39.0
490,9.0
491,8.0
492,3.0
493,12.0
494,3.0
495,29.0
496,1.0
497,26.0
498,2.0
499,1.0
500,3.0
501,7.0
502,1.0
503,25.0
504,5.0
505,8.0
506,25.0
507,1.0
508,21.0
509,2.0
510,8.0
511,2.0
512,22.0
513,7.0
514,1.0
515,8.0
516,3.0
517,3.0
518,9.0
519,8.0
520,7.0
521,19.0
522,2.0
523,2.0
524,8.0
525,1.0
526,18.0
527,1.0
528,5.0
529,43.0
530,1.0
531,7.0
532,40.0
533,1.0
534,3.0
535,30.0
536,2.0
537,3.0
538,3.0
539,33.0
540,4.0
541,1.0
542,3.0
543,5.0
544,1.0
545,12.0
546,1.0
547,1.0
548,15.0
549,1.0
550,1.0
551,4.0
552,38.0
553,5.0
554,6.0
555,1.0
556,2.0
557,1.0
558,2.0
559,42.0
560,9.0
561,2.0
562,3.0
563,1.0
564,12.0
565,2.0
566,10.0
567,2.0
568,8.0
569,5.0
570,9.0
571,4.0
572,2.0
573,19.0
574,17.0
575,1.0
576,6.0
577,7.0
578,2.0
579,1.0
580,14.0
581,2.0
582,13.0
583,1.0
584,2.0
585,6.0
586,14.0
587,15.0
588,10.0
589,35.0
590,5.0
591,2.0
592,41.0
593,4.0
594,24.0
595,1.0
596,22.0
597,4.0
598,1.0
599,9.0
600,0.0
601,1.0
602,4.0
603,1.0
604,1.0
605,2.0
606,34.0
607,12.0
608,1.0
609,4.0
610,1.0
611,14.0
612,9.0
613,1.0
614,36.0
615,21.0
616,6.0
617,1.0
618,6.0
619,10.0
620,8.0
621,2.0
622,1.0
623,1.0
624,1.0
625,5.0
626,4.0
627,17.0
628,17.0
629,28.0
630,13.0
631,44.0
632,1.0
633,3.0
634,5.0
635,6.0
636,9.0
637,4.0
638,3.0
639,1.0
640,1.0
641,1.0
642,3.0
643,14.0
644,1.0
645,18.0
646,15.0
647,12.0
648,12.0
649,9.0
650,2.0
651,1.0
652,1.0
653,0.0
654,25.0
655,4.0
656,5.0
657,1.0
658,1.0
659,24.0
660,5.0
661,25.0
662,2.0
663,1.0
664,6.0
665,25.0
666,1.0
667,2.0
668,7.0
669,2.0
670,1.0
671,8.0
672,4.0
673,4.0
674,29.0
675,5.0
676,7.0
677,1.0
678,5.0
679,4.0
680,9.0
681,4.0
682,7.0
683,1.0
684,1.0
685,5.0
686,6.0
687,3.0
688,4.0
689,15.0
690,2.0
691,10.0
692,11.0
693,19.0
694,4.0
695,46.0
696,7.0
697,14.0
698,13.0
699,34.0
700,23.0
701,2.0
702,3.0
703,32.0
704,27.0
705,7.0
706,24.0
707,2.0
708,10.0
709,3.0
710,9.0
711,9.0
712,4.0
713,9.0
714,36.0
715,9.0
716,1.0
717,1.0
718,4.0
719,30.0
720,1.0
721,3.0
722,4.0
723,6.0
724,5.0
725,1.0
726,12.0
727,2.0
728,13.0
729,1.0
730,7.0
731,2.0
732,6.0
733,1.0
