,N_moves
0,4.0
1,17.0
2,2.0
3,2.0
4,2.0
5,2.0
6,12.0
7,5.0
8,1.0
9,1.0
10,25.0
11,1.0
12,1.0
13,4.0
14,1.0
15,3.0
16,9.0
17,32.0
18,16.0
19,4.0
20,8.0
21,2.0
22,9.0
23,2.0
24,18.0
25,1.0
26,6.0
27,1.0
28,1.0
29,3.0
30,12.0
31,17.0
32,5.0
33,2.0
34,45.0
35,7.0
36,27.0
37,3.0
38,27.0
39,1.0
40,1.0
41,8.0
42,1.0
43,4.0
44,18.0
45,12.0
46,13.0
47,2.0
48,5.0
49,1.0
50,4.0
51,1.0
52,12.0
53,3.0
54,4.0
55,11.0
56,1.0
57,2.0
58,10.0
59,3.0
60,15.0
61,27.0
62,5.0
63,2.0
64,20.0
65,3.0
66,20.0
67,31.0
68,2.0
69,21.0
70,5.0
71,23.0
72,13.0
73,2.0
74,1.0
75,10.0
76,3.0
77,1.0
78,9.0
79,29.0
80,16.0
81,1.0
82,1.0
83,2.0
84,30.0
85,11.0
86,1.0
87,14.0
88,1.0
89,3.0
90,1.0
91,2.0
92,11.0
93,11.0
94,1.0
95,11.0
96,2.0
97,41.0
98,1.0
99,34.0
100,1.0
101,1.0
102,5.0
103,9.0
104,8.0
105,4.0
106,8.0
107,1.0
108,2.0
109,3.0
110,2.0
111,45.0
112,1.0
113,4.0
114,18.0
115,9.0
116,5.0
117,24.0
118,2.0
119,17.0
120,1.0
121,16.0
122,21.0
123,0.0
124,2.0
125,3.0
126,5.0
127,1.0
128,1.0
129,12.0
130,24.0
131,8.0
132,49.0
133,6.0
134,2.0
135,2.0
136,25.0
137,33.0
138,2.0
139,9.0
140,15.0
141,25.0
142,1.0
143,1.0
144,15.0
145,16.0
146,0.0
147,0.0
148,1.0
149,16.0
150,16.0
151,1.0
152,8.0
153,2.0
154,1.0
155,2.0
156,5.0
157,19.0
158,17.0
159,2.0
160,1.0
161,3.0
162,20.0
163,2.0
164,1.0
165,49.0
166,21.0
167,48.0
168,14.0
169,12.0
170,30.0
171,3.0
172,33.0
173,28.0
174,7.0
175,15.0
176,1.0
177,11.0
178,10.0
179,41.0
180,1.0
181,48.0
182,1.0
183,39.0
184,0.0
185,8.0
186,11.0
187,14.0
188,2.0
189,46.0
190,1.0
191,14.0
192,2.0
193,8.0
194,4.0
195,8.0
196,1.0
197,1.0
198,2.0
199,11.0
200,3.0
201,2.0
202,4.0
203,14.0
204,11.0
205,49.0
206,13.0
207,1.0
208,3.0
209,14.0
210,3.0
211,0.0
212,7.0
213,1.0
214,8.0
215,0.0
216,1.0
217,22.0
218,2.0
219,1.0
220,31.0
221,8.0
222,32.0
223,0.0
224,0.0
225,23.0
226,7.0
227,12.0
228,16.0
229,40.0
230,11.0
231,1.0
232,10.0
233,6.0
234,18.0
235,3.0
236,7.0
237,22.0
238,21.0
239,1.0
240,4.0
241,1.0
242,14.0
243,0.0
244,1.0
245,11.0
246,16.0
247,1.0
248,8.0
249,30.0
250,2.0
251,14.0
252,41.0
253,0.0
254,4.0
255,1.0
256,7.0
257,46.0
258,37.0
259,13.0
260,6.0
261,40.0
262,0.0
263,31.0
264,0.0
265,1.0
266,37.0
267,4.0
268,1.0
269,2.0
270,0.0
271,2.0
272,7.0
273,9.0
274,2.0
275,1.0
276,9.0
277,33.0
278,45.0
279,0.0
280,1.0
281,12.0
282,42.0
283,3.0
284,2.0
285,7.0
286,13.0
287,18.0
288,48.0
289,1.0
290,0.0
291,14.0
292,32.0
293,2.0
294,10.0
295,6.0
296,22.0
297,0.0
298,5.0
299,4.0
300,39.0
301,2.0
302,25.0
303,21.0
304,0.0
305,15.0
306,2.0
307,1.0
308,9.0
309,36.0
310,4.0
311,1.0
312,42.0
313,2.0
314,25.0
315,0.0
316,36.0
317,28.0
318,35.0
319,0.0
320,2.0
321,9.0
322,3.0
323,14.0
324,6.0
325,0.0
326,2.0
327,29.0
328,11.0
329,18.0
330,30.0
331,11.0
332,1.0
333,21.0
334,3.0
335,5.0
336,3.0
337,1.0
338,0.0
339,2.0
340,35.0
341,5.0
342,24.0
343,2.0
344,25.0
345,8.0
346,14.0
347,11.0
348,3.0
349,14.0
350,0.0
351,12.0
352,0.0
353,1.0
354,2.0
355,4.0
356,1.0
357,4.0
358,2.0
359,2.0
360,16.0
361,2.0
362,8.0
363,29.0
364,4.0
365,1.0
366,7.0
367,0.0
368,16.0
369,41.0
370,7.0
371,0.0
372,1.0
373,16.0
374,9.0
375,0.0
376,23.0
377,2.0
378,12.0
379,3.0
380,22.0
381,0.0
382,5.0
383,32.0
384,1.0
385,2.0
386,4.0
387,1.0
388,4.0
389,21.0
390,3.0
391,1.0
392,6.0
393,0.0
394,9.0
395,2.0
396,2.0
397,1.0
398,2.0
399,1.0
400,3.0
401,3.0
402,4.0
403,2.0
404,3.0
405,11.0
406,0.0
407,3.0
408,1.0
409,5.0
410,2.0
411,7.0
412,31.0
413,12.0
414,1.0
415,5.0
416,5.0
417,1.0
418,41.0
419,0.0
420,15.0
421,0.0
