,N_moves
0,8.0
1,1.0
2,1.0
3,5.0
4,1.0
5,21.0
6,4.0
7,1.0
8,1.0
9,1.0
10,1.0
11,14.0
12,3.0
13,12.0
14,5.0
15,9.0
16,12.0
17,1.0
18,1.0
19,1.0
20,10.0
21,1.0
22,4.0
23,4.0
24,3.0
25,21.0
26,10.0
27,3.0
28,6.0
29,13.0
30,5.0
31,22.0
32,3.0
33,17.0
34,8.0
35,0.0
36,2.0
37,4.0
38,8.0
39,10.0
40,15.0
41,1.0
42,27.0
43,1.0
44,8.0
45,7.0
46,1.0
47,3.0
48,1.0
49,7.0
50,1.0
51,14.0
52,9.0
53,1.0
54,2.0
55,1.0
56,8.0
57,2.0
58,5.0
59,9.0
60,13.0
61,4.0
62,1.0
63,27.0
64,34.0
65,2.0
66,1.0
67,7.0
68,1.0
69,1.0
70,1.0
71,2.0
72,3.0
73,4.0
74,17.0
75,2.0
76,8.0
77,6.0
78,11.0
79,18.0
80,1.0
81,8.0
82,23.0
83,2.0
84,0.0
85,25.0
86,16.0
87,32.0
88,32.0
89,29.0
90,3.0
91,11.0
92,32.0
93,25.0
94,1.0
95,1.0
96,17.0
97,1.0
98,21.0
99,2.0
100,8.0
101,1.0
102,1.0
103,2.0
104,1.0
105,3.0
106,11.0
107,2.0
108,4.0
109,6.0
110,2.0
111,5.0
112,2.0
113,20.0
114,9.0
115,2.0
116,22.0
117,14.0
118,12.0
119,27.0
120,2.0
121,24.0
122,20.0
123,9.0
124,0.0
125,3.0
126,4.0
127,18.0
128,34.0
129,1.0
130,1.0
131,1.0
132,18.0
133,9.0
134,17.0
135,8.0
136,1.0
137,0.0
138,1.0
139,3.0
140,0.0
141,1.0
142,0.0
143,40.0
144,2.0
145,0.0
146,1.0
147,0.0
148,0.0
149,17.0
150,29.0
151,1.0
152,1.0
153,5.0
154,0.0
155,0.0
156,40.0
157,12.0
158,5.0
159,4.0
160,6.0
161,9.0
162,8.0
163,40.0
164,20.0
165,17.0
166,2.0
167,3.0
168,1.0
169,1.0
170,8.0
171,6.0
172,4.0
173,15.0
174,6.0
175,2.0
176,8.0
177,6.0
178,13.0
179,46.0
180,8.0
181,3.0
182,3.0
183,1.0
184,11.0
185,29.0
186,2.0
187,6.0
188,23.0
189,1.0
190,14.0
191,4.0
192,5.0
193,3.0
194,7.0
195,37.0
196,8.0
197,7.0
198,1.0
199,1.0
200,41.0
201,11.0
202,19.0
203,5.0
204,20.0
205,35.0
206,6.0
207,5.0
208,32.0
209,2.0
210,41.0
211,1.0
212,1.0
213,1.0
214,34.0
215,1.0
216,7.0
217,2.0
218,25.0
219,20.0
220,3.0
221,20.0
222,11.0
223,19.0
224,16.0
225,0.0
226,1.0
227,30.0
228,44.0
229,18.0
230,6.0
231,13.0
232,34.0
233,1.0
234,2.0
235,7.0
236,0.0
237,1.0
238,21.0
239,1.0
240,1.0
241,39.0
242,2.0
243,2.0
244,5.0
245,4.0
246,49.0
247,0.0
248,1.0
249,2.0
250,48.0
251,1.0
252,0.0
253,8.0
254,2.0
255,9.0
256,1.0
257,26.0
258,12.0
259,20.0
260,13.0
261,5.0
262,1.0
263,5.0
264,4.0
265,5.0
266,7.0
267,1.0
268,12.0
269,29.0
270,4.0
271,2.0
272,17.0
273,12.0
274,16.0
275,1.0
276,48.0
277,1.0
278,3.0
279,3.0
280,32.0
281,3.0
282,40.0
283,1.0
284,31.0
285,17.0
286,47.0
287,4.0
288,14.0
289,5.0
290,0.0
291,25.0
292,4.0
293,1.0
294,18.0
295,1.0
296,20.0
297,3.0
298,10.0
299,27.0
300,14.0
301,7.0
302,20.0
303,29.0
304,13.0
305,16.0
306,1.0
307,1.0
308,6.0
309,19.0
310,24.0
311,2.0
312,3.0
313,8.0
314,0.0
315,2.0
316,43.0
317,1.0
318,1.0
319,4.0
320,2.0
321,24.0
322,24.0
323,23.0
324,1.0
325,7.0
326,23.0
327,1.0
328,2.0
329,4.0
330,6.0
331,4.0
332,16.0
333,3.0
334,6.0
335,0.0
336,21.0
337,3.0
338,36.0
339,0.0
340,1.0
341,12.0
342,4.0
343,20.0
344,24.0
345,2.0
346,1.0
347,5.0
348,0.0
349,1.0
350,25.0
351,1.0
352,41.0
353,1.0
354,28.0
355,1.0
356,17.0
357,33.0
358,24.0
359,0.0
360,11.0
361,0.0
362,1.0
363,1.0
364,34.0
365,0.0
366,1.0
367,1.0
368,26.0
369,9.0
370,2.0
371,20.0
372,2.0
373,20.0
374,1.0
375,15.0
376,48.0
377,1.0
378,1.0
379,5.0
380,0.0
381,9.0
382,0.0
383,41.0
384,30.0
385,2.0
386,8.0
387,17.0
388,1.0
389,8.0
390,13.0
391,6.0
392,2.0
393,11.0
394,9.0
395,4.0
396,29.0
397,3.0
398,49.0
399,3.0
400,43.0
401,12.0
402,1.0
403,1.0
404,1.0
405,0.0
406,10.0
407,2.0
408,1.0
409,12.0
410,10.0
411,1.0
412,11.0
413,33.0
414,35.0
415,38.0
416,2.0
417,18.0
418,11.0
419,8.0
420,14.0
421,1.0
422,29.0
423,4.0
424,2.0
425,14.0
426,7.0
427,0.0
428,4.0
429,3.0
430,1.0
431,1.0
432,23.0
433,7.0
434,16.0
435,12.0
436,19.0
437,13.0
438,36.0
439,7.0
440,11.0
441,7.0
442,48.0
443,0.0
444,2.0
445,20.0
446,2.0
447,1.0
448,0.0
449,6.0
450,40.0
451,19.0
452,4.0
453,2.0
454,48.0
455,45.0
456,30.0
457,6.0
458,2.0
459,2.0
460,16.0
461,31.0
462,8.0
463,23.0
464,2.0
465,28.0
466,5.0
467,16.0
468,6.0
469,1.0
470,14.0
471,7.0
472,1.0
473,13.0
474,21.0
475,22.0
476,1.0
477,25.0
478,3.0
479,10.0
480,1.0
481,17.0
482,0.0
483,37.0
484,1.0
485,8.0
486,17.0
487,1.0
488,8.0
489,21.0
490,1.0
491,8.0
492,1.0
493,2.0
494,0.0
495,16.0
496,18.0
497,2.0
498,1.0
499,15.0
500,3.0
501,1.0
502,10.0
503,1.0
504,6.0
505,4.0
506,2.0
507,1.0
508,11.0
509,15.0
510,1.0
511,1.0
512,13.0
513,48.0
514,3.0
515,4.0
516,16.0
517,13.0
518,16.0
519,0.0
520,3.0
521,0.0
522,11.0
523,0.0
524,4.0
525,2.0
526,1.0
527,0.0
528,39.0
529,7.0
530,12.0
531,9.0
532,1.0
533,2.0
534,32.0
535,12.0
536,1.0
537,14.0
538,28.0
539,4.0
540,6.0
541,1.0
542,48.0
543,5.0
544,0.0
545,2.0
546,23.0
547,12.0
548,18.0
549,46.0
550,8.0
551,13.0
552,1.0
553,2.0
554,0.0
555,10.0
556,1.0
557,26.0
558,0.0
559,10.0
560,2.0
561,2.0
562,3.0
563,3.0
564,6.0
565,31.0
566,3.0
567,8.0
568,24.0
569,2.0
570,7.0
571,6.0
572,5.0
573,1.0
574,4.0
575,1.0
576,1.0
577,12.0
578,14.0
579,23.0
580,25.0
581,1.0
582,5.0
583,0.0
584,1.0
585,9.0
586,38.0
587,18.0
588,9.0
589,0.0
590,0.0
591,1.0
592,20.0
593,19.0
594,3.0
595,2.0
596,2.0
597,6.0
598,2.0
599,2.0
600,0.0
601,0.0
602,0.0
603,30.0
604,12.0
605,20.0
606,7.0
607,3.0
608,24.0
609,3.0
610,13.0
611,9.0
612,33.0
613,6.0
614,0.0
615,11.0
616,31.0
617,37.0
618,1.0
619,2.0
620,21.0
621,5.0
622,8.0
623,15.0
624,0.0
625,1.0
626,11.0
627,8.0
628,5.0
629,6.0
630,15.0
631,2.0
632,7.0
633,1.0
634,13.0
635,1.0
636,1.0
637,11.0
638,22.0
639,3.0
640,13.0
641,13.0
642,3.0
643,0.0
644,21.0
645,2.0
646,37.0
647,2.0
648,3.0
649,1.0
650,2.0
651,17.0
652,2.0
653,1.0
654,3.0
655,1.0
656,30.0
657,1.0
658,1.0
659,2.0
660,3.0
661,30.0
662,4.0
663,11.0
664,10.0
665,1.0
666,14.0
667,27.0
668,36.0
669,4.0
670,1.0
671,13.0
672,8.0
673,4.0
674,7.0
675,22.0
676,1.0
677,16.0
678,49.0
679,24.0
680,24.0
681,26.0
682,0.0
683,2.0
684,1.0
685,0.0
686,15.0
687,0.0
688,1.0
689,15.0
690,0.0
691,44.0
692,0.0
693,7.0
694,16.0
695,7.0
696,14.0
697,23.0
698,22.0
699,0.0
700,20.0
701,5.0
702,1.0
703,7.0
704,5.0
705,10.0
706,25.0
707,2.0
708,17.0
709,21.0
710,23.0
711,29.0
712,12.0
713,0.0
714,11.0
715,15.0
716,1.0
717,48.0
718,2.0
719,12.0
720,0.0
721,3.0
722,12.0
723,12.0
724,6.0
725,1.0
726,23.0
727,8.0
728,3.0
729,24.0
730,41.0
731,1.0
732,6.0
733,3.0
734,3.0
735,1.0
736,8.0
737,2.0
738,3.0
739,3.0
740,5.0
741,12.0
742,1.0
743,1.0
744,1.0
745,12.0
746,40.0
747,40.0
748,46.0
749,47.0
750,0.0
751,5.0
752,1.0
753,14.0
754,2.0
755,25.0
756,36.0
757,11.0
758,1.0
759,3.0
760,15.0
761,13.0
762,20.0
763,1.0
764,20.0
765,21.0
766,26.0
767,28.0
768,0.0
769,14.0
770,12.0
771,3.0
772,4.0
773,1.0
774,38.0
775,15.0
776,1.0
777,1.0
778,38.0
779,38.0
780,1.0
781,1.0
782,7.0
783,1.0
784,9.0
785,1.0
786,10.0
787,3.0
788,2.0
789,17.0
790,1.0
791,1.0
792,1.0
793,0.0
794,0.0
795,0.0
796,9.0
797,2.0
798,15.0
799,5.0
800,0.0
801,1.0
802,7.0
803,3.0
804,17.0
805,6.0
806,28.0
807,27.0
808,18.0
809,4.0
810,11.0
811,1.0
812,8.0
813,3.0
814,1.0
815,6.0
816,27.0
817,1.0
818,1.0
819,17.0
820,42.0
821,2.0
822,8.0
823,0.0
824,2.0
825,12.0
826,4.0
827,35.0
828,1.0
829,16.0
830,43.0
831,27.0
832,16.0
833,2.0
834,17.0
835,34.0
836,2.0
837,0.0
838,2.0
839,1.0
840,0.0
841,35.0
842,9.0
843,40.0
844,1.0
845,1.0
846,0.0
847,10.0
848,3.0
849,1.0
850,3.0
851,1.0
852,8.0
853,1.0
854,5.0
855,4.0
856,28.0
857,4.0
858,10.0
859,2.0
860,22.0
861,10.0
862,3.0
863,17.0
864,1.0
865,36.0
866,21.0
867,6.0
868,4.0
869,29.0
870,41.0
871,41.0
872,19.0
873,33.0
874,6.0
875,1.0
876,1.0
877,1.0
878,31.0
879,2.0
880,0.0
881,9.0
882,3.0
883,1.0
884,2.0
885,5.0
886,2.0
887,9.0
888,8.0
889,15.0
890,18.0
891,42.0
892,21.0
893,3.0
894,1.0
895,7.0
896,15.0
897,10.0
898,32.0
899,2.0
900,7.0
901,9.0
902,10.0
903,1.0
904,43.0
905,3.0
906,1.0
907,35.0
908,18.0
909,1.0
910,4.0
911,13.0
912,33.0
913,0.0
914,2.0
915,1.0
916,2.0
917,1.0
918,1.0
919,49.0
920,43.0
921,4.0
922,2.0
923,25.0
924,43.0
925,33.0
926,10.0
927,10.0
928,8.0
929,21.0
930,2.0
931,12.0
932,6.0
933,1.0
934,25.0
935,2.0
936,0.0
937,44.0
938,0.0
939,20.0
940,40.0
941,44.0
942,8.0
943,2.0
944,1.0
945,2.0
946,10.0
947,38.0
948,1.0
949,26.0
950,9.0
951,1.0
952,24.0
953,22.0
954,2.0
955,24.0
956,0.0
957,16.0
958,44.0
959,43.0
960,2.0
961,22.0
962,18.0
963,17.0
964,3.0
965,1.0
966,1.0
967,16.0
968,8.0
969,2.0
970,1.0
971,1.0
972,41.0
973,1.0
974,1.0
975,7.0
976,15.0
977,0.0
978,13.0
979,14.0
980,33.0
981,1.0
982,18.0
983,1.0
984,2.0
985,34.0
986,13.0
987,5.0
988,48.0
989,2.0
990,1.0
991,17.0
992,2.0
993,1.0
994,0.0
995,30.0
996,47.0
997,40.0
998,25.0
999,2.0
1000,1.0
1001,15.0
1002,2.0
1003,4.0
1004,36.0
1005,38.0
1006,4.0
1007,4.0
1008,3.0
1009,0.0
1010,9.0
1011,14.0
1012,1.0
1013,2.0
1014,5.0
1015,1.0
1016,13.0
1017,0.0
1018,42.0
1019,1.0
1020,0.0
1021,38.0
1022,11.0
1023,13.0
1024,23.0
1025,1.0
1026,8.0
1027,46.0
1028,0.0
1029,3.0
1030,26.0
1031,20.0
1032,0.0
1033,2.0
1034,1.0
1035,29.0
1036,5.0
1037,1.0
1038,2.0
1039,1.0
1040,7.0
1041,2.0
1042,2.0
1043,6.0
