,Delta_save
0,0.08870893205
1,0.09631221605
2,0.06379949205
3,0.18525175804999996
4,0.06426112500000002
5,0.07850703125
6,0.04939224500000001
7,0.07350161405000001
8,0.09728019404999999
9,0.06242811125000002
10,0.11470613045
11,0.09960969779999998
12,0.05944352
13,0.05892057920000001
14,0.03510455045000001
15,0.2601079938
16,0.07338663604999998
17,0.06446204180000002
18,0.10358531280000001
19,0.11017756819999998
20,0.06048242
21,0.04686084979999999
22,0.08951103604999999
23,0.07997200245000001
24,0.08546631680000001
25,0.11397447679999999
26,0.20243884499999998
27,0.07444782845000002
28,0.06525078124999999
29,0.15553695380000002
30,0.07319903219999999
31,0.040084129799999986
32,0.06073309520000002
33,0.03607566605
34,0.02047680845000001
35,0.07564105125000001
36,0.0989858018
37,0.037095432199999986
38,0.017779322450000003
39,0.009646605000000003
40,0.04925091124999999
41,0.05586153125000001
42,0.059509050050000005
43,0.04671707445
44,0.012178922450000006
45,0.04469153044999999
46,0.29588816645
47,0.24874520445
48,0.21444045604999998
49,0.03060337999999999
50,0.048718811250000015
51,0.03603270124999999
52,0.04109557805
53,0.047351953800000006
54,0.04823307405000001
55,0.04325622845
56,0.03449251125000001
57,0.035815584799999994
58,0.09533597780000003
59,0.033178880000000015
60,0.03828974645000001
61,0.013607550449999992
62,0.035689904450000004
63,0.012603956449999995
64,0.027572564449999996
65,0.03242331125000001
66,0.027328882050000013
67,0.028001611250000006
68,0.008819248049999997
69,0.029877901249999988
70,0.054199488799999994
71,0.29846310605000004
72,0.00850077605
73,0.007452984050000004
74,0.02108841845000001
75,0.034133619199999986
76,0.028093980800000008
77,0.038667024049999985
78,0.12277994579999998
79,0.04406589844999999
80,0.022264720199999997
81,0.0172682528
82,0.016576563200000005
83,0.009822412799999992
84,0.14106547279999998
85,0.027631303199999988
86,0.03021865279999999
87,0.00619273205
88,0.007332604999999998
89,0.02397393045
90,0.026662023200000003
91,0.0412074632
92,0.0410812448
93,0.01844160125000001
94,0.016629408450000004
95,0.006683992199999994
96,0.009819609800000005
97,0.0408579698
98,0.03736284480000001
99,0.0035162498000000037
100,0.028867239200000012
101,0.034214664049999996
102,0.0380824802
103,0.019940044999999997
104,0.016006183199999996
105,0.07995600604999999
106,0.00710074445
107,0.023078112800000005
108,0.007249284050000002
109,0.011043952199999997
110,0.008901782450000006
111,0.024442604999999992
112,0.01566450000000001
113,0.002906268799999998
114,0.004540092049999999
115,0.02578266319999999
116,0.030873640049999998
117,0.0032176241999999967
118,0.011000894449999995
119,0.0008156760500000015
120,0.013130101250000005
121,0.3364788578
122,0.001999648799999998
123,0.05802121125
124,0.023103900800000007
125,0.010288951249999996
126,0.07601490405
127,0.003549031250000004
128,0.0010179072000000022
129,0.001669264200000003
130,0.00850077605
131,0.022214104199999994
132,0.011764246050000003
133,0.001121484799999998
134,0.010990513799999992
135,0.0006705121999999995
136,0.006959640199999997
137,0.0113974802
138,0.0026725360500000008
139,0.08534232979999998
140,0.0068866848000000026
141,0.00036992000000000004
142,0.003598912800000002
143,0.049047120000000013
144,0.014750748800000005
145,0.0016866432000000012
146,0.12994292205
147,0.00047493619999999873
148,0.0019319327999999995
149,0.00714132005
150,0.34788642845
151,0.12871215845
152,0.0005511200000000002
153,0.0026572049999999976
154,0.001985760199999998
155,0.0009103644499999994
156,0.000223449800000001
157,0.0036414577999999975
158,0.07519054204999999
159,0.008457801799999994
160,0.001298970449999998
161,0.12221567999999998
162,0.0006837602000000004
163,0.0005494612500000004
164,0.0007916220499999997
165,0.003967623200000004
166,0.0020034450000000013
167,0.008743708800000003
168,0.00012784004999999917
169,0.3115919682
170,0.0007671444500000014
171,0.00036828980000000146
172,0.00010760444999999943
173,0.0008732020499999997
174,0.0019077664499999995
175,6.926644999999938e-05
176,0.00032487005000000034
177,0.0002803712000000008
178,3.0498049999999873e-05
179,0.005760937799999999
180,0.00016817780000000042
181,0.00024046245000000012
182,7.032979999999978e-05
183,0.021966080000000002
184,0.0002103300500000006
185,5.7459199999999485e-05
186,0.0001119007999999996
187,0.001873944200000003
188,0.003997074049999999
189,6.509405000000035e-05
190,0.00034821605000000066
191,0.31348945619999996
192,5.181619999999966e-05
193,0.0016023460500000028
194,0.0001531249999999993
195,0.0008594658000000021
196,0.002209130450000002
197,0.0002060449999999997
198,0.0033981767999999965
199,4.186124999999992e-05
200,6.543680000000007e-05
201,0.44264640499999997
202,2.16482000000002e-05
203,0.003844768050000004
204,0.019483380000000005
205,0.008250985800000003
206,7.212004999999958e-05
207,4.665780000000002e-05
208,0.0005624658000000004
209,6.372449999999865e-06
210,8.946449999999813e-06
211,0.0003878112500000012
212,3.66368000000001e-05
213,2.5848050000000214e-05
214,0.0005002284500000015
215,0.0018702727999999995
216,6.552199999999843e-06
217,2.3667199999999982e-05
218,0.0006800672000000008
219,0.00022113044999999985
220,3.749780000000001e-05
221,0.009742684049999999
222,0.0003521858000000002
223,0.0003569791999999991
224,0.13713608205
225,0.0001950312500000009
226,0.010353605000000004
227,0.014297405000000004
228,9.636050000000023e-06
229,0.013912788050000003
230,1.1956049999999755e-05
231,0.0011814660500000021
232,0.001724606449999997
233,4.867200000000036e-06
234,1.8180449999999878e-05
235,0.00015699919999999926
236,5.681780000000003e-05
237,8.946449999999813e-06
238,0.004292011250000001
239,0.011024640050000001
240,2.0479999999999753e-05
241,4.147199999999982e-06
242,2.55380000000009e-06
243,5.478050000000116e-06
244,0.008157476450000001
245,1.8666049999999686e-05
246,0.000162720799999999
247,0.010175937800000001
248,0.0010885778000000017
249,4.02304500000003e-05
250,1.0764799999999896e-05
251,7.044845000000056e-05
252,0.28698645605
253,0.0012380288000000013
254,5.712200000000168e-06
255,9.374449999999762e-06
256,0.24680932819999998
257,0.00010922420000000023
258,2.6220500000000328e-06
259,0.0911986632
260,0.06906929444999999
261,2.3598450000000292e-05
262,8.160800000000176e-06
263,0.009068004449999995
264,8.294720000000003e-05
265,7.3727999999998255e-06
266,1.2450050000000249e-05
267,2.4921799999999684e-05
268,1.4688199999999894e-05
269,1.674449999999997e-06
270,0.3604344608
271,0.009115200200000003
272,0.015056330449999994
273,8.569800000000134e-06
274,1.6074449999999732e-05
275,3.7264500000000277e-06
276,0.3768682562
277,0.0020301192
278,1.3519999999999908e-05
279,4.980019999999989e-05
280,1.545680000000005e-05
281,1.215244999999995e-05
282,0.02235978045000001
283,9.76819999999991e-06
284,0.0029876450000000027
285,8.487200000000051e-06
286,0.004683184199999997
287,0.0015842820499999972
288,0.006871436449999994
289,0.006257448450000003
290,0.005132871199999996
291,0.01500431645
292,9.247999999999926e-05
293,0.004801020050000002
294,1.953124999999986e-05
295,0.0015456799999999991
296,0.007075740799999995
297,0.0014338012499999992
298,3.452805000000033e-05
299,0.004989006050000003
300,7.88768000000002e-05
301,0.004237521800000003
302,0.0007365121999999988
303,0.00017112499999999927
304,4.681799999999852e-06
305,0.41959212245000005
306,0.0036534152
307,0.0019071488000000022
308,1.4098050000000196e-05
309,0.00029743605000000055
310,5.671125000000051e-05
311,6.020449999999907e-06
312,0.0005037137999999997
313,0.00012688245
314,0.00021882320000000103
315,0.002094986449999997
316,0.0012650450000000007
317,1.5015200000000222e-05
318,0.42355887605000003
319,0.002269358450000003
320,3.0186450000000423e-05
321,0.0008765484499999984
322,8.160800000000176e-06
323,0.0001087812500000006
324,1.170450000000048e-06
325,0.001476417800000003
326,0.40012774245
327,0.0033874680499999996
328,3.2967200000000134e-05
329,0.0001713100500000005
330,0.43428404044999996
331,0.306622805
332,0.00014740445000000033
333,0.00023827445000000036
334,0.32513241605000004
335,0.0002590088000000001
336,2.2445000000000264e-05
337,0.005363372450000005
338,0.009165226050000001
339,3.502844999999991e-05
340,2.0479999999999753e-05
341,0.002868273800000002
342,0.01361415005
343,0.00047093804999999986
344,0.006197184450000005
345,0.0015730440499999985
346,8.502080000000068e-05
347,2.3461250000000154e-05
348,0.003974752800000002
349,0.0001513799999999995
350,0.30674811379999994
351,0.009461376800000003
352,8.738420000000012e-05
353,9.22082000000005e-05
354,0.007130568199999997
355,6.0170450000000385e-05
356,0.014263605000000009
357,2.4570049999999726e-05
358,0.39820672819999997
359,0.0029984767999999963
360,0.0019362864500000005
361,2.0034449999999664e-05
362,1.0124999999999768e-05
363,0.003578580000000001
364,1.0658000000000246e-06
365,0.0016125520500000004
366,2.4780800000000327e-05
367,0.023903911250000003
368,0.0016583040500000017
369,1.8624499999999755e-06
370,0.00031852880000000103
371,6.160500000000615e-07
372,0.002439511249999998
373,1.5180050000000082e-05
374,0.0037601792000000016
375,0.006168272450000001
376,4.470050000000144e-06
377,0.000903550050000002
378,4.089799999999925e-06
379,3.7238450000000226e-05
380,5.8481999999999265e-06
381,4.1587200000000156e-05
382,0.0004836050000000005
383,0.00022408445000000047
384,0.29631911445000003
385,2.268449999999926e-06
386,0.00020060044999999985
387,0.0030984192000000008
388,0.33663474044999997
389,3.256245000000017e-05
390,0.00012324500000000075
391,0.003063096449999996
392,9.202050000000069e-06
393,0.006010464799999995
394,0.002871304199999997
395,1.0534049999999922e-05
396,0.0008351784499999984
397,0.0007357447999999981
398,0.0004755527999999993
399,4.005125000000012e-05
400,0.0001012464499999995
401,5.120720000000018e-05
402,0.00036747604999999914
403,1.2054049999999853e-05
404,3.0752000000000934e-06
405,0.39728806605
406,0.0015202097999999981
407,0.0009180612500000023
408,0.00025087999999999944
409,5.4449999999999e-06
410,0.007594048800000002
411,6.193844999999971e-05
412,0.003733344049999999
413,0.00011950580000000045
414,9.679999999999823e-06
415,5.056199999999875e-06
416,0.015261792050000006
417,0.00025245044999999976
418,0.0007178260499999992
419,6.083044999999983e-05
420,0.0016046112499999987
421,0.3178595912
422,0.08772603844999999
423,2.3052049999999748e-05
424,2.642644999999999e-05
425,0.0025919999999999967
426,0.0003575137999999996
427,0.001834968199999998
428,4.315205000000019e-05
429,0.0022585920499999996
430,0.001294387200000002
431,1.4792000000000942e-06
432,0.00029161125000000014
433,1.6380499999999608e-06
434,0.0011717640499999977
435,1.0081999999999671e-06
436,1.1712799999999784e-05
437,2.2984200000000057e-05
438,9.384499999999758e-07
439,5.1511249999999925e-05
440,2.8560500000000076e-06
441,1.0658000000000246e-06
442,2.080800000000085e-06
443,5.040080000000049e-05
444,4.6079999999996246e-07
445,1.7052799999999746e-05
446,0.00030479804999999975
447,0.00010556045000000063
448,3.7264500000000277e-06
449,2.7379999999997255e-07
450,1.2500000000000023e-05
451,1.647379999999981e-05
452,0.00339735245
453,0.00015948979999999978
454,0.001302030450000001
455,0.00011811844999999992
456,8.84450000000071e-07
457,0.44045682245
458,7.920199999999935e-06
459,0.00011175125000000028
460,4.417999999999966e-05
461,0.0010369458000000012
462,0.0023113200499999998
463,0.003775804999999998
464,3.2004500000000817e-06
465,4.80200000000003e-05
466,3.976200000000126e-06
467,4.704500000000256e-07
468,4.436819999999985e-05
469,0.002718793800000002
470,4.0500000000001073e-07
471,0.00062906045
472,0.017190288200000004
473,1.6562000000000797e-06
474,0.02646610245
475,0.001104030049999999
476,0.0021027612499999976
477,0.001689548450000001
478,0.0009816880499999982
479,1.0512499999999294e-06
480,1.8240800000000274e-05
481,6.039005000000061e-05
482,0.1297238048
483,1.1857999999999781e-06
484,4.7431999999999125e-06
485,0.001299990049999999
486,0.08028024499999997
487,3.280499999999817e-07
488,0.0005985799999999987
489,0.39208169045
490,0.0004307112499999996
491,6.444049999999935e-06
492,7.381124999999992e-05
493,0.0019294471999999972
494,1.7671999999999864e-06
495,9.52200000000066e-07
496,8.080200000000094e-06
497,0.003361999999999997
498,7.031250000000117e-06
499,0.1056896288
500,9.926405000000066e-05
501,0.00024310125000000032
502,9.245000000001782e-08
503,6.361919999999951e-05
504,0.004983014449999997
505,0.0010988672000000015
506,9.384499999999758e-07
507,0.0014867604499999981
508,0.0006174097999999982
