,Delta_save
0,0.14502882244999998
1,0.056538756449999984
2,0.07766528720000002
3,0.08781821404999998
4,0.11868192000000001
5,0.07462929780000001
6,0.08086633279999998
7,0.1507993362
8,0.0844358418
9,0.09800492644999999
10,0.18236572245
11,0.07277112499999998
12,0.08371822805000002
13,0.08178990124999999
14,0.05371330880000002
15,0.21157512499999998
16,0.07430512499999999
17,0.1495060562
18,0.044856115200000005
19,0.06443332019999999
20,0.07594473645000001
21,0.13937616045000004
22,0.0801680882
23,0.09944462045
24,0.08655712245000002
25,0.0827187138
26,0.07744473680000001
27,0.16666651125
28,0.07093261125000001
29,0.06786296405
30,0.06503060479999999
31,0.045384819199999996
32,0.11909152080000002
33,0.07263003844999999
34,0.14697415445000003
35,0.09384844879999998
36,0.16111326125
37,0.07408940179999998
38,0.08995585279999999
39,0.07006147445000002
40,0.18416987405000004
41,0.09373584020000002
42,0.08002000125
43,0.0637316402
44,0.05273128125
45,0.0819639072
46,0.06104716819999998
47,0.11563721404999998
48,0.0784000802
49,0.0712229282
50,0.09214495204999998
51,0.1543679048
52,0.09504364004999999
53,0.18231137280000004
54,0.0437606528
55,0.07474137845
56,0.11129290205000002
57,0.06032253779999999
58,0.11074629845
59,0.0795047688
60,0.08717400125
61,0.1110429938
62,0.06264738045
63,0.11239488719999999
64,0.07097028125000002
65,0.04150656720000001
66,0.0818586722
67,0.1858548512
68,0.07346327805000001
69,0.047641671199999985
70,0.05731482245000001
71,0.06575388479999998
72,0.08460029780000002
73,0.12864620880000002
74,0.14129396405
75,0.062297440199999984
76,0.19339846245
77,0.12436081920000003
78,0.05493618045000001
79,0.16338614480000002
80,0.07991602205
81,0.06797721920000002
82,0.16974633779999998
83,0.24656348645
84,0.08078190125000001
85,0.07093261125000001
86,0.05650513444999999
87,0.09821312000000001
88,0.17839559119999998
89,0.17129975119999996
90,0.04527341405
91,0.18251673620000003
92,0.05438401999999999
93,0.14887241780000002
94,0.04587117605
95,0.06649210445000002
96,0.15094215680000003
97,0.0640605218
98,0.1784672768
99,0.11228112719999998
100,0.11134008605000001
101,0.06983705645
102,0.06339648319999998
103,0.10197128
104,0.1518996962
105,0.05913704405000002
106,0.044988000800000004
107,0.2319213618
108,0.1022695538
109,0.06275715920000001
110,0.05123840719999999
111,0.17970612005
112,0.0648144008
113,0.07961247045
114,0.08235711125000002
115,0.16297482319999998
116,0.1472724992
117,0.09448639205000002
118,0.04342109805
119,0.06525800644999999
120,0.05949525124999999
121,0.07033500179999998
122,0.10578160080000001
123,0.11860885125
124,0.22674051404999998
125,0.03915801125000001
126,0.11682811220000001
127,0.14808770420000003
128,0.08941797605
129,0.08608345245000001
130,0.17651305280000001
131,0.0505429218
132,0.057101721800000005
133,0.07859423045
134,0.190282805
135,0.13784400180000003
136,0.04850989519999999
137,0.0591404832
138,0.045556711249999986
139,0.17586008179999996
140,0.08291406420000001
141,0.06870183120000001
142,0.13240143405
143,0.0707180832
144,0.1402592648
145,0.18010201445
146,0.09713468880000002
147,0.052284078450000014
148,0.08261706005000001
149,0.08192342420000001
150,0.1999901768
151,0.19018411380000005
152,0.046781287200000014
153,0.14271153125
154,0.06735918080000002
155,0.08902090125000002
156,0.05797012500000001
157,0.19285776179999997
158,0.05458868820000001
159,0.14064616845
160,0.20873552720000002
161,0.13489337404999996
162,0.06250587245000001
163,0.10384035920000001
164,0.08534232979999998
165,0.2181433352
166,0.05184844019999999
167,0.14287719679999997
168,0.05259173120000002
169,0.17995200320000002
170,0.05062562000000001
171,0.16998531244999998
172,0.09314359605000003
173,0.0835832498
174,0.07150627445
175,0.0314703872
176,0.05547114320000002
177,0.06121150605000001
178,0.07549720820000001
179,0.07342495205000002
180,0.069192
181,0.07458680644999999
182,0.04822375679999998
183,0.0451861922
184,0.07583565124999998
185,0.07389321245000002
186,0.10472633779999999
187,0.04642409205000001
188,0.0670658688
189,0.15398475125000002
190,0.04146912004999999
191,0.05199990005000002
192,0.044658649800000005
193,0.06765313279999997
194,0.04089800000000001
195,0.07376256405000002
196,0.20738088020000003
197,0.056855292050000006
198,0.1996361672
199,0.0420036128
200,0.1796761458
201,0.05220972979999999
202,0.05723697779999999
203,0.09068688720000001
204,0.09387011204999998
205,0.045402897800000015
206,0.07717341845000002
207,0.21741077405000003
208,0.19743699605
209,0.07815476480000001
210,0.03898190420000001
211,0.05458868820000001
212,0.043636488200000004
213,0.037502388449999986
214,0.10179523205
215,0.03081403124999999
216,0.1750662792
217,0.13189761605
218,0.05240703124999999
219,0.04376952844999999
220,0.07569551405000002
221,0.03837281045
222,0.13728800000000002
223,0.04218931519999999
224,0.1742034338
225,0.07147602405000002
226,0.03906292005000001
227,0.092235125
228,0.18724752080000004
229,0.06967644499999999
230,0.03977892179999999
231,0.03655267219999999
232,0.10176816125000002
233,0.18347864645
234,0.03517347644999999
235,0.2505045762
236,0.07062409445
237,0.18041423804999998
238,0.0620365088
239,0.06244931405
240,0.05172614480000001
241,0.1572707528
242,0.08443173245
243,0.04340931124999999
244,0.09993579244999999
245,0.12254715245
246,0.04178651404999999
247,0.08303220005000002
248,0.07396242605
249,0.06093540499999999
250,0.04112138420000001
251,0.03799421780000001
252,0.07976417405000001
253,0.03668527845000002
254,0.04983324499999999
255,0.0554245218
256,0.04813994204999999
257,0.11958006080000001
258,0.11469655125
259,0.029400700049999996
260,0.17117100499999996
261,0.03830635204999999
262,0.0452583698
263,0.06781507920000002
264,0.056791240199999996
265,0.06642283520000002
266,0.02980705280000001
267,0.034911388800000005
268,0.16425046125000003
269,0.08094276125
270,0.06118002
271,0.057956505799999995
272,0.02974604404999999
273,0.15750078125000003
274,0.08185057999999998
275,0.15963510079999998
276,0.03367012499999999
277,0.10512946579999997
278,0.035213272199999986
279,0.04625969445000001
280,0.07458680644999999
281,0.14197521844999997
282,0.080842205
283,0.03404484179999999
284,0.07166519404999999
285,0.04663152605000002
286,0.050619256200000004
287,0.04517416819999999
288,0.03255331280000001
289,0.023642251250000006
290,0.06436513205000002
291,0.11089224180000001
292,0.07358598845000001
293,0.05454574204999999
294,0.09448639205000002
295,0.1930316978
296,0.04587420499999999
297,0.05908203125
298,0.022512298049999997
299,0.18287337645
300,0.09529231679999997
301,0.04264952179999999
302,0.02916354005
303,0.05042535245000001
304,0.0320601842
305,0.07979613005000001
306,0.13459747279999998
307,0.06738487605000001
308,0.051922531250000015
309,0.08200035045000002
310,0.043982814050000006
311,0.09024026445000002
312,0.0391888008
313,0.08805725780000001
314,0.06575751125000001
315,0.06812109605000002
316,0.09981512
317,0.046655960450000006
318,0.0477219618
319,0.07835652845000002
320,0.026383342049999994
321,0.054909666049999986
322,0.04546017044999999
323,0.048102714449999986
324,0.06956077005000001
325,0.07003527380000002
326,0.06076795220000002
327,0.02787396605000001
328,0.07492707604999999
329,0.07426272605
330,0.043598092050000016
331,0.1746641408
332,0.11019165125000002
333,0.07393166045000002
334,0.07327557620000003
335,0.06789981005
336,0.026981644999999988
337,0.06236099280000001
338,0.042198030050000016
339,0.052128976050000005
340,0.1544790528
341,0.052929564799999995
342,0.033724642049999996
343,0.16285495205000003
344,0.08368140500000001
345,0.1346182272
346,0.03983535379999999
347,0.09059321779999999
348,0.02366182579999999
349,0.02279966579999999
350,0.050819908050000015
351,0.07881641045
352,0.02663432
353,0.06798090645
354,0.19017794645
355,0.032944878049999994
356,0.04536674420000001
357,0.0743128352
358,0.06764577620000001
359,0.09949814405
360,0.020046026450000004
361,0.062198645000000004
362,0.02826490879999999
363,0.21366184499999996
364,0.04716441845
365,0.04313571919999999
366,0.08858682319999998
367,0.04967236804999999
368,0.08124883604999998
369,0.031969089799999996
370,0.027165474050000006
371,0.16312900805
372,0.10235097679999998
373,0.042827864449999996
374,0.07108335125
375,0.017578125
376,0.05904766125
377,0.041769170450000004
378,0.04758921004999998
379,0.015221635199999995
380,0.11728293119999998
381,0.16275224045
382,0.06744362644999999
383,0.03625855205000001
384,0.07199115124999998
385,0.06987069620000001
386,0.06040940404999998
387,0.06766784719999999
388,0.040458745800000015
389,0.04864704319999999
390,0.027324206450000006
391,0.037543480200000014
392,0.05851962605000001
393,0.027727770049999996
394,0.07040628125
395,0.08402130245
396,0.025175436049999996
397,0.05961604500000002
398,0.056683445
399,0.018843228450000006
400,0.048771891200000014
401,0.05052702605
402,0.01798356125
403,0.02565339005
404,0.05723697779999999
405,0.054285125000000004
406,0.13180518245000003
407,0.024316740450000002
408,0.04323270125000001
409,0.019786572450000012
410,0.020543645
411,0.037834503199999994
412,0.09039326804999998
413,0.14186333780000002
414,0.06788507044999999
415,0.0401917952
416,0.09799164499999999
417,0.051405004800000015
418,0.03774927644999999
419,0.05000070645
420,0.12714915920000003
421,0.021039158450000008
422,0.024895729800000002
423,0.01646931005000001
424,0.051392179999999996
425,0.03761750205000001
426,0.058389696449999993
427,0.08988376005
428,0.033826005
429,0.03211338245000001
430,0.05594178004999999
431,0.0564278418
432,0.03436655445
433,0.14046060019999995
434,0.03328458004999999
435,0.07157814480000001
436,0.03413623205000001
437,0.038411604450000005
438,0.020058042049999992
439,0.04042746125
440,0.04627794645
441,0.03488761125
442,0.031395168200000004
443,0.056320392200000007
444,0.0346423842
445,0.04663458
446,0.04173160500000001
447,0.028105834050000004
448,0.029219113799999988
449,0.07910253125
450,0.017205124999999998
451,0.16271801045
452,0.03538598045
453,0.03912163919999999
454,0.027102576200000006
455,0.037286343199999995
456,0.034206816800000005
457,0.030005150450000004
458,0.034209432449999994
459,0.05027303404999999
460,0.13299903124999995
461,0.0215945762
462,0.021240666050000002
463,0.027673633800000007
464,0.022414796449999993
465,0.031382640450000006
466,0.030012499999999998
467,0.026438501249999996
468,0.11551701779999998
469,0.15841694720000002
470,0.04078367999999999
471,0.024431551249999992
472,0.032755201250000004
473,0.053366445
474,0.027935388449999994
475,0.02448684500000001
476,0.03542855805000001
477,0.006703662049999994
478,0.014610241799999996
479,0.05347104019999999
480,0.0346160672
481,0.11807370125
482,0.02330208719999999
483,0.0646776578
484,0.030744560450000007
485,0.06870553804999999
486,0.09355840245000001
487,0.03205511999999999
488,0.01468041125
489,0.02928442004999999
490,0.027857440800000008
491,0.03214887244999999
492,0.03130252205000001
493,0.03970843805
494,0.07672227919999998
495,0.017044118449999993
496,0.06409274044999999
497,0.15525820879999996
498,0.031641216800000004
499,0.11962407844999998
500,0.03256352
501,0.016097562449999995
502,0.004306848049999995
503,0.024960482450000005
504,0.0612570002
505,0.0812367432
506,0.06977727244999998
507,0.08581810205000003
508,0.026537472200000006
509,0.025660185799999992
510,0.01774728
511,0.007927923200000004
512,0.024891267199999997
513,0.016299151249999998
514,0.015574360050000007
515,0.0701026568
516,0.018067104049999998
517,0.00866059605
518,0.050733865800000014
519,0.18265572405
520,0.017966496799999992
521,0.0072926964500000056
522,0.14661112499999998
523,0.01630095680000001
524,0.02448684500000001
525,0.05455234805
526,0.052767009800000014
527,0.01835719604999999
528,0.07365505805
529,0.018919015200000004
530,0.022087816200000006
531,0.0270467282
532,0.014206236800000008
533,0.05037138000000001
534,0.022667463199999998
535,0.07337514319999999
536,0.006459297799999998
537,0.25586281125000004
538,0.13257130320000002
539,0.0335042498
540,0.05961604500000002
541,0.03725631045000001
542,0.018938472200000004
543,0.03413100645
544,0.007146101250000005
545,0.048815625799999984
546,0.1837513442
547,0.05266310580000002
548,0.017764240050000008
549,0.006151623200000002
550,0.019518928199999997
551,0.017031196799999992
552,0.041691168800000004
553,0.019155116449999992
554,0.031382640450000006
555,0.033898872199999985
556,0.10166893245000003
557,0.035620474049999996
558,0.030472398450000007
559,0.01351532404999999
560,0.01744338419999999
561,0.021688196449999992
562,0.011052871200000005
563,0.041451842450000005
564,0.006280963199999995
565,0.06782612805
566,0.06507749645000001
567,0.050549280800000006
568,0.01662211445
569,0.06530498000000003
570,0.015094531249999993
571,0.26658141620000003
572,0.03935415124999999
573,0.02486004019999999
574,0.030734642449999995
575,0.015899011200000007
576,0.006054400800000003
577,0.01568574720000001
578,0.011439793799999992
579,0.12574611005
580,0.016458422449999996
581,0.021381052050000005
582,0.026101555200000005
583,0.010567672199999992
584,0.003335811199999998
585,0.08393114205
586,0.08000800020000001
587,0.043621718450000006
588,0.0025927200500000013
589,0.019276661250000004
590,0.00993063245
591,0.014238281249999993
592,0.1296626888
593,0.01823859005
594,0.013657086450000005
595,0.0021872497999999986
596,0.03845041804999998
597,0.004888627199999997
598,0.21134751125
599,0.12793705279999998
600,0.02374674244999999
601,0.012300961250000008
602,0.04888126445
603,0.03304249245
604,0.027966125000000012
605,0.10785225679999998
606,0.03301165125
607,0.05741982719999999
608,0.05507880499999999
609,0.17009028125000003
610,0.01050235245
611,0.02060449999999999
612,0.015373811250000001
613,0.02201011805000001
614,0.0711097472
615,0.020056039200000004
616,0.02374674244999999
617,0.0019738044500000034
618,0.019133592200000004
619,0.016706092050000003
620,0.03140519219999999
621,0.03572731805000001
622,0.17787033680000006
623,0.20656378125000002
624,0.12905740125
625,0.0658409472
