,Delta_save
0,0.15118400720000003
1,0.1511030562194903
2,0.1511668924901355
3,0.15118053714511787
4,0.1511860866404251
5,0.15122615164628175
6,0.15125051254638544
7,0.15124729149041705
8,0.1512155912108664
9,0.15124476926183006
10,0.15130499145367232
11,0.15135364598740178
12,0.15135666429351133
13,0.15127411747242836
14,0.15127722637495467
15,0.15129250411416012
16,0.1512069393936562
17,0.1512320072645271
18,0.15124297476596185
19,0.15121921072726524
20,0.1512205305944044
21,0.15121032221924757
22,0.15114625948244673
23,0.15108612000950075
24,0.15110795965571813
25,0.15110572523107474
26,0.15111615925288277
27,0.15111753243828718
28,0.15113340273390108
29,0.15116207504001414
30,0.1511794176394744
31,0.1511264246615239
32,0.15115632879859384
33,0.15118128705071918
34,0.15112210866890938
35,0.15114444767093946
36,0.1510763898289895
37,0.1510601370393553
38,0.15105360317769678
39,0.15099370559735928
40,0.15097569414248935
41,0.15099411198187718
42,0.15095461931427911
43,0.15099108373920236
44,0.1509791160113771
45,0.15090804048757764
46,0.1508731480710983
47,0.15082593846702924
48,0.15076741557405868
49,0.15077467332765782
50,0.15066641267870465
51,0.15062885796743158
52,0.15058224777635967
53,0.15049968771506397
54,0.150490008804854
55,0.1504663169787622
56,0.15039463146578994
57,0.15039826416842283
58,0.15036895684196763
59,0.15034390059325
60,0.15033267460610034
61,0.15018241706026716
62,0.15018582392857274
63,0.15017830531675008
64,0.15014303285891223
65,0.15016755943521518
66,0.15013223065222145
67,0.1501130060116895
68,0.15010968454086324
69,0.15010293158405077
70,0.1500628667081047
71,0.1500458268655179
72,0.14997406659878573
73,0.1499828204720503
74,0.14994802625048903
75,0.14994786337012872
76,0.1499176183030921
77,0.14989230866765674
78,0.14985199999937324
79,0.14984628166354177
80,0.14984561385998002
81,0.14978415024272868
82,0.1497464529235955
83,0.14974376330668038
84,0.1497349248238651
85,0.14973818679250692
86,0.14972369225543294
87,0.1496450309298903
88,0.14966641166704184
89,0.1496095335536315
90,0.14961940166247342
91,0.14959911921023708
92,0.14955458930078158
93,0.1495503943451586
94,0.14953650888074563
95,0.14952874372964045
96,0.14953634736409357
97,0.14947916924498902
98,0.14941872853929689
99,0.1493973536786379
100,0.14936284261853933
101,0.14931890651377316
102,0.1492249326709808
103,0.14921089915551755
104,0.1491775490292252
105,0.14912449528706706
106,0.14905662937598554
107,0.14900514793233138
108,0.1489397382972666
109,0.14893932761476056
110,0.14892232008870881
111,0.14885680538722085
112,0.14880590813291078
113,0.148773454036626
114,0.14876162364223655
115,0.148738419214858
116,0.1487437905261875
117,0.1486617586643922
118,0.1486601369386407
119,0.14866121754265005
120,0.14863501758353698
121,0.14848645684632206
122,0.148497244319789
123,0.1484649059654464
124,0.14839425206643045
125,0.14833763226906269
126,0.1483048664934814
127,0.1482646570349172
128,0.14811646647316315
129,0.14810983340502404
130,0.1481093873114658
131,0.14805208717922047
132,0.1480518020230693
133,0.14800804127921816
134,0.14797780640037836
135,0.14791996612931352
136,0.14783090833228274
137,0.14776051407233043
138,0.1477413028743071
139,0.14772798417083452
140,0.14765823247870977
141,0.14764085232875604
142,0.1474932852599617
143,0.14747907160073134
144,0.14744532144026085
145,0.14743966772088027
146,0.14740083478982494
147,0.1473430500594503
148,0.14731325197288414
149,0.1472956458620167
