,N_moves
0,7.0
1,7.007996001999001
2,7.014984511742131
3,7.00897253321965
4,7.003966063921079
5,7.000963599089574
6,7.030947643468295
7,7.026918710291415
8,7.027891305283628
9,7.042855931665153
10,7.040814096650996
11,7.034776301451945
12,7.028744541030704
13,7.022718809355512
14,7.0166991004006345
15,7.011684908396236
16,7.0186697310765
17,7.028646073174374
18,7.035613943166204
19,7.041575348520362
20,7.039534793449377
21,7.033498276914195
22,7.067447803873802
23,7.063382388777477
24,7.057322036564806
25,7.054266242425311
26,7.0482150018031975
27,7.050165811396598
28,7.063109173903947
29,7.066044597018486
30,7.059981583928013
31,7.06192063281964
32,7.055861741632414
33,7.0528074070580695
34,7.053754126291395
35,7.051701398528985
36,7.046652221718862
37,7.040608591312346
38,7.0375695022655576
39,7.031534950039406
40,7.025506429349712
41,7.020483434417828
42,7.02046296122001
43,7.025440009734532
44,7.041406586436446
45,7.042364700792832
46,7.051317859512679
47,7.054265068048898
48,7.068203833598075
49,7.0791301665979764
50,7.101040081473941
51,7.122928097384512
52,7.117807729471084
53,7.114691479866416
54,7.114576845703631
55,7.134452331115222
56,7.135317446226551
57,7.129185194905985
58,7.132054575021022
59,7.124926084691166
60,7.1527872280348035
61,7.146637515662955
62,7.146490951429409
63,7.145345033436976
64,7.139202759540487
65,7.139063626347544
66,7.132927630719011
67,7.146787773017143
68,7.16363256284921
69,7.157472010562504
70,7.1503181154994735
71,7.172156878002722
72,7.165987805660891
73,7.163822900307907
74,7.157662157778864
75,7.155505573913018
76,7.15634964630291
77,7.160191375791864
78,7.169026766720608
79,7.191846330172161
80,7.187656578717716
81,7.219453023916399
82,7.226230182313285
83,7.240996568937659
84,7.234758691307537
85,7.232525049437165
86,7.2712731503372785
87,7.265005011256482
88,7.260742137682014
89,7.258482525350498
90,7.2522271705025725
91,7.24597806788338
92,7.239735211243817
93,7.233498594341024
94,7.2292672114381356
95,7.239033061301766
96,7.241792648446892
97,7.249546978633353
98,7.247298555866103
99,7.248050881147596
100,7.246803453980032
101,7.25255377536536
102,7.253300848053651
103,7.269039677790729
104,7.266771772065801
105,7.260508132113712
106,7.2572492534209445
107,7.253993631978245
108,7.258737266528992
109,7.27347116231457
110,7.270199327069878
111,7.297915269771457
112,7.2996165038846295
113,7.29332003561488
114,7.288029360916615
115,7.281744473999157
116,7.276465369077619
117,7.269192540123019
118,7.2869144866096525
119,7.280630714009344
120,7.274353222041319
121,7.2740790059273355
122,7.287798067390677
123,7.280513911401281
124,7.303222043423868
125,7.324907978412949
126,7.33657723580584
127,7.356230831772051
128,7.3868592867128084
129,7.382474619759573
130,7.387089837530928
131,7.379706439392466
132,7.387322924710415
133,7.380938793851135
134,7.397549549679369
135,7.404148700554252
136,7.410741255576187
137,7.406332718589105
138,7.399929587436093
139,7.417520862211269
140,7.4191025505049115
141,7.414685656401459
142,7.4102731769847665
143,7.403866107342603
144,7.397465441568148
145,7.3920706735106085
146,7.392678299024341
147,7.389287316216721
148,7.381901721697764
149,7.377522009831999
150,7.378144176738714
151,7.3807647222892
152,7.381383648104004
153,7.374005953303301
154,7.37163313375977
155,7.365264684850465
156,7.358902601207436
157,7.358543877967849
158,7.352188511772979
159,7.348837998517833
