,Delta_save
0,0.21288465005
1,0.21285843900547227
2,0.21279165705869021
3,0.2126623253474871
4,0.2126502288481893
5,0.21253299504829104
6,0.21247583801176104
7,0.21243444272544243
8,0.21227934987734104
9,0.21226014289700387
10,0.21213967628186445
11,0.21202617023880413
12,0.21197966962332304
13,0.21183164564249013
14,0.211811126307765
15,0.21174696187492364
16,0.211705833564404
17,0.2116740776148644
18,0.21165036732844275
19,0.21162004249972868
20,0.21148809691022372
21,0.21136166767293213
22,0.2112850352016948
23,0.21116014520194298
24,0.21114030939709347
25,0.21113734435146916
26,0.2110801704038915
27,0.21103839746840533
28,0.21099254503095563
29,0.21090782284826604
30,0.21087330276865757
31,0.21089394565964342
32,0.2108305296427922
33,0.21070462994304928
34,0.21058349268673437
35,0.21052785549109546
36,0.21049498187366308
37,0.21044519392181535
38,0.21039836414278307
39,0.21037780263219558
40,0.21032507547359267
41,0.2102410806979569
42,0.2101773039900629
43,0.21009483701760906
44,0.21002232331749152
45,0.20990672350652953
46,0.20985921644500377
47,0.20977542120697779
48,0.2096532947148169
49,0.20960170725588154
50,0.20950917335977373
51,0.20940354824397184
52,0.20938950172078946
53,0.20936383396419697
54,0.20933544560441267
55,0.20925156243659218
56,0.20914753362701038
57,0.20911063621613882
58,0.20902848395225462
59,0.20893403645809944
60,0.2088779907077165
61,0.20866921710381076
62,0.20853406341000383
63,0.2085368429618179
64,0.20844309744286557
65,0.20830395684177327
66,0.20819220100784847
67,0.20809300485696605
68,0.20801875896625444
69,0.20799857963100582
70,0.20791126342947558
71,0.20781702073239464
72,0.20768685134040824
73,0.20763584442632488
74,0.2074982939192021
75,0.20744913584931785
76,0.2073442440235814
77,0.2073056530982205
78,0.2072143479301563
79,0.20710169803597325
80,0.20698004907621717
81,0.20692706916954431
82,0.2068704046438876
83,0.20674374563719705
84,0.20665575216954368
85,0.2065537547960609
86,0.20634730426652959
87,0.20625672123697783
88,0.20615703317657108
89,0.2060211029425615
90,0.20598158917730158
91,0.20592909183679453
92,0.20582611339542842
93,0.2057817350911851
94,0.2056533324738526
95,0.20552991137797666
96,0.20543680868199668
97,0.20523147454038548
98,0.205141233926602
99,0.2050442397402186
100,0.20495661428325684
101,0.20489119856103472
102,0.20481207798855994
103,0.20470364989706713
104,0.20459706203090314
105,0.20447104293487026
106,0.204369019129638
107,0.20432010556853894
108,0.20427146946182376
109,0.20406730007705431
110,0.20405753896973092
111,0.20400571585611801
112,0.2039527062751024
113,0.2039431282478909
114,0.20381830631540923
115,0.20371369526581862
116,0.2036336205559577
117,0.2036330628592501
118,0.2035701498541434
119,0.2034701831416955
120,0.20337518473220853
121,0.20330194207285598
122,0.20327314730941484
123,0.2031788770852675
124,0.20309300954400286
125,0.20301593699153508
