,N_moves
0,2.0
1,1.999000499750125
2,2.00399900000025
3,2.0039950029987503
4,2.0029915097423796
5,2.0019890194777696
6,2.0009875312024294
7,2.0239750499118725
8,2.02295158659362
9,2.0219291462272095
10,2.020907727790201
11,2.019887330261175
12,2.0308619556182355
13,2.0318306093357585
14,2.0327982948836487
15,2.037763014229092
16,2.036725769837059
17,2.035689562171055
18,2.034654390194872
19,2.0346197531232133
20,2.0355846509211912
21,2.0355490840537036
22,2.034514052485434
23,2.0344795556813504
24,2.0364440938565815
25,2.0703906764714177
26,2.0693208207228206
27,2.072250035294812
28,2.0711783211166064
29,2.073106178866615
30,2.0760316099721954
31,2.0749561161091545
32,2.077879698201999
33,2.078801357674061
34,2.089717098446001
35,2.0896274261836862
36,2.088538343298945
37,2.0904488497024443
38,2.093356946804191
39,2.099260638011783
40,2.104158928228663
41,2.113050323602747
42,2.1119378295261826
43,2.111825947637601
44,2.1237081805734954
45,2.126583034965726
46,2.133453016939773
47,2.1403161323651205
48,2.14217488685551
49,2.153027285769198
50,2.1518748347089587
51,2.161718038272468
52,2.1665539023021805
53,2.1763824341339624
54,2.181203641096347
55,2.183021528511543
56,2.1828385984480634
57,2.1956493544716036
58,2.220441309139798
59,2.2222199784959797
60,2.2349913728203212
61,2.237754999634094
62,2.2495113664510513
63,2.251260980277687
64,2.270000349612742
65,2.2697304841958377
66,2.2764573902586105
67,2.2791795717775925
68,2.2948925357238417
69,2.2975962913103247
70,2.3032958452420487
71,2.301993200719068
72,2.3006918581896136
73,2.322380322099469
74,2.321058602637101
75,2.324735705483041
76,2.325410632314142
77,2.324085884055957
78,2.3307584618829873
79,2.3374243704668123
80,2.3540786189720926
81,2.36272021955283
82,2.361358180352877
83,2.3719915055099454
84,2.3776167014064873
85,2.3812372744185746
86,2.3978477319154075
87,2.4034470845071962
88,2.4240333442927966
89,2.427607523858721
90,2.4261806297819004
91,2.434750164384817
92,2.4363146319866313
93,2.4348790351530614
94,2.447437876697136
95,2.450988663427074
96,2.451537400395163
97,2.452085588900515
98,2.451633729241444
99,2.45218182146609
100,2.451729865622546
101,2.471268366506482
102,2.485789837404526
103,2.493300292339654
104,2.495805739323822
105,2.4953101813634784
106,2.497813619463065
107,2.4963165543761456
108,2.5038164878550297
109,2.5023134228996526
110,2.500811860258074
111,2.5043092996781056
112,2.503805242407063
113,2.5162951921897645
114,2.5217761565154118
115,2.524253141866221
116,2.522729650470053
117,2.5421971870512925
118,2.539656260327603
119,2.5451138752598093
120,2.5525650358042773
121,2.5530122471627936
122,2.564453514282071
123,2.5628898426036284
124,2.5663252350647943
125,2.5647596926009615
126,2.5661942156468376
127,2.565628304386821
128,2.566062459005125
129,2.5674956799356545
130,2.567927968111631
131,2.5663608237157174
132,2.587783751428146
133,2.5861967611718457
134,2.5866103576124537
135,2.5870235406633157
136,2.5914343117371157
137,2.595840674244125
138,2.6002426325907075
139,2.5986431896795725
140,2.603042346911277
141,2.607437107184229
142,2.60583047339394
143,2.6042254454345257
144,2.6086190232002084
145,2.610009708834191
146,2.60840050372791
147,2.625783411770161
148,2.6321544428428543
149,2.6425171070678988
150,2.650870413307711
151,2.6692103729146
152,2.6785364994784038
153,2.687853304576376
154,2.6871657950265746
155,2.69047697364224
156,2.711775847231803
157,2.710064926844765
158,2.711354217272706
159,2.7116427188046672
160,2.7169284332286505
161,2.715212362830621
162,2.718495508894758
163,2.7247738742032093
