,N_moves
0,11.0
1,8.0
2,12.0
3,2.0
4,13.0
5,12.0
6,1.0
7,1.0
8,15.0
9,3.0
10,3.0
11,1.0
12,24.0
13,1.0
14,2.0
15,1.0
16,2.0
17,5.0
18,4.0
19,3.0
20,6.0
21,1.0
22,10.0
23,6.0
24,4.0
25,23.0
26,1.0
27,3.0
28,4.0
29,6.0
30,14.0
31,6.0
32,1.0
33,19.0
34,9.0
35,1.0
36,8.0
37,1.0
38,14.0
39,3.0
40,14.0
41,2.0
42,1.0
43,5.0
44,3.0
45,1.0
46,5.0
47,4.0
48,1.0
49,3.0
50,12.0
51,10.0
52,6.0
53,6.0
54,10.0
55,6.0
56,31.0
57,2.0
58,9.0
59,13.0
60,1.0
61,3.0
62,30.0
63,16.0
64,4.0
65,1.0
66,1.0
67,1.0
68,1.0
69,4.0
70,1.0
71,9.0
72,28.0
73,5.0
74,23.0
75,3.0
76,12.0
77,11.0
78,1.0
79,19.0
80,1.0
81,11.0
82,8.0
83,2.0
84,10.0
85,2.0
86,1.0
87,5.0
88,8.0
89,17.0
90,3.0
91,28.0
92,14.0
93,13.0
94,20.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,7.0
102,5.0
103,1.0
104,5.0
105,1.0
106,1.0
107,25.0
108,31.0
109,5.0
110,8.0
111,18.0
112,18.0
113,2.0
114,1.0
115,2.0
116,4.0
117,7.0
118,1.0
119,10.0
120,11.0
121,8.0
122,11.0
123,1.0
124,10.0
125,32.0
126,1.0
127,2.0
128,1.0
129,1.0
130,10.0
131,5.0
132,3.0
133,3.0
134,13.0
135,12.0
136,18.0
137,1.0
138,10.0
139,17.0
140,1.0
141,1.0
142,8.0
143,2.0
144,0.0
145,23.0
146,1.0
147,19.0
148,38.0
149,12.0
150,5.0
151,3.0
152,2.0
153,1.0
154,23.0
155,5.0
156,1.0
157,23.0
158,21.0
159,3.0
160,2.0
161,1.0
162,1.0
163,2.0
164,22.0
165,11.0
166,30.0
167,2.0
168,1.0
169,7.0
170,1.0
171,6.0
172,2.0
173,1.0
174,13.0
175,36.0
176,0.0
177,30.0
178,1.0
179,5.0
180,5.0
181,1.0
182,3.0
183,6.0
184,12.0
185,1.0
186,9.0
187,6.0
188,1.0
189,44.0
190,3.0
191,8.0
192,1.0
193,12.0
194,6.0
195,12.0
196,19.0
197,4.0
198,7.0
199,3.0
200,3.0
201,5.0
202,2.0
203,36.0
204,1.0
205,1.0
206,2.0
207,2.0
208,15.0
209,16.0
210,0.0
211,2.0
212,3.0
213,9.0
214,9.0
215,1.0
216,5.0
217,7.0
218,5.0
219,1.0
220,21.0
221,35.0
222,12.0
223,1.0
224,7.0
225,3.0
226,16.0
227,10.0
228,7.0
229,1.0
230,6.0
231,1.0
232,8.0
233,29.0
234,4.0
235,12.0
236,2.0
237,2.0
238,15.0
239,3.0
240,7.0
241,2.0
242,34.0
243,13.0
244,34.0
245,7.0
246,4.0
247,1.0
248,3.0
249,10.0
250,2.0
251,5.0
252,8.0
253,1.0
254,26.0
255,15.0
256,7.0
257,15.0
258,3.0
259,11.0
260,4.0
261,8.0
262,12.0
263,6.0
264,14.0
265,1.0
266,13.0
267,1.0
268,1.0
269,1.0
270,6.0
271,11.0
272,9.0
273,4.0
274,8.0
275,1.0
276,1.0
277,6.0
278,7.0
279,1.0
280,10.0
281,8.0
282,5.0
283,11.0
284,4.0
285,1.0
286,11.0
287,16.0
288,6.0
289,1.0
290,14.0
291,12.0
292,2.0
293,10.0
294,1.0
295,8.0
296,4.0
297,4.0
298,5.0
299,15.0
300,1.0
301,3.0
302,3.0
303,1.0
304,26.0
305,5.0
306,4.0
307,1.0
308,4.0
309,1.0
310,1.0
311,1.0
312,1.0
313,2.0
314,10.0
315,5.0
316,2.0
317,1.0
318,8.0
319,5.0
320,15.0
321,1.0
322,10.0
323,4.0
324,1.0
325,2.0
326,2.0
327,2.0
328,2.0
329,2.0
330,9.0
331,11.0
332,3.0
333,14.0
334,5.0
335,6.0
336,4.0
337,1.0
338,1.0
339,14.0
340,5.0
341,9.0
342,1.0
343,36.0
344,2.0
345,12.0
346,1.0
347,16.0
348,1.0
349,4.0
350,13.0
351,3.0
352,3.0
353,3.0
354,2.0
355,4.0
356,1.0
357,1.0
358,16.0
359,4.0
360,7.0
361,18.0
362,9.0
363,11.0
364,1.0
365,8.0
366,2.0
367,3.0
368,0.0
369,1.0
370,3.0
371,7.0
372,1.0
373,21.0
374,30.0
375,1.0
376,12.0
377,13.0
378,22.0
379,37.0
380,10.0
381,12.0
382,4.0
383,25.0
384,9.0
385,7.0
386,1.0
387,5.0
388,3.0
389,13.0
390,13.0
391,3.0
392,1.0
393,6.0
394,13.0
395,25.0
396,1.0
397,9.0
398,46.0
399,31.0
400,16.0
401,1.0
402,2.0
403,1.0
404,9.0
405,1.0
406,1.0
407,1.0
408,1.0
409,2.0
410,45.0
411,30.0
412,30.0
413,9.0
414,31.0
415,30.0
416,18.0
417,3.0
418,3.0
419,11.0
420,2.0
421,26.0
422,37.0
423,10.0
424,2.0
425,1.0
426,17.0
427,1.0
428,6.0
429,37.0
430,19.0
