,Delta_save
0,0.1890387072
1,0.07975618605000001
2,0.18787224019999998
3,0.07634668879999999
4,0.08451393844999999
5,0.06900984005000001
6,0.11309292404999997
7,0.05807572804999998
8,0.07588239244999999
9,0.061990726050000014
10,0.07866561124999998
11,0.05341546124999999
12,0.06947500879999999
13,0.07147602405000002
14,0.21907566245
15,0.1359915552
16,0.14790272720000003
17,0.06692676979999998
18,0.08484316245000001
19,0.16319755805
20,0.16123248980000002
21,0.17916696605
22,0.06361387804999999
23,0.0835341938
24,0.08505337680000001
25,0.07550497999999999
26,0.0848472818
27,0.05025084019999999
28,0.1561957832
29,0.059871840800000006
30,0.05521496805
31,0.0981953928
32,0.24532210579999997
33,0.1625412128
34,0.080842205
35,0.07543116405000001
36,0.053346844800000015
37,0.20881953125
38,0.17731608005
39,0.17873024719999997
40,0.0495243392
41,0.09175471219999999
42,0.08319120500000002
43,0.06733349045
44,0.05625999679999999
45,0.07234447220000002
46,0.04319742245000001
47,0.17272503125
48,0.11912568605000003
49,0.0615233042
50,0.08724499919999999
51,0.1512280008
52,0.1461998738
53,0.22528828125
54,0.050937936200000006
55,0.06838341620000002
56,0.07339429844999999
57,0.0623115602
58,0.14187399120000002
59,0.08387788820000003
60,0.0415526792
61,0.12111565445
62,0.05793267604999999
63,0.04150656720000001
64,0.056669977799999986
65,0.05052702605
66,0.21582450000000003
67,0.08985832245000001
68,0.18850414004999996
69,0.14647036880000003
70,0.06861660124999998
71,0.06903584820000001
72,0.06744362644999999
73,0.05959878124999998
74,0.06587724019999999
75,0.032042461249999994
76,0.07666744820000002
77,0.0844933832
78,0.06445845124999999
79,0.05697337679999999
80,0.15625168019999996
81,0.1516022048
82,0.0360300168
83,0.07401628125000001
84,0.051906420000000016
85,0.0659280672
86,0.15533623219999998
87,0.054628345799999985
88,0.07887200445
89,0.07966834445000001
90,0.07229122880000001
91,0.06352830125000002
92,0.06517494080000001
93,0.060959844449999995
94,0.11914521124999998
95,0.057891836449999984
96,0.060041520450000004
97,0.06108910579999999
98,0.060760980000000006
99,0.07745260820000002
100,0.17527936319999995
101,0.0
102,0.17363724499999997
103,0.0744516872
104,0.06368166719999999
105,0.08346880820000002
106,0.16946095444999998
107,0.1125181922
108,0.1458432032
109,0.0591404832
110,0.05808254444999999
111,0.14605931520000004
112,0.14224711219999997
113,0.042918640200000004
114,0.10045954879999999
115,0.06629896980000001
116,0.06264738045
117,0.17913703679999998
118,0.05049841999999999
119,0.18175023404999996
120,0.042599886049999994
121,0.083028125
122,0.09764222405000002
123,0.06430773845
124,0.06569225044999999
125,0.05533799119999999
126,0.05264039045000001
127,0.18379378205
128,0.06200833280000001
129,0.05051431124999999
130,0.22483876819999996
131,0.05806550419999999
132,0.030479805000000002
133,0.03926722880000001
134,0.07180534079999999
135,0.0639674912
136,0.0653700482
137,0.06103668604999999
138,0.08895340205
139,0.26625293645
140,0.04745664320000001
141,0.05981994605000001
142,0.11031374204999998
143,0.07824176820000002
144,0.16916417779999998
145,0.15094765125
146,0.0890673218
147,0.03281665805000001
148,0.04842272000000001
149,0.05271179805000001
150,0.1860744008
151,0.12850422080000004
152,0.06812109605000002
153,0.06035727679999999
154,0.06796984500000001
155,0.09714791205000001
156,0.07830903125000002
157,0.036677152799999994
158,0.09800492644999999
159,0.034348205
160,0.04419067205000002
161,0.061990726050000014
162,0.036877848200000014
163,0.1963388448
164,0.09162624320000001
165,0.0425269448
166,0.06022879245
167,0.07243198605000001
168,0.07585512499999998
169,0.05525485245
170,0.042836644999999986
171,0.08194366445000001
172,0.16472652020000003
173,0.06441896180000001
174,0.16715762000000003
175,0.03143276645
176,0.14686574045000003
177,0.0799920002
178,0.18628797605
179,0.06979221605
180,0.04980483604999998
181,0.05295234245
182,0.1764417608
183,0.0554911298
184,0.17377281045
185,0.16108487999999999
186,0.038378351250000005
187,0.05120960045000001
188,0.07528364045
189,0.07304224205000003
190,0.1138312898
191,0.029466208799999994
192,0.12513003379999996
193,0.08283671045
194,0.05682494719999999
195,0.20000915044999998
196,0.05273777645
197,0.04563220500000001
198,0.02968022479999999
199,0.07443239445000001
200,0.04737041999999999
201,0.030573699200000012
202,0.14820745680000003
203,0.037966656800000005
204,0.042965529799999985
205,0.1917786312
206,0.026500624199999996
207,0.05603547645
208,0.11049230405
209,0.16174396880000003
210,0.04856286124999999
211,0.026482209800000003
212,0.061215004999999996
213,0.07474137845
214,0.046710961249999995
215,0.06683533605
216,0.12976965124999998
217,0.054209366449999984
218,0.05970931245000002
219,0.08363641004999998
220,0.13230367999999998
221,0.0
222,0.03675031604999999
