,N_moves
0,10.0
1,8.0
2,1.0
3,26.0
4,20.0
5,1.0
6,7.0
7,1.0
8,1.0
9,1.0
10,1.0
11,49.0
12,4.0
13,2.0
14,8.0
15,9.0
16,37.0
17,12.0
18,5.0
19,1.0
20,1.0
21,1.0
22,4.0
23,10.0
24,1.0
25,6.0
26,26.0
27,18.0
28,7.0
29,2.0
30,13.0
31,3.0
32,13.0
33,7.0
34,4.0
35,4.0
36,7.0
37,26.0
38,12.0
39,45.0
40,17.0
41,3.0
42,12.0
43,11.0
44,5.0
45,12.0
46,3.0
47,1.0
48,12.0
49,10.0
50,4.0
51,1.0
52,5.0
53,1.0
54,2.0
55,1.0
56,4.0
57,2.0
58,2.0
59,6.0
60,8.0
61,2.0
62,1.0
63,14.0
64,1.0
65,31.0
66,2.0
67,2.0
68,6.0
69,6.0
70,2.0
71,13.0
72,1.0
73,37.0
74,1.0
75,12.0
76,3.0
77,23.0
78,4.0
79,2.0
80,28.0
81,10.0
82,1.0
83,14.0
84,7.0
85,1.0
86,10.0
87,29.0
88,4.0
89,1.0
90,17.0
91,11.0
92,18.0
93,23.0
94,18.0
95,10.0
96,18.0
97,1.0
98,5.0
99,2.0
100,2.0
101,7.0
102,1.0
103,1.0
104,7.0
105,3.0
106,3.0
107,1.0
108,4.0
109,30.0
110,2.0
111,26.0
112,4.0
113,6.0
114,14.0
115,42.0
116,2.0
117,2.0
118,3.0
119,10.0
120,5.0
121,23.0
122,2.0
123,12.0
124,3.0
125,36.0
126,1.0
127,18.0
128,2.0
129,1.0
130,1.0
131,7.0
132,4.0
133,27.0
134,9.0
135,3.0
136,11.0
137,9.0
138,14.0
139,11.0
140,15.0
141,29.0
142,9.0
143,24.0
144,1.0
145,11.0
146,7.0
147,5.0
148,1.0
149,20.0
150,1.0
151,1.0
152,6.0
153,2.0
154,2.0
155,2.0
156,7.0
157,46.0
158,35.0
159,28.0
160,2.0
161,28.0
162,20.0
163,1.0
164,1.0
165,2.0
166,8.0
167,2.0
168,3.0
169,32.0
170,8.0
171,33.0
172,1.0
173,42.0
174,23.0
175,32.0
176,1.0
177,7.0
178,2.0
179,3.0
180,7.0
181,14.0
182,43.0
183,19.0
184,9.0
185,1.0
186,1.0
187,8.0
188,5.0
189,2.0
190,1.0
191,15.0
192,1.0
193,1.0
194,7.0
195,1.0
196,9.0
197,1.0
198,1.0
199,14.0
200,5.0
201,5.0
202,1.0
203,6.0
204,1.0
205,3.0
206,1.0
207,8.0
208,1.0
209,7.0
210,1.0
211,12.0
212,12.0
213,7.0
214,5.0
215,20.0
216,2.0
217,1.0
218,1.0
219,11.0
220,26.0
221,5.0
222,0.0
223,3.0
224,4.0
225,3.0
226,12.0
227,1.0
228,6.0
229,26.0
230,4.0
231,11.0
232,0.0
233,2.0
234,1.0
235,29.0
236,18.0
237,2.0
238,25.0
239,13.0
240,8.0
241,5.0
242,19.0
243,0.0
244,32.0
245,1.0
246,26.0
247,1.0
248,2.0
249,2.0
250,1.0
251,36.0
252,1.0
253,1.0
254,3.0
255,7.0
256,19.0
257,7.0
258,5.0
259,10.0
260,11.0
261,9.0
262,2.0
263,9.0
264,1.0
265,6.0
266,24.0
267,5.0
268,9.0
269,12.0
270,1.0
271,0.0
272,2.0
273,2.0
274,1.0
275,14.0
276,17.0
277,26.0
278,31.0
279,31.0
280,15.0
281,1.0
282,8.0
283,1.0
284,1.0
285,11.0
286,3.0
287,20.0
288,13.0
289,1.0
290,16.0
291,0.0
292,2.0
293,2.0
294,10.0
295,28.0
296,6.0
297,9.0
298,1.0
299,8.0
300,2.0
301,14.0
302,18.0
303,1.0
304,7.0
305,4.0
306,10.0
307,4.0
308,16.0
309,3.0
310,8.0
311,3.0
312,7.0
313,7.0
314,3.0
315,2.0
316,14.0
317,23.0
