,Delta_save
0,0.17103645845
1,0.07767711125
2,0.15716981779999997
3,0.11070865125000001
4,0.1386853778
5,0.16413585125000005
6,0.12096312979999999
7,0.07800065045000001
8,0.06822817999999999
9,0.1867338272
10,0.0740201288
11,0.0628634882
12,0.10581380045000002
13,0.09047407219999999
14,0.07040628125
15,0.08470316405
16,0.14630263245000003
17,0.19658331045
18,0.049896404999999984
19,0.21269546420000002
20,0.09830621405
21,0.12029512500000002
22,0.13060138319999998
23,0.15037128
24,0.09836830125
25,0.11516640244999998
26,0.04476331204999999
27,0.0865196802
28,0.08054893845
29,0.22921189244999995
30,0.05341546124999999
31,0.18567199220000002
32,0.06915852404999999
33,0.0946908162
34,0.18886043404999997
35,0.05718961999999998
36,0.1233951842
37,0.08282450000000001
38,0.07552441125000002
39,0.08217863405000002
40,0.09206340500000001
41,0.06622616180000002
42,0.06307996805
43,0.08854052805000001
44,0.0730842912
45,0.11592112500000001
46,0.0633252872
47,0.06114854204999999
48,0.06906186125000001
49,0.08576425279999998
50,0.08114003279999998
51,0.08937146420000001
52,0.051164806050000004
53,0.06991930125
54,0.08921510404999998
55,0.06991930125
56,0.16743527119999999
57,0.06577564500000001
58,0.05693287679999999
59,0.1888419968
60,0.14342296819999997
61,0.05255930419999998
62,0.0363798338
63,0.06919572004999998
64,0.07508975045000002
65,0.1684204722
66,0.12486503645000001
67,0.08798593005000001
68,0.056622855200000016
69,0.15100260124999998
70,0.04729965245
71,0.05403828124999999
72,0.07834069445000001
73,0.07330237604999998
74,0.0342591488
75,0.078844205
76,0.17971211520000002
77,0.07788615120000002
78,0.09535781205000002
79,0.13749243605
80,0.08501213780000001
81,0.06273944645000001
82,0.16619918580000004
83,0.16491598805
84,0.11091108019999998
85,0.15827625844999998
86,0.24322522579999997
87,0.10631121605
88,0.051062492450000004
89,0.13167172445
90,0.14581620045000002
91,0.16021762245000004
92,0.15907056079999998
93,0.04391758845000001
94,0.11616682005
95,0.07580060480000002
96,0.1416822912
97,0.10221981125000003
98,0.07169927120000001
99,0.10685602204999999
100,0.06348197119999999
101,0.09801820880000002
102,0.17621016125
103,0.051816243199999994
104,0.05591502405
105,0.05722682805
106,0.06746199119999999
107,0.10093075204999999
108,0.10723080499999998
109,0.05995145644999999
110,0.16692642
111,0.05455895445
112,0.04845695804999999
113,0.07070304080000002
114,0.16505385125
115,0.05664641404999998
116,0.04651555005
117,0.054084316050000004
118,0.07665961680000001
119,0.09274263119999998
120,0.07039877644999998
121,0.22851504079999999
122,0.0405099648
123,0.11788425679999999
124,0.15099710579999995
125,0.14614039845000004
126,0.06860178405
127,0.08814960720000001
128,0.06801409620000001
129,0.14396441405000002
130,0.06622252244999999
131,0.044922033800000004
132,0.04317391124999998
133,0.07670661120000001
134,0.05162648445
135,0.06277487445000002
